CPB,TITULO_ORIGINAL,NUMERO_FSA
B1101490000000  ,MINUTO DO ESPORTE                                                                                   ,211019700
B1101490400000  ,MEU PAÍS                                                                                            ,211015700
B1101496800000  ,CAPITÃES DA AREIA                                                                                   ,211027400
B1101509500000  ,JULIE E OS FANTASMAS                                                                                ,211020700
B1101519200000  ,"AS AVENTURAS DE AGAMENON, O REPÓRTER                                                                ",212026400
B1101527800000  ,O HOMEM QUE NÃO DORMIA                                                                              ,211016900
B1101528200000  ,EU RECEBERIA AS PIORES NOTÍCIAS DOS SEUS LINDOS LÁBIOS                                              ,210033000
B1101537800000  ,BILLI PIG                                                                                           ,212015100
B1101537800000  ,BILLI PIG                                                                                           ,211005800
B1201544800000  ,CACO & DADO                                                                                         ,210041000
B1201547400000  ,XINGU                                                                                               ,211019200
B1201553500000  ,HELENO                                                                                              ,211007400
B1201573200000  ,FEBRE DO RATO                                                                                       ,210011000
B1201580500000  ,UMA HISTÓRIA DE AMOR E FÚRIA                                                                        ,211027600
B1201580500000  ,UMA HISTÓRIA DE AMOR E FÚRIA                                                                        ,210012900
B1201580500000  ,UMA HISTÓRIA DE AMOR E FÚRIA                                                                        ,212040100
B1201583700000  ,A GRANDE IDEIA BRASIL                                                                               ,211027200
B1201586000000  ,"E AÍ, COMEU?                                                                                        ",212015200
B1201586300000  ,CARA OU COROA                                                                                       ,211015200
B1201590900000  ,CORPO PRESENTE                                                                                      ,212017400
B1201605900000  ,À BEIRA DO CAMINHO                                                                                  ,212042001
B1201614100000  ,TEIMOSIA DA IMAGINAÇÃO                                                                              ,210038400
B1201614400000  ,A ÚLTIMA ESTAÇÃO                                                                                    ,211018200
B1201616300000  ,OS CUPINS 1ª TEMPORADA                                                                              ,210037000
B1201623700000  ,BOCA                                                                                                ,211017200
B1201628900000  ,RITOS DE PASSAGEM                                                                                   ,211020200
B1201643000000  ,A HORA E A VEZ DE AUGUSTO MATRAGA                                                                   ,210055400
B1201657700000  ,ATÉ QUE A SORTE NOS SEPARE                                                                          ,211010400
B1201661300000  ,A MEMÓRIA QUE ME CONTAM                                                                             ,211013900
B1201696600000  ,MEUS DOIS AMORES                                                                                    ,212001300
B1201696900000  ,FLORES RARAS                                                                                        ,211026200
B1301712200000  ,TAINÁ - A ORIGEM                                                                                    ,212037600
B1301732600000  ,AOS VENTOS QUE VIRÃO                                                                                ,21014600
B1301733000000  ,VAI QUE DÁ CERTO                                                                                    ,210069200
B1301738800000  ,ANITA E GARIBALDI                                                                                   ,211025100
B1301739100000  ,BONITINHA MAS ORDINÁRIA                                                                             ,211017300
B1301740700000  ,HISTORIETAS ASSOMBRADAS (PARA CRIANÇAS MALCRIADAS)                                                  ,212006900
B1301743100000  ,MEU PÉ DE LARANJA LIMA                                                                              ,212029200
B1301751900000  ,A BUSCA                                                                                             ,213020000
B1301763500000  ,ESTAÇÃO LIBERDADE                                                                                   ,210042600
B1301769500000  ,VENDO OU ALUGO                                                                                      ,213005700
B1301773400000  ,SOMOS TÃO JOVENS                                                                                    ,210040200
B1301803100000  ,FAROESTE CABOCLO                                                                                    ,211016200
B1301803700000  ,PRA LÁ DO MUNDO                                                                                     ,212019600
B1301808100000  ,MINHA MÃE É UMA PEÇA                                                                                ,212027300
B1301864200000  ,MINHOCAS                                                                                            ,210012200
B1301874500000  ,ATÉ QUE A SBÓRNIA NOS SEPARE                                                                        ,211007600
B1301902100000  ,""" A PRIMEIRA MISSA""                                                                                 ",212037800
B1301910300000  ,CASA DA MÃE JOANA 2                                                                                 ,212036200
B1301916500000  ,QUASE SAMBA                                                                                         ,212021300
B1301930900000  ,O TEMPO E O VENTO                                                                                   ,211016600
B1301931900000  ,BELEZA S/A                                                                                          ,15
B1301935400000  ,ENTRE VALES                                                                                         ,212040400
B1301940000000  ,MATO SEM CACHORRO                                                                                   ,212034800
B1301945900000  ,ÉDEN                                                                                                ,212027700
B1301947600000  ,TATUAGEM                                                                                            ,212037700
B1301956300000  ,HISTÓRIAS DE ALICE                                                                                  ,213000100
B1301968400000  ,EDUCAÇÃO SENTIMENTAL                                                                                ,68
B1301987400000  ,O FIM E OS MEIOS                                                                                    ,211017700
B1301989000000  ,O MENINO E O MUNDO                                                                                  ,211038000
B1301996600000  ,O GRANDE KILAPY                                                                                     ,211024100
B1302013100000  ,"OSMAR, A PRIMEIRA FATIA DO PÃO DE FORMA - 1ª TEMPORADA                                              ",211021800
B1302028100000  ,EXPEDIÇÕES BURLE MARX                                                                               ,211033300
B1302041500000  ,OS ULTIMOS CANGACEIROS                                                                              ,211022600
B1402062600000  ,BRICHOS - SÉRIE DE TV - PRIMEIRA TEMPORADA                                                          ,211022500
B1402070700000  ,TODOS OS BRASILEIROS NO MUNDO                                                                       ,211022300
B1402080700000  ,AMAZÔNIA PLANETA VERDE                                                                              ,211017500
B1402086200000  ,ENTRE NÓS                                                                                           ,88
B1402091700000  ,FANÁTICOS                                                                                           ,213006800
B1402123800000  ,VISCERAL BRASIL - AS VEIAS ABERTAS DA MÚSICA                                                        ,213019700
B1402125800000  ,A ESTRADA 47                                                                                        ,211011400
B1402131500000  ,ROMANCE POLICIAL                                                                                    ,6
B1402131600000  ,CASA GRANDE                                                                                         ,212030200
B1402137200000  ,OS HOMENS SÃO DE MARTE...E É PRÁ LÁ QUE EU VOU!                                                     ,62
B1402145600000  ,À QUEIMA ROUPA                                                                                      ,212050200
B1402146300000  ,PRAIA DO FUTURO                                                                                     ,211040100
B1402147900000  ,QUESTÃO DE FAMÍLIA                                                                                  ,106
B1402153900000  ,QUE É QUE EU VOU FAZER DA MINHA VIDA                                                                ,213000700
B1402155200000  ,TROMBA TREM - 2ª TEMPORADA                                                                          ,213002100
B1402156400000  ,OXIGÊNIO                                                                                            ,212017300
B1402159100000  ,GETÚLIO                                                                                             ,211034400
B1402163900000  ,QUERO TER UM MILHÃO DE AMIGOS.                                                                      ,33
B1402175100000  ,O MENINO NO ESPELHO                                                                                 ,212046200
B1402183500000  ,O SHOW DA LUNA!                                                                                     ,213007600
B1402192700000  ,OS AMIGOS                                                                                           ,61
B1402201200000  ,MUITOS HOMENS NUM SÓ                                                                                ,211033300
B1402213800000  ,BOM DIA ARQUEOLOGIA                                                                                 ,213008900
B1402217000000  ,"BOA NOITE, MARTHA                                                                                   ",211023200
B1402237400000  ,SANGUE AZUL                                                                                         ,212026600
B1402255700000  ,GALAXIAS                                                                                            ,7
B1402269800000  ,MEU AMIGO ENCOSTO                                                                                   ,103
B1402274200000  ,AS GRANDES ENTREVISTAS DO PASQUIM                                                                   ,20
B1402275800000  ,OS MAIAS (ALGUNS) EPISÓDIOS DA VIDA ROMÂNTICA                                                       ,366
B1402301100000  ,UM HOMEM SÓ                                                                                         ,211019400
B1402332500000  ,TRINTA                                                                                              ,212029100
B1402378700000  ,INFÂNCIA                                                                                            ,43
B1402406800000  ,IRMÃ DULCE                                                                                          ,27
B1402431800000  ,VAN BORA!                                                                                           ,213006700
B1402440900000  ,X-CORAÇÃO                                                                                           ,2130026
B1402521900000  ,AS AVENTURAS DO AVIÃO VERMELHO                                                                      ,211024200
B1402546500000  ,A GRANDE VIAGEM - A SÉRIE                                                                           ,213002200
B1402652900000  ,NISE - O CORAÇÃO DA LOUCURA                                                                         ,212024900
B1402689400000  ,O VENDEDOR DE PASSADOS                                                                              ,210004400
B1402704900000  ,LOUCAS PRA CASAR                                                                                    ,1306928
B1402723400000  ,A NOITE DA VIRADA                                                                                   ,87
B1402778300000  ,SOS FADA MANU                                                                                       ,63
B1402785400000  ,OS ANOS 80 ESTÃO DE VOLTA                                                                           ,74
B1402798600000  ,CARRAPATOS E CATAPULTAS - 2A TEMPORADA                                                              ,213003300
B1402826500000  ,REIS DA RUA TERCEIRA TEMPORADA                                                                      ,39
B1402850900000  ,SONHOS DE ABU                                                                                       ,53
B1402854800000  ,JOÃO DONATO - A SÉRIE                                                                               ,52
B1402855900000  ,MARESIA                                                                                             ,9211
B1402855900000  ,MARESIA                                                                                             ,56
B1500018900000  ,TURMA DO XAXADO                                                                                     ,212049800
B1500071200000  ,TORDESILHAS                                                                                         ,213003200
B1500105700000  ,A NAÇÃO QUE NÃO ESPEROU POR DEUS                                                                    ,14
B1500113300000  ,LOVE FILM FESTIVAL                                                                                  ,445
B1500113300000  ,LOVE FILM FESTIVAL                                                                                  ,1935
B1500132900000  ,O MILAGRE DE SANTA LUZIA - CULTURA POPULAR                                                          ,57
B1500150200000  ,TUDO QUE APRENDEMOS JUNTOS                                                                          ,212025700
B1500151700000  ,CATÁLOGO BRASIL                                                                                     ,101
B1500177200000  ,PARA MINHA AMADA MORTA                                                                              ,37
B1500218400000  ,"OSMAR, A PRIMEIRA FATIA DO PÃO DE FORMA - 2ª TEMPORADA                                              ",152
B1500257800000  ,QUESTÃO DE FAMÍLIA 2º TEMPORADA                                                                     ,338
B1500275500000  ,HISTORIETAS ASSOMBRADAS - 2ª TEMPORADA                                                              ,60
B1500309600000  ,CALE-SE - A CENSURA MUSICAL                                                                         ,120318
B1500309900000  ,QUALQUER GATO VIRA-LATA 2                                                                           ,92
B1500335800000  ,DIVÃ A 2                                                                                            ,108
B1500344400000  ,DEPOIS DE TUDO                                                                                      ,47
B1500344800000  ,CAMPO GRANDE                                                                                        ,83
B1500351900000  ,HÁ MUITAS NOITES NA NOITE                                                                           ,211021900
B1500375100000  ,REPÚBLICA DO PERU                                                                                   ,120
B1500399400000  ,PROVA DE CORAGEM                                                                                    ,212030400
B1500407800000  ,FEITO TORTO PRA FICAR DIREITO                                                                       ,95
B1500408100000  ,UM FILME DE CINEMA                                                                                  ,212019500
B1500428800000  ,"TAQUARAS, TAMBORES E VIOLAS                                                                         ",111
B1500464600000  ,BRUXARIAS                                                                                           ,28
B1500497300000  ,A MANSÃO MALUCA DO PROFESSOR AMBRÓSIO - TEMPORADA 4                                                 ,70
B1500515600000  ,MAD DOGS                                                                                            ,110
B1500542700000  ,"TORI, A DETETIVE                                                                                    ",4540
B1500543200000  ,LINDA DE MORRER                                                                                     ,81
B1500554400000  ,A ESPERANÇA É A ÚLTIMA QUE MORRE                                                                    ,213018500
B1500572300000  ,IMAGENS DO ESTADO NOVO 1937-45                                                                      ,211020400
B1500572900000  ,AS AVENTURAS DO PEQUENO COLOMBO                                                                     ,33210
B1500576000000  ,FÁBULAS DE BULCCAN EPISÓDIO PILOTO                                                                  ,4540
B1500585100000  ,QUE HORAS ELA VOLTA?                                                                                ,328
B1500585400000  ,QUASE MEMÓRIA                                                                                       ,212046600
B1500591500000  ,A FLORESTA QUE SE MOVE                                                                              ,213008800
B1500593700000  ,SANTO FORTE                                                                                         ,84
B1500596800000  ,ARTE ATIVA - O ESTADO DA ARTE NAS RUAS - 1A TEMPORADA                                               ,65
B1500634100000  ,SETE VIDAS EM 7 CORDAS                                                                              ,32
B1500650100000  ,MERCADOS                                                                                            ,213005800
B1500651700000  ,MATE-ME POR FAVOR                                                                                   ,67
B1500651700000  ,MATE-ME POR FAVOR                                                                                   ,223
B1500659000000  ,RIBANCEIRA                                                                                          ,150
B1500660200000  ,FORA DE QUADRO                                                                                      ,76
B1500672000000  ,ÓRFÃOS DO ELDORADO                                                                                  ,46
B1500701300000  ,OPERAÇÕES ESPECIAIS (EX BOLETIM DE OCORRÊNCIA B.O)                                                  ,318
B1500711400000  ,BEATRIZ                                                                                             ,210031200
B1500711400000  ,BEATRIZ                                                                                             ,213025200
B1500731600000  ,À MODA DA CASA                                                                                      ,305
B1500758100000  ,AS AVENTURAS DO HOMEM CUECA                                                                         ,113
B1500769700000  ,VIDA DE ESTAGIÁRIO - 2ª TEMPORADA                                                                   ,91
B1500778300000  ,S.O.S. MULHERES AO MAR 2                                                                            ,795
B1500812200000  ,DOIDAS E SANTAS                                                                                     ,22
B1500812200000  ,DOIDAS E SANTAS                                                                                     ,304
B1500818400000  ,EM TRÊS ATOS                                                                                        ,307
B1500838900000  ,NOTAS DE AMOR                                                                                       ,155
B1500843400000  ,ASPIRANTES                                                                                          ,212020100
B1500868700000  ,ORAÇÃO DO AMOR SELVAGEM                                                                             ,315
B1500870400000  ,VAI QUE DÁ CERTO 2                                                                                  ,317
B1500873900000  ,ATRAVÉS DA SOMBRA                                                                                   ,212025800
B1500877100000  ,BELATRIX - EPISÓDIO PILOTO                                                                          ,4540
B1500883200000  ,"CAPOEIRA, UM PASSO A DOIS                                                                           ",104
B1500896100000  ,OS UNDER UNDERGROUNDS - TEMPORADA 1                                                                 ,94
B1500899800000  ,REZA A LENDA                                                                                        ,100
B1500916300000  ,INSÔNIA                                                                                             ,116
B1600003800000  ,CONDOMINIO JAQUELINE                                                                                ,213002000
B1600019400000  ,A REVOLUÇÃO DO CINEMA NOVO                                                                          ,97
B1600032100000  ,AMOR EM SAMPA                                                                                       ,117
B1600033400000  ,MEU AMIGO HINDU                                                                                     ,9503
B1600036800000  ,ZOOM                                                                                                ,255
B1600041000000  ,BUGIGANGUE NO ESPAÇO                                                                                ,211016700
B1600041000000  ,BUGIGANGUE NO ESPAÇO                                                                                ,26
B1600043800000  ,TÔ RYCA!                                                                                            ,390
B1600058000000  ,TERMINADORES                                                                                        ,71
B1600064700000  ,ESPAÇO ALÉM - MARINA ABRAMOVIC E O BRASIL                                                           ,159
B1600084300000  ,RIO+BOSSA                                                                                           ,102
B1600084700000  ,TERRA PROMETIDA                                                                                     ,102410
B1600095100000  ,ZANINE SER DO ARQUITETAR                                                                            ,313
B1600100300000  ,O ESCARAVELHO DO DIABO                                                                              ,258
B1600107600000  ,EM NOME DA LEI                                                                                      ,356
B1600109600000  ,A FRENTE FRIA QUE A CHUVA TRAZ                                                                      ,117027
B1600117100000  ,WORK IN PROGRESS  POR DENTRO DO BALÉ DA CIDADE DE SÃO PAULO                                        ,299
B1600131200000  ,INCERTEZAS CRÍTICAS                                                                                 ,156
B1600137800000  ,A GAROTA DA MOTO                                                                                    ,297
B1600142700000  ,AS AVENTURAS DE FUJIWARA MANCHESTER                                                                 ,45
B1600193300000  ,IMAGENS DO ESTADO NOVO 1937-45                                                                      ,211020400
B1600193400000  ,TÁ NO SANGUE - OS FAGUNDES                                                                          ,401
B1600227000000  ,O CASEIRO                                                                                           ,512015
B1600241200000  ,MINHA TRIBO                                                                                         ,213019900
B1600243000000  ,REDEMOINHO                                                                                          ,41
B1600243000000  ,REDEMOINHO                                                                                          ,19
B1600245600000  ,ANTES O TEMPO NÃO ACABAVA                                                                           ,452
B1600264400000  ,PONTO ZERO                                                                                          ,447
B1600264400000  ,PONTO ZERO                                                                                          ,49
B1600280000000  ,MENINO 23 - INFÂNCIAS PERDIDAS NO BRASIL                                                            ,151
B1600287300000  ,DESERTO                                                                                             ,23
B1600288400000  ,GODOFREDO                                                                                           ,211021700
B1600289200000  ,NA BOCA DO POVO                                                                                     ,211021500
B1600305700000  ,UMA LOUCURA DE MULHER                                                                               ,312
B1600310200000  ,FUINHA E CAÇAPAVA-PILOTO                                                                            ,130
B1600314000000  ,TROMBA TREM - 3ª TEMPORADA                                                                          ,306
B1600324600000  ,"BILL, O TOURO                                                                                       ",602
B1600326200000  ,ESTA NOITE ENCARNAREI NO TEU CORPINHO - PILOTO                                                      ,233
B1600358700000  ,E AÍ... COMEU?                                                                                      ,688
B1600358700000  ,E AÍ... COMEU?                                                                                      ,204
B1600382200000  ,BRASIL ADENTRO - MÚSICA DE PERNAMBUCO                                                               ,118
B1600405900000  ,BR 716                                                                                              ,48
B1600408200000  ,O ROUBO DA TAÇA                                                                                     ,346
B1600412400000  ,ARTISTAS                                                                                            ,235
B1600416100000  ,MÃE SÓ HÁ UMA                                                                                       ,1255
B1600420100000  ,IMPRESSÕES DO MUNDO                                                                                 ,374
B1600420900000  ,MULHER DO PAI                                                                                       ,298
B1600428200000  ,AMOR DE 4                                                                                           ,336
B1600439300000  ,A COMÉDIA DIVINA                                                                                    ,5
B1600439400000  ,A TERRA VERMELHA                                                                                    ,416
B1600467400000  ,UNIDADE BÁSICA                                                                                      ,213010400
B1600473500000  ,QUATRO MILAGRES DE UM SANTO LADRÃO                                                                  ,357
B1600474200000  ,LUZ & SOMBRA - FOTÓGRAFOS DO CINEMA BRASILEIRO                                                      ,280
B1600476300000  ,MÁXIMO & CONFÚCIO                                                                                   ,18
B1600477000000  ,"ERNESTO, O EXTERMINADOR DE SERES MONSTRUOSOS E OUTRAS PORCARIAS                                     ",162
B1600481100000  ,OS CUPINS - SEGUNDA TEMPORADA                                                                       ,93
B1600486300000  ,SÉRIE C                                                                                             ,153
B1600495300000  ,PRA ONDE CORRE O RIO                                                                                ,419
B1600513600000  ,A RAZÃO E A LOUCURA                                                                                 ,42
B1600543200000  ,ZICA E OS CAMALEÕES - SEGUNDA TEMPORADA                                                             ,275
B1600547800000  ,RIFLE                                                                                               ,496
B1600559000000  ,CAUSANDO NA RUA                                                                                     ,425
B1600564100000  ,VERMELHO RUSSO                                                                                      ,273
B1600564300000  ,LUA EM SAGITÁRIO                                                                                    ,369
B1600567900000  ,O SHAOLIN DO SERTÃO                                                                                 ,398
B1600582300000  ,TORDESILHAS -1A TEMPORADA                                                                           ,213003200
B1600585300000  ,AS INCRÍVEIS ARTIMANHAS DA NUVEM CIGANA                                                             ,355
B1600585400000  ,A GLÓRIA E A GRAÇA                                                                                  ,82
B1600604900000  ,"TOC - TRANSTORNADA, OBSESSIVA, COMPULSIVA                                                           ",600
B1600630700000  ,A FINADA MÃE DA MADAME                                                                              ,694
B1600644900000  ,BOYCÓPTERO                                                                                          ,216
B1600650300000  ,A SECRETÁRIA DO PRESIDENTE                                                                          ,552
B1600651600000  ,"CURUMIM, O HOMEM QUE QUERIA VOAR                                                                    ",857
B1600656800000  ,FIM DO MUNDO                                                                                        ,337
B1600659200000  ,TERRA PROMETIDA                                                                                     ,102410
B1600680100000  ,ELIS                                                                                                ,375
B1600690400000  ,O AMOR NO DIVÃ                                                                                      ,1218
B1600690600000  ,ERA O HOTEL CAMBRIDGE                                                                               ,326
B1600690700000  ,ANGELI THE KILLER                                                                                   ,161
B1600698800000  ,NO CAMINHO DO BEM                                                                                   ,330
B1600702400000  ,OPÇÃO LAJE                                                                                          ,367
B1600702800000  ,GRANDES CENAS                                                                                       ,384
B1600708000000  ,FALA COMIGO                                                                                         ,343
B1600713500000  ,AS AVENTURAS DE MINUANO KID                                                                         ,333
B1600714000000  ,O ÚLTIMO TRAGO                                                                                      ,495
B1600714000000  ,O ÚLTIMO TRAGO                                                                                      ,388
B1600715300000  ,MISTÉRIOS DE ENTREVER                                                                               ,554
B1600718700000  ,UM FILME DE CINEMA                                                                                  ,546
B1600725900000  ,MIXADOS                                                                                             ,310
B1600726200000  ,CAVALO DE SANTO - O FILME                                                                           ,500
B1600726600000  ,OLIMPÍADAS DA RUA                                                                                   ,531
B1600729900000  ,"RODA MOINHO, RODA PIÃO, QUERO CULTURA NO MEU PIRÃO                                                  ",458
B1600730300000  ,AS CANÇÕES DA MINHA VIDA                                                                            ,353
B1600738400000  ,MEU CORPO É POLÍTICO                                                                                ,512
B1600738500000  ,OS SALTIMBANCOS TRAPALHÕES - RUMO A HOLLYWOOD                                                       ,802
B1600739400000  ,SEM VOLTA                                                                                           ,440
B1600739700000  ,CHÃO DE FÁBRICA                                                                                     ,364
B1600746900000  ,MÚSICA DA MINHA VIDA                                                                                ,472
B1600752300000  ,BEDUÍNO                                                                                             ,363
B1600754000000  ,GABY ESTRELLA                                                                                       ,821
B1600756100000  ,A CIDADE DO FUTURO                                                                                  ,916
B1600757300000  ,TERRA DE LUZ                                                                                        ,478
B1600765300000  ,A OLIMPÍADA PASSOU POR AQUI                                                                         ,130
B1600765400000  ,DE MALA E CUIA                                                                                      ,520
B1600766600000  ,UM MARANHENSE CHAMADO JOSÉ RIBAMAR                                                                  ,437
B1600773300000  ,BR 3 - AMORES MIGRANTES                                                                             ,521
B1600775400000  ,PLANETORAMA                                                                                         ,112
B1600779300000  ,NÓIS POR NÓIS                                                                                       ,504
B1600784800000  ,SAIDEIRA                                                                                            ,431
B1600785000000  ,PRAZER EM RECEBER                                                                                   ,841
B1600793600000  ,AS BATALHAS DA FÉ                                                                                   ,517
B1700009500000  ,"LATITUDE, LONGITUDE                                                                                 ",295
B1700011400000  ,MAZAGÃO  PORTA DO MAR                                                                              ,462
B1700011500000  ,PEIXONAUTA: O FILME                                                                                 ,737
B1700011500000  ,PEIXONAUTA: O FILME                                                                                 ,34210
B1700011700000  ,MINO E NINA                                                                                         ,511
B1700012000000  ,A PROFESSORA DE MÚSICA                                                                              ,603
B1700012200000  ,LILA                                                                                                ,329
B1700013000000  ,CAFÉ COM CANELA                                                                                     ,619
B1700014400000  ,ACEITO FOLIA                                                                                        ,543
B1700014500000  ,TADINHA                                                                                             ,16
B1700027200000  ,ANIMACRIANÇA - LENDAS BRASILEIRAS                                                                   ,507
B1700028400000  ,LAS INESES                                                                                          ,805
B1700030900000  ,UM LUGAR PARA CHAMAR DE C. E. U.                                                                    ,505
B1700033800000  ,PASSADO DA HORA                                                                                     ,506
B1700036100000  ,HOMO BRASILIS                                                                                       ,439
B1700036400000  ,POLTRONA 27                                                                                         ,292
B1700037000000  ,FANÁTIC@S                                                                                           ,553
B1700045100000  ,"DOLORES - UMA MULHER, DOIS AMORES                                                                   ",738
B1700048200000  ,"MAUANI, O SILÊNCIO DE MARIA                                                                         ",464
B1700051600000  ,VAZANTE                                                                                             ,213004400
B1700052200000  ,O CRIME DA GÁVEA                                                                                    ,200
B1700052500000  ,GLEBA - CHÃO DE MARIAS                                                                              ,460
B1700053400000  ,ASTROBALDO                                                                                          ,625
B1700053600000  ,PLANTÃO DA IMAGINAÇÃO                                                                               ,463
B1700055500000  ,BRINCANDO COM A CIÊNCIA!                                                                            ,497
B1700065900000  ,ESTADOS DA ARTE                                                                                     ,351
B1700066800000  ,AMAZÔNIA POSTAL                                                                                     ,459
B1700070600000  ,O SENHOR DAS JORNADAS                                                                               ,719
B1700071900000  ,BELA CRIATIVA                                                                                       ,470
B1700077100000  ,LA VINGANÇA                                                                                         ,882
B1700079500000  ,171 - NEGÓCIO DE FAMÍLIA                                                                            ,359
B1700079500000  ,171 - NEGÓCIO DE FAMÍLIA                                                                            ,846
B1700082700000  ,A CARA DO MUNDO                                                                                     ,508
B1700083900000  ,AIKEWARA                                                                                            ,382
B1700085000000  ,QUESTÃO DE FAMILIA 3º TEMPORADA                                                                     ,1173
B1700085000000  ,QUESTÃO DE FAMILIA 3º TEMPORADA                                                                     ,1174
B1700088100000  ,PELA JANELA                                                                                         ,417
B1700088200000  ,AXOGUN                                                                                              ,519
B1700088400000  ,PAULO AUTRAN - O SENHOR DOS PALCOS                                                                  ,667
B1700088700000  ,COLECIONADORES                                                                                      ,283
B1700089300000  ,JÚLIO E VERNE OS IRMÃOS GEMIAIS                                                                     ,489
B1700092500000  ,JOAQUIM                                                                                             ,1580030255
B1700092500000  ,JOAQUIM                                                                                             ,571
B1700097600000  ,MEU PEQUENO MUNDO                                                                                   ,544
