TITULO_ORIGINAL;PRODUTORA_BRASILEIRA;UF_PRODUTORA_BRASILEIRA;PRODUTORA_ESTRANGEIRA;PAIS_PRODUTORA_ESTRANGEIRA;TIPO_OBRA;TOTAL_TECNCIOS_ESTRANGEIROS;PERIODO_PRODUCAO;LOCAL_FILMAGEM ;DT_APROVACAO
BEE WORLD;TOWN NETWORK FILMAGENS LTDA.;SP;NEXUS INC.;Japão;Outro;3;10/02/2020 a 15/03/2020;São Paulo, Aracruz, Belo Horizonte, Nova Lima, Itapecerica, Maceió, Roteiro, União dos Palmares, São Luís, Cajari, Mogi das Cruzes, Limeira (SP,ES,MG,AL,AM);29/01/2020
ONE STRANGE ROCK 2;Terra Vermelha Filmes ltda;RJ;NUTOPIA LTD;Reino Unido;Outro;1;05/03/2020 a 11/03/2020;Foz do Iguaçu (PR);29/01/2020
ONE STRANGE ROCK 2;Terra Vermelha Filmes ltda;RJ;NUTOPIA LTD;Reino Unido;Outro;1;05/03/2020 a 11/03/2020;Foz do Iguaçu (PR);29/01/2020
ONE STRANGE ROCK 2;Terra Vermelha Filmes ltda;RJ;NUTOPIA LTD;Reino Unido;Outro;5;05/03/2020 a 11/03/2020;Foz do Iguaçu (PR);29/01/2020
UFC DESTINED;STORY PRODUÇÕES LTDA;SP;IMG PRODUCTIONS, LLC;Estados Unidos;Documentário;3;29/01/2020 a 31/01/2020;Belém (PA);04/02/2020
ELESTAL;BPS PRODUÇÕES E SERVIÇOS EIRELI;RJ;FIGURA MEDIA LLC;Estados Unidos;Institucional;2;31/01/2020 a 09/02/2020;São Paulo, Cuiabá, Primavera do Leste (SP., MT);04/02/2020
Verrueckt nach Meer 10;Sol Entertainment Ltda;RJ;Bewegte Zeiten Filmproduktion GmbH;Alemanha;Documentário;25;29/02/2020 a 24/03/2020;Rio Grande do Sul, Caboriú, Ilha Bela, Angra dos Reis, Rio de Janeiro, Ilhéus, Salvador, Natal, Belém, Santarém, Alter do Chão, Manaus, Parintins, Boca da Valéria (RS,SP,RJ,BA,RN,PA,AM);04/02/2020
""" BEAUTY PRISON "" &"" BIKER PRISON """;CINEMAR - W.FAISSAL PRODUÇÕES ARTÍSTICAS E COMUNIC;RJ;ITV STUDIOS NETHERLANDS BV;Holanda;Documentário;5;02/02/2020 a 30/03/2020;Rio de Janeiro, Santa Rita do Sapucaí, São Paulo (RJ,GM,SP);04/02/2020
Relato de um Certo Oriente;Matizar Produções Artísticas Ltda;RJ;-;-;Ficção;1;10/02/2020 a 20/04/2020;Belém (PA);04/02/2020
Relato de um Certo Oriente;Matizar Produções Artísticas Ltda;RJ;-;-;Ficção;1;10/02/2020 a 20/04/2020;Belém (PA);04/02/2020
Brady and Gary go to;IGOR DE MIRANDA OLSZOWSKI - ME;RJ;Entertainment ONE;Estados Unidos;Documentário;17;08/02/2020 a 16/02/2020;Rio de Janeiro (RJ);05/02/2020
