CPB;TITULO_ORIGINAL;NUMERO_SALIC
B0901088500000  ;13 MINUTOS                                                                                          ;050053           
B0901090500000  ;OS INQUILINOS                                                                                       ;050360           
B0901091100000  ;PORTO ALEGRE MEU CANTO NO MUNDO                                                                     ;040352           
B0901091900000  ;ENTRE A LUZ E A SOMBRA                                                                              ;030369           
B0901096600000  ;PROGRAMA ALTERNATIVO                                                                                ;000115           
B0901096800000  ;XUXA EM O MISTÉRIO DE FEIURINHA                                                                     ;090008           
B0901098400000  ;TODO MUNDO TEM PROBLEMAS SEXUAIS                                                                    ;050236           
B0901099200000  ;HISTÓRIAS DE AMOR DURAM APENAS 90 MINUTOS (SPLEEN)                                                  ;070256           
B0901101600000  ;SÓ DEZ POR CENTO É MENTIRA                                                                          ;050457           
B0901102500000  ;CORPOS CELESTES                                                                                     ;050238           
B0901103700000  ;DO COMEÇO AO FIM                                                                                    ;040360           
B0901108700000  ;É PROIBIDO FUMAR                                                                                    ;040306           
B0901116300000  ;LUTAS.DOC                                                                                           ;012073           
B0901117100000  ;HOTEL ATLÂNTICO                                                                                     ;023849           
B0901121200000  ;ANTES QUE O MUNDO ACABE                                                                             ;040043           
B0901121700000  ;OLHOS AZUIS - FILME (OLHOS AZUIS)                                                                   ;050412           
B0901126600000  ;BELLINI E O DEMÔNIO                                                                                 ;030043           
B1001133500000  ;CIDADE DE PLÁSTICO                                                                                  ;060418           
B1001136000000  ;HIGH SCHOOL MUSICAL - O DESAFIO                                                                     ;080598           
B1001143200000  ;OS FAMOSOS E OS DUENDES DA MORTE                                                                    ;070327           
B1001147500000  ;EU E MEU GUARDA-CHUVA                                                                               ;070222           
B1001148600000  ;CHICO XAVIER                                                                                        ;080280           
B1001151400000  ;DESCOLADOS                                                                                          ;070366           
B1001153800000  ;SOLUÇÕES PARA O TRÂNSITO                                                                            ;070254           
B1001160300000  ;SONHOS ROUBADOS                                                                                     ;050429           
B1001162600000  ;CIDADE SECRETA                                                                                      ;080377           
B1001162900000  ;TERRAS                                                                                              ;070310           
B1001164600000  ;B1                                                                                                  ;080069           
B1001166000000  ;INSOLAÇÃO                                                                                           ;040332           
B1001167100000  ;PAU BRASIL - UMA VILA PERDIDA NO TEMPO                                                              ;070359           
B1001172500000  ;AS MELHORES COISAS DO MUNDO                                                                         ;070071           
B1001179700000  ;O GUIA                                                                                              ;070517           
B1001180900000  ;CINCO VEZES FAVELA, AGORA POR ELES MESMOS                                                           ;070082           
B1001182000000  ;SEGURANÇA NACIONAL                                                                                  ;040156           
B1001187000000  ;UTOPIA E BARBÁRIE                                                                                   ;030054           
B1001189100000  ;DOCE BRASIL HOLANDÊS                                                                                ;060351           
B1001190000000  ;DETETIVES DA HISTÓRIA                                                                               ;080435           
B1001191000000  ;BELAIR                                                                                              ;060342           
B1001192900000  ;DUAS MULHERES                                                                                       ;089001           
B1001202800000  ;ATUALIDADES                                                                                         ;090496           
B1001205400000  ;NÃO SE PODE VIVER SEM AMOR                                                                          ;040151           
B1001205900000  ;DOMINGOS                                                                                            ;080137           
B1001208600000  ;ANIMATV - ZICA E OS CAMALEÕES                                                                       ;100439           
B1001211600000  ;DZI CROQUETTES                                                                                      ;080317           
B1001214400000  ;COMO ESQUECER                                                                                       ;050168           
B1001229000000  ;UMA NOITE EM 67                                                                                     ;060449           
B1001236300000  ;O BEM AMADO                                                                                         ;050097           
B1001236800000  ;A GUERRA DOS VIZINHOS                                                                               ;984083           
B1001251100000  ;TODO PODEROSO: O FILME - 100 ANOS DE TIMÃO                                                          ;090414           
B1001256000000  ;AS CARTAS PSICOGRAFADAS POR CHICO XAVIER                                                            ;050262           
B1001257100000  ;PROGRAMA CASÉ                                                                                       ;060360           
B1001259400000  ;NOSSO LAR                                                                                           ;070337           
B1001259800000  ;400 CONTRA 1                                                                                        ;030255           
B1001260400000  ;CABEÇA A PRÊMIO                                                                                     ;070333           
B1001261900000  ;ESTILO BRASIL - 2ª TEMPORADA                                                                        ;080639           
B1001271700000  ;SOBERANO - SEIS VEZES SÃO PAULO                                                                     ;090166           
B1001276700000  ;LIXO EXTRAORDINÁRIO                                                                                 ;080245           
B1001282000000  ;MUITA CALMA NESSA HORA                                                                              ;011926           
B1001282200000  ;O SOL DO MEIO DIA                                                                                   ;040194           
B1001283500000  ;A SUPREMA FELICIDADE                                                                                ;070456           
B1001288800000  ;MENINOS DE KICHUTE                                                                                  ;070289           
B1001290000000  ;LUZ NAS TREVAS A VOLTA DO BANDIDO DA LUZ VERMELHA                                                   ;040074           
B1001293000000  ;CARRAPATOS E CATAPULTAS - 1A TEMPORADA                                                              ;120086           
B1001294000000  ;MARCHA DA VIDA                                                                                      ;070468           
B1001296000000  ;TROPA DE ELITE 2                                                                                    ;090331           
B1001296100000  ;REIDY, A CONSTRUÇÃO DA UTOPIA                                                                       ;030238           
B1001298600000  ;TERRA DEU, TERRA COME                                                                               ;080469           
B1001298800000  ;BRODER                                                                                              ;023925           
B1001299300000  ;EFEITO RECICLAGEM                                                                                   ;070103           
B1001302600000  ;A FALTA QUE ME FAZ                                                                                  ;050426           
B1001303400000  ;DAWSON ISLA 10                                                                                      ;070031           
B1001305900000  ;DE PERNAS PRO AR                                                                                    ;080329           
B1001308900000  ;ALÉM DA ESTRADA                                                                                     ;090072           
B1001311200000  ;VIDA SOBRE RODAS                                                                                    ;060255           
B1001312000000  ;UM HOMEM QUALQUER                                                                                   ;024176           
B1001312200000  ;MEU MUNDO EM PERIGO                                                                                 ;070266           
B1001315900000  ;DESENROLA                                                                                           ;040227           
B1001316300000  ;VIAJANTES RADICAIS                                                                                  ;090181           
B1001317400000  ;MEU AMIGÃOZÃO                                                                                       ;080361           
B1001317800000  ;LEITE E FERRO                                                                                       ;080033           
B1001318000000  ;JOSÉ E PILAR                                                                                        ;099167           
B1001318100000  ;O SAMBA QUE MORA EM MIM                                                                             ;070168           
B1001319100000  ;APARECIDA, O MILAGRE                                                                                ;070020           
B1001320600000  ;O ÚLTIMO VOO DO FLAMINGO                                                                            ;089026           
B1001321000000  ;MARIO FILHO O CRIADOR DAS MULTIDÕES                                                                 ;090115           
B1001321100000  ;LOPE                                                                                                ;090013           
B1001324700000  ;SOLIDÃO E FÉ                                                                                        ;060167           
B1001330400000  ;VIPS                                                                                                ;080063           
B1001330600000  ;SÃO PAULO SOB ATAQUE                                                                                ;080672           
B1001344800000  ;NO OLHO DA RUA                                                                                      ;050061           
B1101347100000  ;BRUNA SURFISTINHA                                                                                   ;070091           
B1101348300000  ;BRASIL ANIMADO                                                                                      ;090022           
B1101350700000  ;UMA PROFESSORA MUITO MALUQUINHA                                                                     ;070381           
B1101359200000  ;OS CAMINHOS DA DEMOCRACIA - NA VISÃO DE BETINHO                                                     ;984699           
B1101359600000  ;RESGATE 193                                                                                         ;090480           
B1101362100000  ;AMOR?                                                                                               ;090380           
B1101366100000  ;ILHA DOS ESCRAVOS                                                                                   ;039011           
B1101366300000  ;VIPS - HISTÓRIAS REAIS DE UM MENTIROSO                                                              ;070353           
B1101377100000  ;AS MÃES DE CHICO XAVIER                                                                             ;090458           
B1101377300000  ;A ANTROPÓLOGA                                                                                       ;024180           
B1101378300000  ;NATIMORTO                                                                                           ;060294           
B1101383200000  ;ARNALDO ANTUNES - AO VIVO LÁ EM CASA                                                                ;100065           
B1101385900000  ;AS DOZE ESTRELAS                                                                                    ;060250           
B1101390800000  ;MIRAMAR                                                                                             ;961312           
B1101395700000  ;SOBRE RIOS E CÓRREGOS                                                                               ;030142           
B1101396800000  ;A FALTA QUE NOS MOVE                                                                                ;070187           
B1101396800000  ;A FALTA QUE NOS MOVE                                                                                ;109013           
B1101397900000  ;SEQUESTRO                                                                                           ;050408           
B1101399100000  ;PROCURA-SE                                                                                          ;060232           
B1101400900000  ;VAIDADE                                                                                             ;030008           
B1101401000000  ;BIOGRAFIAS I                                                                                        ;070246           
B1101405200000  ;A LUZ DO TOM                                                                                        ;050155           
B1101406900000  ;CILADA.COM                                                                                          ;100282           
B1101412100000  ;POR QUE A GENTE É ASSIM?                                                                            ;080657           
B1101413400000  ;FAMILIA VENDE TUDO                                                                                  ;030057           
B1101413800000  ;DIÁRIO DE UMA BUSCA                                                                                 ;070280           
B1101415000000  ;ESTAMOS JUNTOS                                                                                      ;030056           
B1101416000000  ;4 X TIMÃO - A CONQUISTA DO TETRA                                                                    ;090278           
B1101420100000  ;CORAÇÕES SUJOS                                                                                      ;110031           
B1101420100000  ;CORAÇÕES SUJOS                                                                                      ;070217           
B1101424800000  ;O MINEIRO E O QUEIJO                                                                                ;070073           
B1101425400000  ;TRANSEUNTE                                                                                          ;080495           
B1101426200000  ;TRABALHAR CANSA                                                                                     ;080123           
B1101427400000  ;O HOMEM DO FUTURO                                                                                   ;080494           
B1101430400000  ;SÉRIE SAÚDE - ESPECIAIS MÉDICOS                                                                     ;090517           
B1101430900000  ;A GRANDE VIAGEM                                                                                     ;110462           
B1101431800000  ;QUALQUER GATO VIRA-LATA                                                                             ;040031           
B1101438000000  ;ROSA MORENA                                                                                         ;080231           
B1101438800000  ;NÃO SE PREOCUPE, NADA VAI DAR CERTO!                                                                ;070267           
B1101438900000  ;AS IRACEMAS                                                                                         ;090147           
B1101441600000  ;A ALEGRIA                                                                                           ;070276           
B1101443400000  ;ESTÚDIO SKANK E NANDO REIS                                                                          ;080276           
B1101445100000  ;ROBERTO MARINHO - O SENHOR DO SEU TEMPO                                                             ;090029           
B1101445400000  ;O PAÍS DO DESEJO                                                                                    ;050341           
B1101449600000  ;ASSALTO AO BANCO CENTRAL                                                                            ;090367           
B1101456100000  ;O PALHAÇO                                                                                           ;090137           
B1101456300000  ;FALA SÉRIO!                                                                                         ;070113           
B1101457200000  ;O CONTESTADO - RESTOS MORTAIS                                                                       ;030215           
B1101457300000  ;JARDIM DAS FOLHAS SAGRADAS                                                                          ;040172           
B1101460100000  ;PONTO FINAL                                                                                         ;040280           
B1101460700000  ;OS RESIDENTES                                                                                       ;070180           
B1101460800000  ;AMANHA NUNCA MAIS                                                                                   ;080111           
B1101461100000  ;ONDE ESTÁ A FELICIDADE?                                                                             ;080178           
B1101462800000  ;EXTINÇÕES                                                                                           ;090445           
B1101472700000  ;FILHOS DO CARNAVAL 2                                                                                ;080080           
B1101472900000  ;O BRASIL DA PRÉ HISTÓRIA                                                                            ;973912           
B1101481400000  ;MAURÍCIO DE SOUSA: NOSSA GENTE                                                                      ;040203           
B1101481500000  ;CIDADES INVENTADAS                                                                                  ;040204           
B1101490400000  ;MEU PAÍS                                                                                            ;050162           
B1101490600000  ;O ABISMO PRATEADO                                                                                   ;100606           
B1101491200000  ;OS 3                                                                                                ;090340           
B1101491600000  ;NA QUADRADA DAS AGUAS PERDIDAS                                                                      ;090006           
B1101495900000  ;SAGRADO SEGREDO                                                                                     ;030226           
B1101496800000  ;CAPITÃES DA AREIA                                                                                   ;060426           
B1101505000000  ;OLHE PRA MIM DE NOVO                                                                                ;080483           
B1101509000000  ;PARAÍSOS ARTIFICIAIS                                                                                ;070046           
B1101509500000  ;JULIE E OS FANTASMAS                                                                                ;100157           
B1101510200000  ;MULHER DE FASES                                                                                     ;090283           
B1101513100000  ;VALE DOS ESQUECIDOS                                                                                 ;080107           
B1101518000000  ;MEMÓRIA FANTASMA                                                                                    ;090215           
B1101519200000  ;AS AVENTURAS DE AGAMENON, O REPÓRTER                                                                ;080505           
B1101519400000  ;UM ASSALTO DE FÉ                                                                                    ;080105           
B1101520600000  ;AS CANÇÕES                                                                                          ;090411           
B1101521000000  ;SUPER NADA                                                                                          ;090507           
B1101522300000  ;FORDLANDIA                                                                                          ;011871           
B1101522500000  ;QUEM AGORA CAMINHA EM ALGUM LUGAR DO MUNDO                                                          ;050370           
B1101522700000  ;BIKINI REVOLUTION                                                                                   ;060341           
B1101526700000  ;VOU RIFAR MEU CORAÇÃO                                                                               ;070410           
B1101527700000  ;SITIO DO PICAPAU AMARELO                                                                            ;100240           
B1101527800000  ;O HOMEM QUE NÃO DORMIA                                                                              ;070040           
B1101528200000  ;EU RECEBERIA AS PIORES NOTÍCIAS DOS SEUS LINDOS LÁBIOS                                              ;070512           
B1101537800000  ;BILLI PIG                                                                                           ;100151           
B1101537900000  ;A MÚSICA SEGUNDO TOM JOBIM                                                                          ;050153           
B1201541900000  ;FÉ NA FESTA                                                                                         ;100472           
B1201547400000  ;XINGU                                                                                               ;090298           
B1201547400000  ;XINGU                                                                                               ;070220           
B1201547400000  ;XINGU                                                                                               ;117041           
B1201550400000  ;DESTINO LUA DE MEL                                                                                  ;060060           
B1201553500000  ;HELENO                                                                                              ;040264           
B1201553600000  ;O SARAU                                                                                             ;080431           
B1201554100000  ;EU NÃO CONHECIA TURURU                                                                              ;971815           
B1201554500000  ;ESCOLA PRA CACHORRO 2ª TEMPORADA                                                                    ;090478           
B1201554600000  ;PARALELO 10                                                                                         ;070030           
B1201554700000  ;SANTOS, 100 ANOS DE FUTEBOL ARTE                                                                    ;110168           
B1201556200000  ;BIOGRAFIAS III                                                                                      ;070398           
B1201556300000  ;BIOGRAFIAS II                                                                                       ;070263           
B1201558400000  ;GIRIMUNHO                                                                                           ;090028           
B1201564400000  ;CONSTANTINO                                                                                         ;080023           
B1201565800000  ;ATÉ QUE A MORTE NOS SEPARE                                                                          ;100568           
B1201566400000  ;PONTO ORG                                                                                           ;050264           
B1201567700000  ;RAUL, O INÍCIO, O FIM E O MEIO                                                                      ;060397           
B1201568300000  ;31 MINUTOS                                                                                          ;060215           
B1201569100000  ;O GERENTE                                                                                           ;080078           
B1201571600000  ;ROMANCE DE FORMAÇÃO                                                                                 ;090294           
B1201571700000  ;QUEM SE IMPORTA                                                                                     ;100144           
B1201571700000  ;QUEM SE IMPORTA                                                                                     ;070309           
B1201572300000  ;A NOVELA DAS OITO                                                                                   ;090150           
B1201573200000  ;FEBRE DO RATO                                                                                       ;080141           
B1201574300000  ;ENSAIO                                                                                              ;070409           
B1201580500000  ;UMA HISTÓRIA DE AMOR E FÚRIA                                                                        ;060028           
B1201580500000  ;UMA HISTÓRIA DE AMOR E FÚRIA                                                                        ;100274           
B1201582100000  ;NASCEMOS PARA CANTAR                                                                                ;100386           
B1201586000000  ;E AÍ, COMEU?                                                                                        ;100493           
B1201586300000  ;CARA OU COROA                                                                                       ;060003           
B1201590700000  ;GRINGOS DO RIO (RIO SEX COMEDY)                                                                     ;070499           
B1201590900000  ;CORPO PRESENTE                                                                                      ;079031           
B1201591400000  ;MÚSICA.DOC - 1ª TEMPORADA                                                                           ;100580           
B1201593600000  ;TOTALMENTE INOCENTES                                                                                ;100117           
B1201596000000  ;O SEXO DOS ANJOS                                                                                    ;089025           
B1201599600000  ;FORA DE CONTROLE                                                                                    ;110107           
B1201600900000  ;TROPICALIA                                                                                          ;080119           
B1201602700000  ;FDP                                                                                                 ;100113           
B1201603300000  ;FORA DO FIGURINO                                                                                    ;993613           
B1201604400000  ;MÉXICO 1968 - A ÚLTIMA OLIMPÍADA LIVRE                                                              ;110268           
B1201604900000  ;AMÉRICA                                                                                             ;079049           
B1201605000000  ;1981 - O ANO RUBRO NEGRO                                                                            ;100581           
B1201605200000  ;AO SOM DO MAR, À LUZ DO CÉU                                                                         ;100158           
B1201605900000  ;À BEIRA DO CAMINHO                                                                                  ;090176           
B1201614400000  ;A ÚLTIMA ESTAÇÃO                                                                                    ;050143           
B1201616000000  ;ABDIAS NASCIMENTO                                                                                   ;070050           
B1201616800000  ;MENOS QUE NADA                                                                                      ;080206           
B1201617800000  ;MARGENS                                                                                             ;070143           
B1201622100000  ;CORAÇÃO DO BRASIL                                                                                   ;110144           
B1201622800000  ;MARIGHELLA                                                                                          ;090096           
B1201623700000  ;BOCA                                                                                                ;050256           
B1201623800000  ;AMAZÔNIA - A ÚLTIMA FRONTEIRA                                                                       ;100032           
B1201626900000  ;O DIA QUE DUROU 21 ANOS                                                                             ;130454           
B1201627800000  ;BRICHOS - A FLORESTA É NOSSA                                                                        ;070184           
B1201628500000  ;O DIÁRIO DE TATI                                                                                    ;040106           
B1201628900000  ;RITOS DE PASSAGEM                                                                                   ;090021           
B1201629200000  ;AMAZÔNIA ETERNA                                                                                     ;100132           
B1201630700000  ;CURITIBA ZERO GRAU                                                                                  ;090242           
B1201636000000  ;O QUE SE MOVE                                                                                       ;100005           
B1201639800000  ;TABU                                                                                                ;109059           
B1201642000000  ;ERA UMA VEZ EU, VERÔNICA                                                                            ;070338           
B1201643000000  ;A HORA E A VEZ DE AUGUSTO MATRAGA                                                                   ;060305           
B1201643500000  ;E A TERRA SE FEZ VERBO                                                                              ;060043           
B1201645500000  ;AUGUSTAS                                                                                            ;060233           
B1201646900000  ;FUTURO DO PRETÉRITO: TROPICALISMO NOW!                                                              ;060259           
B1201647100000  ;GONZAGA - DE PAI PARA FILHO                                                                         ;080471           
B1201652600000  ;DISPAROS                                                                                            ;090048           
B1201656300000  ;PEIXONAUTA: AGENTE SECRETO DA O.S.T.R.A.                                                            ;050285           
B1201657700000  ;ATÉ QUE A SORTE NOS SEPARE                                                                          ;100219           
B1201659200000  ;CAOS                                                                                                ;110452           
B1201659300000  ;TESTEMUNHA 4                                                                                        ;100417           
B1201660900000  ;COLEGAS                                                                                             ;060322           
B1201663400000  ;ELMIRO MIRANDA SHOW                                                                                 ;120131           
B1201666600000  ;FAMÍLIA IMPERIAL                                                                                    ;100366           
B1201666700000  ;A COLEÇÃO INVISÍVEL                                                                                 ;080236           
B1201667100000  ;VIRANDO BICHO                                                                                       ;090354           
B1201667300000  ;DESTINO SÃO PAULO                                                                                   ;110425           
B1201667800000  ;XICO STOCKINGER                                                                                     ;080517           
B1201670700000  ;ASTRO, UMA FÁBULA URBANA EM UM RIO DE JANEIRO MÁGICO                                                ;110355           
B1201671000000  ;CHAMADA A COBRAR                                                                                    ;090427           
B1201672700000  ;A MATA ATLANTICA E OS CICLOS DA VIDA                                                                ;040325           
B1201673600000  ;MARCELO YUKA NO CAMINHO DAS SETAS                                                                   ;080299           
B1201676800000  ;DE PERNAS PRO AR 2                                                                                  ;110131           
B1201679700000  ;SEM LIMITES                                                                                         ;090310           
B1201681100000  ;OS PENETRAS                                                                                         ;100572           
B1201682400000  ;ESPIA SÓ                                                                                            ;090267           
B1201682600000  ;SOBRAL                                                                                              ;050065           
B1201682700000  ;DORES DE AMORES                                                                                     ;100331           
B1201686200000  ;SÃO PAULO COMPANHIA DE DANÇA                                                                        ;090119           
B1201690700000  ;PORTINARI DO BRASIL                                                                                 ;100229           
B1201696600000  ;MEUS DOIS AMORES                                                                                    ;090307           
B1201696900000  ;FLORES RARAS                                                                                        ;080654           
B1201698400000  ;SEGREDOS DA TRIBO                                                                                   ;050244           
B1201698500000  ;O SOM AO REDOR                                                                                      ;080406           
B1201704500000  ;CATÁSTROFES AÉREAS                                                                                  ;100588           
B1201704900000  ;ELENA                                                                                               ;110270           
B1201708200000  ;ÁGUIAS DA CIDADE                                                                                    ;110172           
B1301712200000  ;TAINÁ - A ORIGEM                                                                                    ;040288           
B1301732600000  ;AOS VENTOS QUE VIRÃO                                                                                ;030331           
B1301733000000  ;VAI QUE DÁ CERTO                                                                                    ;090045           
B1301738200000  ;A REDE CONDOR                                                                                       ;100589           
B1301738800000  ;ANITA E GARIBALDI                                                                                   ;011995           
B1301739100000  ;BONITINHA MAS ORDINÁRIA                                                                             ;060329           
B1301740400000  ;PAULO MOURA - ALMA BRASILEIRA                                                                       ;080448           
B1301740700000  ;HISTORIETAS ASSOMBRADAS (PARA CRIANÇAS MALCRIADAS)                                                  ;120031           
B1301743100000  ;MEU PÉ DE LARANJA LIMA                                                                              ;040277           
B1301751900000  ;A BUSCA                                                                                             ;090245           
B1301754000000  ;SEMENTES DO NOSSO QUINTAL                                                                           ;090171           
B1301755800000  ;FRANCISCO BRENNAND                                                                                  ;070032           
B1301755900000  ;BRASIL DESAFIOS DE UM PAÍS QUE VOCÊ NÃO CONHECE                                                     ;100489           
B1301756900000  ;ALICE                                                                                               ;050130           
B1301756900000  ;ALICE                                                                                               ;070134           
B1301757000000  ;ALICE ESPECIAL                                                                                      ;090432           
B1301761800000  ;AMAZÔNIA DESCONHECIDA                                                                               ;080217           
B1301763500000  ;ESTAÇÃO LIBERDADE                                                                                   ;060412           
B1301769500000  ;VENDO OU ALUGO                                                                                      ;060240           
B1301772600000  ;POR QUE VOCÊ PARTIU?                                                                                ;120090           
B1301773400000  ;SOMOS TÃO JOVENS                                                                                    ;050255           
B1301774500000  ;NA TRILHA DA ENERGIA                                                                                ;100416           
B1301775900000  ;LIMITES HUMANOS                                                                                     ;100332           
B1301781700000  ;ODEIO O DIA DOS NAMORADOS                                                                           ;080302           
B1301783300000  ;FILME JARDIM ATLÂNTICO                                                                              ;080153           
B1301783500000  ;MADEIREIROS                                                                                         ;000202           
B1301784200000  ;RAÇA                                                                                                ;090483           
B1301795000000  ;GIOVANNI IMPROTTA                                                                                   ;090064           
B1301797400000  ;REFERENDO                                                                                           ;080073           
B1301798200000  ;INVASORES                                                                                           ;130368           
B1301803100000  ;FAROESTE CABOCLO                                                                                    ;070055           
B1301803700000  ;PRA LÁ DO MUNDO                                                                                     ;080010           
B1301805700000  ;PERIPATÉTICO                                                                                        ;110279           
B1301808000000  ;SORRIA, VOCÊ ESTA NA BARRA.                                                                         ;070202           
B1301808100000  ;MINHA MÃE É UMA PEÇA                                                                                ;110101           
B1301812400000  ;OS AMARGOS                                                                                          ;110317           
B1301815500000  ;CALEUCHE, O CHAMADO DO MAR                                                                          ;080112           
B1301823800000  ;ATUALIDADES SEGUNDA TEMPORADA                                                                       ;120449           
B1301836900000  ;SERRA PELADA                                                                                        ;060299           
B1301837200000  ;O CONCURSO                                                                                          ;110444           
B1301841300000  ;BACK TRACK                                                                                          ;120184           
B1301864200000  ;MINHOCAS                                                                                            ;060111           
B1301868100000  ;SITIO DO PICAPAU AMARELO - SEGUNDA TEMPORADA                                                        ;120458           
B1301869200000  ;A CASA ELÉTRICA                                                                                     ;050292           
B1301874500000  ;ATÉ QUE A SBÓRNIA NOS SEPARE                                                                        ;040322           
B1301877200000  ;A ALMA DA GENTE                                                                                     ;080425           
B1301893900000  ;NA FÉ COM ARTHUR VERISSIMO                                                                          ;120371           
B1301898100000  ;O INVENTOR DE SONHOS                                                                                ;060400           
B1301899200000  ;HOMEM COMUM                                                                                         ;060089           
B1301899900000  ;BOA SORTE, MEU AMOR                                                                                 ;080125           
B1301902100000  ;""" A PRIMEIRA MISSA""                                                                                 ";030147           
B1301902700000  ;CONFIA EM MIM                                                                                       ;060232           
B1301910300000  ;CASA DA MÃE JOANA 2                                                                                 ;100545           
B1301910400000  ;A OESTE DO FIM DO MUNDO                                                                             ;090393           
B1301910400000  ;A OESTE DO FIM DO MUNDO                                                                             ;119115           
B1301916500000  ;QUASE SAMBA                                                                                         ;070419           
B1301916600000  ;QUASE UM TANGO...                                                                                   ;050294           
B1301917000000  ;SE PUDER...DIRIJA!                                                                                  ;100602           
B1301926100000  ;O LOBO ATRÁS DA PORTA                                                                               ;100306           
