CPB;TITULO_ORIGINAL;NUMERO_SALIC
B0500209900000  ;ESTAMIRA                                                                                            ;030165           
B0500210500000  ;FIM DO SEM FIM, O                                                                                   ;011817           
B0500216600000  ;MENSAGEIRAS DA LUZ - PARTEIRAS DA AMAZÔNIA                                                          ;023848           
B0500220600000  ;MAIS UMA VEZ AMOR                                                                                   ;023770           
B0500222600000  ;GAIJIN  AMA - ME COMO SOU                                                                           ;961527           
B0500228000000  ;PATRULHA NICK 2004 - 2º SEMESTRE                                                                    ;040245           
B0500238500000  ;QUANTO VALE OU É POR QUILO ?                                                                        ;011974           
B0500239900000  ;RECIFE/ SEVILHA - JOÃO CABRAL DE MELO NETO                                                          ;993526           
B0500242600000  ;MENINO MALUQUINHO 2 - A AVENTURA                                                                    ;961064           
B0500247700000  ;QUASE NADA                                                                                          ;993647           
B0500250700000  ;CASA DE AREIA                                                                                       ;030325           
B0500251200000  ;BENS CONFISCADOS                                                                                    ;012008           
B0500254900000  ;ANÉSIA - UM VÔO NO TEMPO                                                                            ;983545           
B0500255100000  ;SEPARAÇÕES                                                                                          ;000415           
B0500255500000  ;CINEMA, ASPIRINAS E URUBUS                                                                          ;000440           
B0500256500000  ;TENTAÇÕES DO IRMÃO SEBASTIÃO, AS                                                                    ;983507           
B0500260500000  ;ILHA DOS GOLFINHOS                                                                                  ;023984           
B0500260600000  ;BRASIL OCEÂNICO                                                                                     ;011942           
B0500260700000  ;ATOL DAS ROCAS                                                                                      ;011943           
B0500261200000  ;AMORES                                                                                              ;983504           
B0500262300000  ;GRANDE NOITADA, A                                                                                   ;930096           
B0500263900000  ;TIETA DO AGRESTE                                                                                    ;940323           
B0500265000000  ;CIDADE BAIXA                                                                                        ;000387           
B0500265400000  ;VENENO DA MADRUGADA                                                                                 ;011969           
B0500272900000  ;COMO SER SOLTEIRO NO RIO DE JANEIRO                                                                 ;951083           
B0500276200000  ;HISTÓRIAS DO OLHAR                                                                                  ;970039           
B0500277300000  ;LAVOURA ARCAICA                                                                                     ;973946           
B0500277500000  ;COISA MAIS LINDA                                                                                    ;024144           
B0500279500000  ;BICHO DÁ. O BICHO TOMA, O                                                                           ;011890           
B0500281700000  ;COISA DE MULHER                                                                                     ;040232           
B0500282100000  ;DOUTORES DA ALEGRIA                                                                                 ;000177           
B0500286100000  ;DOIS CÓRREGOS                                                                                       ;961865           
B0500286200000  ;AÇÃO ENTRE AMIGOS                                                                                   ;961499           
B0500293200000  ;UMA VIDA EM SEGREDO                                                                                 ;971282           
B0500293500000  ;SAMBA RIACHÃO                                                                                       ;030360           
B0500293600000  ;VINICIUS DE MORAES                                                                                  ;013690           
B0500294600000  ;DIÁRIO DE UM NOVO MUNDO                                                                             ;023990           
B0500297900000  ;XUXA EM POPSTAR                                                                                     ;000193           
B0500298800000  ;JENIPAPO                                                                                            ;940449           
B0500299800000  ;TARTARUGAS MARINHAS: SOBREVIVENTES EM EXTINÇÃO                                                      ;030307           
B0500301000000  ;JANELA DA ALMA                                                                                      ;971513           
B0500302600000  ;2 FILHOS DE FRANCISCO: A HISTÓRIA DE ZEZÉ DI CAMARGO E LUCIANO                                      ;030249           
B0500303900000  ;TANCREDO NEVES - MENSAGEIRO DA LIBERDADE                                                            ;050032           
B0500304300000  ;FÉ                                                                                                  ;962415           
B0500307600000  ;TRAIÇÃO                                                                                             ;921012           
B0500308800000  ;O PRÍNCIPE                                                                                          ;983506           
B0500309600000  ;AMORES POSSÍVEIS                                                                                    ;973131           
B0500309700000  ;CASAMENTO DE LOUISE, O                                                                              ;961355           
B0500309800000  ;BICHO DE SETE CABEÇAS                                                                               ;984908           
B0500309900000  ;BELLINI E A ESFINGE                                                                                 ;972595           
B0500311300000  ;CINEASTA DA SELVA, O                                                                                ;950646           
B0500311600000  ;ESTORVO                                                                                             ;960438           
B0500312000000  ;CONDENADO A LIBERDADE                                                                               ;960673           
