NOME_SALA,REGISTRO_SALA,CNPJ_SALA,SITUACAO_SALA,ASSENTOS_SALA,NOME_COMPLEXO,REGISTRO_COMPLEXO,PAGINA_ELETRONICA_COMPLEXO,ENDERECO_COMPLEXO,NUMERO_ENDERECO_COMPLEXO,COMPLEMENTO_COMPLEXO,BAIRRO_COMPLEXO,MUNICIPIO_COMPLEXO,CEP_COMPLEXO,UF_COMPLEXO,COMPLEXO_ITINERANTE,OPERACAO_USUAL,EXIBIDOR,REGISTRO_EXIBIDOR,CNPJ_EXIBIDOR,SITUACAO_EXIBIDOR,GRUPO_EXIBIDOR
CINE RITZ ARACRUZ SALA 1,5005501,21.033.878/0001-01,EM FUNCIONAMENTO,141,CINE RITZ ARACRUZ,32422,www.afacinemas.com.br,AV. FLORESTAL,555,LJ.65,SEGATO,ARACRUZ,29192-154,ES,NÃO,COMERCIAL,CINEMATOGRAFICA ARACRUZ LTDA ME,32420,21.033.878/0001-01,REGULAR,AFA
CINE RITZ ARACRUZ SALA 2,5005502,21.033.878/0001-01,EM FUNCIONAMENTO,99,CINE RITZ ARACRUZ,32422,www.afacinemas.com.br,AV. FLORESTAL,555,LJ.65,SEGATO,ARACRUZ,29192-154,ES,NÃO,COMERCIAL,CINEMATOGRAFICA ARACRUZ LTDA ME,32420,21.033.878/0001-01,REGULAR,AFA
CINE RITZ PERIM SALA 01,5005763,04.736.746/0001-19,EM FUNCIONAMENTO,170,CINE RITZ PERIM,35405,www.afacinemas.com.br,Av. Jones dos Santos Neves,1372,Perim Center,Caiçaras,CACHOEIRO DE ITAPEMIRIM,29310-376,ES,NÃO,COMERCIAL,CINEMATOGRÁFICA CACHOEIRO LTDA ME,5221,04.736.746/0001-19,IRREGULAR,AFA
CINE RITZ PERIM SALA 02,5005764,04.736.746/0001-19,EM FUNCIONAMENTO,290,CINE RITZ PERIM,35405,www.afacinemas.com.br,Av. Jones dos Santos Neves,1372,Perim Center,Caiçaras,CACHOEIRO DE ITAPEMIRIM,29310-376,ES,NÃO,COMERCIAL,CINEMATOGRÁFICA CACHOEIRO LTDA ME,5221,04.736.746/0001-19,IRREGULAR,AFA
CINE RITZ PERIM SALA 03,5005765,04.736.746/0001-19,EM FUNCIONAMENTO,169,CINE RITZ PERIM,35405,www.afacinemas.com.br,Av. Jones dos Santos Neves,1372,Perim Center,Caiçaras,CACHOEIRO DE ITAPEMIRIM,29310-376,ES,NÃO,COMERCIAL,CINEMATOGRÁFICA CACHOEIRO LTDA ME,5221,04.736.746/0001-19,IRREGULAR,AFA
CINERITZ GUARAPARI 1,5002010,05.077.549/0001-06,EM FUNCIONAMENTO,118,CENTRO - GUARAPARI,6638,HTTP://WWW.AFACINEMAS.COM.BR,"AVENIDA DR. ROBERTO CALMON, 140",140,LOJAS/COND. ED. SHOPPING GUARAPARI,CENTRO,GUARAPARI,29200-340,ES,NÃO,COMERCIAL,CINEMATOGRÁFICA GUARAPARI LTDA,5252,05.077.549/0001-06,REGULAR,AFA
CINERITZ GUARAPARI 2,5002011,05.077.549/0001-06,EM FUNCIONAMENTO,103,CENTRO - GUARAPARI,6638,HTTP://WWW.AFACINEMAS.COM.BR,"AVENIDA DR. ROBERTO CALMON, 140",140,LOJAS/COND. ED. SHOPPING GUARAPARI,CENTRO,GUARAPARI,29200-340,ES,NÃO,COMERCIAL,CINEMATOGRÁFICA GUARAPARI LTDA,5252,05.077.549/0001-06,REGULAR,AFA
CINERITZ GUARAPARI 3,5001574,05.077.549/0001-06,EM FUNCIONAMENTO,257,CENTRO - GUARAPARI,6638,HTTP://WWW.AFACINEMAS.COM.BR,"AVENIDA DR. ROBERTO CALMON, 140",140,LOJAS/COND. ED. SHOPPING GUARAPARI,CENTRO,GUARAPARI,29200-340,ES,NÃO,COMERCIAL,CINEMATOGRÁFICA GUARAPARI LTDA,5252,05.077.549/0001-06,REGULAR,AFA
CINERITZ JARDINS SALA 01,5001995,08.101.204/0001-20,EM FUNCIONAMENTO,127,CINE JARDINS,12477,SEM INFORMAÇÃO,"RUA CARLOS EDUARDO MONTEIRO DE LEMOS,",262,SHOPPING JARDINS,JARDIM DA PENHA,VITÓRIA,29060-120,ES,NÃO,COMERCIAL,CINEMATOGRÁFICA JARDINS LTDA ME,12476,08.101.204/0001-20,REGULAR,NAO PERTENCE A NENHUM GRUPO EXIBIDOR
CINERITZ JARDINS SALA 02,5001996,08.101.204/0001-20,EM FUNCIONAMENTO,122,CINE JARDINS,12477,SEM INFORMAÇÃO,"RUA CARLOS EDUARDO MONTEIRO DE LEMOS,",262,SHOPPING JARDINS,JARDIM DA PENHA,VITÓRIA,29060-120,ES,NÃO,COMERCIAL,CINEMATOGRÁFICA JARDINS LTDA ME,12476,08.101.204/0001-20,REGULAR,NAO PERTENCE A NENHUM GRUPO EXIBIDOR
CINE RITZ PIUMA,5005036,19.387.261/0001-34,EM FUNCIONAMENTO,156,CINE RITZ PIUMA,29419,www.afacinemas.com.br,AV PREF. JOSE DE VARGAS SCHERRER,1152,0, ITAPUTANGA,PIÚMA,29285-000,ES,NÃO,COMERCIAL,CINEMATOGRÁFICA PIÚMA LTDA,29417,19.387.261/0001-34,REGULAR,AFA
SALA CINEPOLIS SHOPPING MOXUARA 01 TRADICIONAL,5004476,09.652.820/0031-58,EM FUNCIONAMENTO,236,CINEPOLIS SHOPPING MOXUARA,25961,www.cinepolis.com.br,ROD BR-262,6555,KM05 SC401A Pl4,SÃO FRANCISCO,CARIACICA,29145-409,ES,NÃO,COMERCIAL,CINEPOLIS OPERADORA DE CINEMAS DO BRASIL LTDA,17266,09.652.820/0001-32,REGULAR,CINÉPOLIS
SALA CINEPOLIS SHOPPING MOXUARA 02 MACRO XE,5004477,09.652.820/0031-58,EM FUNCIONAMENTO,468,CINEPOLIS SHOPPING MOXUARA,25961,www.cinepolis.com.br,ROD BR-262,6555,KM05 SC401A Pl4,SÃO FRANCISCO,CARIACICA,29145-409,ES,NÃO,COMERCIAL,CINEPOLIS OPERADORA DE CINEMAS DO BRASIL LTDA,17266,09.652.820/0001-32,REGULAR,CINÉPOLIS
SALA CINEPOLIS SHOPPING MOXUARA 03 TRADICIONAL,5004478,09.652.820/0031-58,EM FUNCIONAMENTO,385,CINEPOLIS SHOPPING MOXUARA,25961,www.cinepolis.com.br,ROD BR-262,6555,KM05 SC401A Pl4,SÃO FRANCISCO,CARIACICA,29145-409,ES,NÃO,COMERCIAL,CINEPOLIS OPERADORA DE CINEMAS DO BRASIL LTDA,17266,09.652.820/0001-32,REGULAR,CINÉPOLIS
SALA CINEPOLIS SHOPPING MOXUARA 04 TRADICIONAL,5004479,09.652.820/0031-58,EM FUNCIONAMENTO,236,CINEPOLIS SHOPPING MOXUARA,25961,www.cinepolis.com.br,ROD BR-262,6555,KM05 SC401A Pl4,SÃO FRANCISCO,CARIACICA,29145-409,ES,NÃO,COMERCIAL,CINEPOLIS OPERADORA DE CINEMAS DO BRASIL LTDA,17266,09.652.820/0001-32,REGULAR,CINÉPOLIS
SALA CINEPOLIS SHOPPING MOXUARA 05 TRADICIONAL,5004480,09.652.820/0031-58,EM FUNCIONAMENTO,206,CINEPOLIS SHOPPING MOXUARA,25961,www.cinepolis.com.br,ROD BR-262,6555,KM05 SC401A Pl4,SÃO FRANCISCO,CARIACICA,29145-409,ES,NÃO,COMERCIAL,CINEPOLIS OPERADORA DE CINEMAS DO BRASIL LTDA,17266,09.652.820/0001-32,REGULAR,CINÉPOLIS
KINOPLEX PRAIA DA COSTA SALA 01,5004872,33.497.660/0014-01,EM FUNCIONAMENTO,354,KINOPLEX PRAIA DA COSTA,27854,SEM INFORMAÇÃO,RUA DR. OLÍVIO LIRA,353,"SUC 301,PISO L3",PRAIA DA COSTA,VILA VELHA,29100-450,ES,NÃO,COMERCIAL,EMPRESA CINEMAS SÃO LUIZ S/A,1991,33.497.660/0001-89,REGULAR,KINOPLEX
KINOPLEX PRAIA DA COSTA SALA 02,5004873,33.497.660/0014-01,EM FUNCIONAMENTO,64,KINOPLEX PRAIA DA COSTA,27854,SEM INFORMAÇÃO,RUA DR. OLÍVIO LIRA,353,"SUC 301,PISO L3",PRAIA DA COSTA,VILA VELHA,29100-450,ES,NÃO,COMERCIAL,EMPRESA CINEMAS SÃO LUIZ S/A,1991,33.497.660/0001-89,REGULAR,KINOPLEX
