NOME_SALA,REGISTRO_SALA,CNPJ_SALA,SITUACAO_SALA,ASSENTOS_SALA,NOME_COMPLEXO,REGISTRO_COMPLEXO,PAGINA_ELETRONICA_COMPLEXO,ENDERECO_COMPLEXO,NUMERO_ENDERECO_COMPLEXO,COMPLEMENTO_COMPLEXO,BAIRRO_COMPLEXO,MUNICIPIO_COMPLEXO,CEP_COMPLEXO,UF_COMPLEXO,COMPLEXO_ITINERANTE,OPERACAO_USUAL,EXIBIDOR,REGISTRO_EXIBIDOR,CNPJ_EXIBIDOR,SITUACAO_EXIBIDOR,GRUPO_EXIBIDOR
MULTIPLEX SERRA 05,5003381,03.608.600/0030-60,EM FUNCIONAMENTO,244,ARAUJO MULTIPLEX SHOPPING MESTRE ALVARO,20405,SEM INFORMAÇÃO,AV. JOÃO PALACIOS,300,0,EURICO SALLES,SERRA,29160-161,ES,NÃO,COMERCIAL,MSA EMPRESA CINEMATOGRÁFICA LTDA,3136,03.608.600/0001-25,REGULAR,ARAÚJO
CINE TEATRO CASTELO,5001980,27.165.638/0001-39,EM FUNCIONAMENTO,245,PREFEITURA MUNICIPAL DE CASTELO,12225,SEM INFORMAÇÃO,RUA ANTÔNIO MACHADO N° 16,0,0,CENTRO,CASTELO,29360-000,ES,NÃO,NÃO COMERCIAL,MUNICIPIO DE CASTELO,12224,27.165.638/0001-39,IRREGULAR,NAO PERTENCE A NENHUM GRUPO EXIBIDOR
SALA VIA SUL MARATAIZES,5004605,31.703.432/0001-92,EM FUNCIONAMENTO,190,CINE VIA SUL MARATAÍZES,27043,SEM INFORMAÇÃO,RUA DO CAJUEIRO,0,LOJA A,ARRAIAS,MARATAÍZES,29345-000,ES,NÃO,COMERCIAL,R. F. R. GOMES CINEMATOGRAFICA,27041,31.703.432/0001-92,REGULAR,AFA
VILA VELHA 01,5003558,15.422.993/0002-48,EM FUNCIONAMENTO,136,CINESYSTEM VILA VELHA,22547,SEM INFORMAÇÃO,RODOVIA DO SOL,5000,LJ D-233,JOCKEY DE ITAPARICA,VILA VELHA,29103-800,ES,NÃO,COMERCIAL,REDECINE BRA CINEMATOGRÁFICA S.A.,22546,15.422.993/0001-67,REGULAR,CINESYSTEM
VILA VELHA 02,5003559,15.422.993/0002-48,FECHADO TEMPORARIAMENTE,135,CINESYSTEM VILA VELHA,22547,SEM INFORMAÇÃO,RODOVIA DO SOL,5000,LJ D-233,JOCKEY DE ITAPARICA,VILA VELHA,29103-800,ES,NÃO,COMERCIAL,REDECINE BRA CINEMATOGRÁFICA S.A.,22546,15.422.993/0001-67,REGULAR,CINESYSTEM
VILA VELHA 03,5003560,15.422.993/0002-48,EM FUNCIONAMENTO,397,CINESYSTEM VILA VELHA,22547,SEM INFORMAÇÃO,RODOVIA DO SOL,5000,LJ D-233,JOCKEY DE ITAPARICA,VILA VELHA,29103-800,ES,NÃO,COMERCIAL,REDECINE BRA CINEMATOGRÁFICA S.A.,22546,15.422.993/0001-67,REGULAR,CINESYSTEM
VILA VELHA 04,5003561,15.422.993/0002-48,EM FUNCIONAMENTO,202,CINESYSTEM VILA VELHA,22547,SEM INFORMAÇÃO,RODOVIA DO SOL,5000,LJ D-233,JOCKEY DE ITAPARICA,VILA VELHA,29103-800,ES,NÃO,COMERCIAL,REDECINE BRA CINEMATOGRÁFICA S.A.,22546,15.422.993/0001-67,REGULAR,CINESYSTEM
VILA VELHA 05,5003562,15.422.993/0002-48,FECHADO TEMPORARIAMENTE,238,CINESYSTEM VILA VELHA,22547,SEM INFORMAÇÃO,RODOVIA DO SOL,5000,LJ D-233,JOCKEY DE ITAPARICA,VILA VELHA,29103-800,ES,NÃO,COMERCIAL,REDECINE BRA CINEMATOGRÁFICA S.A.,22546,15.422.993/0001-67,REGULAR,CINESYSTEM
VILA VELHA 06,5003563,15.422.993/0002-48,EM FUNCIONAMENTO,136,CINESYSTEM VILA VELHA,22547,SEM INFORMAÇÃO,RODOVIA DO SOL,5000,LJ D-233,JOCKEY DE ITAPARICA,VILA VELHA,29103-800,ES,NÃO,COMERCIAL,REDECINE BRA CINEMATOGRÁFICA S.A.,22546,15.422.993/0001-67,REGULAR,CINESYSTEM
CINE METRÓPOLIS,5006071,32.479.123/0001-43,EM FUNCIONAMENTO,240,CINE METRÓPOLIS,40544,cinema.ufes.br,Avenida Fernando Ferrari,514,Campus Univer,Goiabeiras,VITÓRIA,29075-910,ES,NÃO,NÃO COMERCIAL,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,39885,32.479.123/0001-43,REGULAR,NAO PERTENCE A NENHUM GRUPO EXIBIDOR
AFA CINE UNIMED 01,5002629,08.537.690/0001-24,EM FUNCIONAMENTO,178,AFA CINE UNIMED,17321,SEM INFORMAÇÃO,AV FRANCISCO LACERDA DE AGUIAR,382,SALA 1 A 4 ,PARAISO,CACHOEIRO DE ITAPEMIRIM,29303-384,ES,NÃO,COMERCIAL,VIA SUL CINEMATOGRÁFICA LTDA,12489,08.537.690/0001-24,IRREGULAR,AFA
AFA CINE UNIMED 02,5002630,08.537.690/0001-24,EM FUNCIONAMENTO,299,AFA CINE UNIMED,17321,SEM INFORMAÇÃO,AV FRANCISCO LACERDA DE AGUIAR,382,SALA 1 A 4 ,PARAISO,CACHOEIRO DE ITAPEMIRIM,29303-384,ES,NÃO,COMERCIAL,VIA SUL CINEMATOGRÁFICA LTDA,12489,08.537.690/0001-24,IRREGULAR,AFA
AFA CINE UNIMED 03,5005912,08.537.690/0001-24,EM FUNCIONAMENTO,275,AFA CINE UNIMED,17321,SEM INFORMAÇÃO,AV FRANCISCO LACERDA DE AGUIAR,382,SALA 1 A 4 ,PARAISO,CACHOEIRO DE ITAPEMIRIM,29303-384,ES,NÃO,COMERCIAL,VIA SUL CINEMATOGRÁFICA LTDA,12489,08.537.690/0001-24,IRREGULAR,AFA
AFA CINE UNIMED 04,5005913,08.537.690/0001-24,EM FUNCIONAMENTO,142,AFA CINE UNIMED,17321,SEM INFORMAÇÃO,AV FRANCISCO LACERDA DE AGUIAR,382,SALA 1 A 4 ,PARAISO,CACHOEIRO DE ITAPEMIRIM,29303-384,ES,NÃO,COMERCIAL,VIA SUL CINEMATOGRÁFICA LTDA,12489,08.537.690/0001-24,IRREGULAR,AFA
