,REGISTRO_ANCINE,RAZAO_SOCIAL,EMPRESA_ASSOCIADA
55,43,FILMES DO EQUADOR LTDA.,PRODUÇÕES CINEMATOGRÁFICAS LC BARRETO LTDA
56,3136,MSA EMPRESA CINEMATOGRÁFICA LTDA,CINEMAS ALVORADA DIVERSÕES LTDA
57,4404,EMPRESA CINEMATOGRÁFICA CAMPO GRANDE,CINEMAS ALVORADA DIVERSÕES LTDA
58,22627,BRASIL CHANNELS SERVIÇOS AUDIOVISUAIS LTDA.,TOPSPORTS VENTURES LTDA.
59,5678,DISCOVERY NETWORKS BRASIL AGENCIAMENTO E REPRESENTAÇÃO LTDA,TOPSPORTS VENTURES LTDA.
60,47076,"BALDE DE TINTA FILMES, PRODUCAO AUDIOVISUAL LTDA",MARCIO PICOLI 01738523004
61,47830,MOBI CINE GURUPI LTDA,LEMOS & SILVA LTDA - ME
62,34841,JONASCE LTDA.- ME,JOSUÉ´S CINE HOTEL FAZENDA SOBRADINHO LTDA-ME
63,19845,JOSUÉ´S CINE SAMONTE LTDA.,JOSUÉ´S CINE HOTEL FAZENDA SOBRADINHO LTDA-ME
64,46087,JOSUÉ´S CINE COMUNICAÇÃO CAPITÓLIO LTDA.,JOSUÉ´S CINE HOTEL FAZENDA SOBRADINHO LTDA-ME
65,40946,RODAMOINHO FILMES LTDA,RODAMOINHO RECORDS LTDA.
66,14649,MAIOMIDIA COMUNICACAO LTDA,LUZ MAGICA PRODUCOES AUDIOVISUAIS EIRELI
67,21500,PAMKA MOTION COMUNICAÇÃO INTEGRADA LTDA - ME,JOSÉ DE RIBAMAR SOARES
68,33770,TUBARÃO FILMES LTDA,FLORIPA FILMES LTDA
69,2977,JUBARTE FILMES LTDA-ME,FLORIPA FILMES LTDA
70,47904,SEIVA PRODUCAO DE FILMES LTDA,SERVICOS COMPARTILHADOS DE PRODUCAO DE FILMES LTDA
71,48333,LADYBIRD PRODUCAO DE FILMES LTDA.,SERVICOS COMPARTILHADOS DE PRODUCAO DE FILMES LTDA
72,25423,SCRIPT @ FILMES PRODUCOES ARTISTICAS S/S LTDA - ME,HANMAUM S. PRODUÇÕES DISTRIBUIÇÃO E DISTRIBUIÇÃO LTDA
73,51,ZEPPELIN PRODUÇÕES DE CINEMA E TELEVISÃO LTDA.,ZEPP FILMES LTDA
74,42562,SANTANA E ALMEIDA LTDA,CINE XTREME PAULO AFONSO LTDA
75,5028,BASE DIGITAL VÍDEO E COMUNICAÇÃO LTDA,ROBERTA MEYER MIRANDA DA VEIGA 81226780920
76,4471,MOONSHOT CREATIVE LAB PRODUÇÕES ARTÍSTICAS LTDA.,WRITE PRODUÇÕES ARTÍSTICAS LTDA
77,38163,CINE COMERCIAL PASSO FUNDO LTDA,CINEMA ARTEPLEX LTDA.
78,1083,CIRCUITO CINEARTE LTDA,CINEMA ARTEPLEX LTDA.
79,49988,CINEMATOGRÁFICA OURO BRANCO LTDA,CINEMATOGRÁFICA CATAGUASES LTDA EPP
80,2068,SALA PRODUÇÕES ARTÍSTICAS LTDA,SALA COMUNICAÇÃO LTDA-ME
81,52870,MPB RECORDS E PRODUÇÕES ARTÍSTICAS LTDA,2.2 PRODUÇÕES ARTÍSTICAS E ENTRETENIMENTO LTDA
