,REGISTRO_ANCINE,RAZAO_SOCIAL,EMPRESA_ASSOCIADA
1799,19845,JOSUÉ´S CINE SAMONTE LTDA.,JOSUE'S CINE SHOPPING LTDA
1800,40404,"OFICINA DE IDEIAS MERITI ENSINO DE ESPORTES, ARTE, CULTURA E PRODUCAO DE EVENTOS LTDA - ME",ENCONTRARTE QUALIDADE DE VIDA ATRAVÉS DA ARTE
1801,50203,CINE LASER CINEMAS UMUARAMA LTDA,CINE LASER CINEMAS EIRELI
1802,3597,EDITORA E ESTÚDIO DE COMUNICAÇÃO COELHO JR LTDA.,AVALON PRODUTORA DE VÍDEOS LTDA.
1803,32475,MH FILMES LTDA - ME,VIVIAN FIRMINO AMODIO PRODUCOES LTDA
1804,40311,REVISÃO PRODUTORA E DISTRIBUIDORA AUDIOVISUAL S.A.,SPRAY FILMES S.A.
1805,22452,S.R. GARCIA FILMAGENS ME,SILMAR ROSA GARCIA EIRELI ME
1806,48281,FARRA PRODUCAO DE FILMES LTDA,FARRA MEDIA PRODUÇÕES LTDA
1807,22279,INSTITUTO BRASILEIRO DA CULTURA E DO CINEMA - IBCC,MYTHOLOGY PRODUÇÕES ARTÍSTICAS LTDA.
1808,39172,MOZI PRODUÇÕES ARTÍSTICAS E CULTURAIS LTDA.,FANTASPOA PRODUÇÕES ARTÍSTICAS E CULTURAIS LTDA.
1809,2670,SUPER BEBÊ EIRELI - EPP,PRODIGO FILMS LTDA
1810,947,TERRA BRASILIS PROMOCOES E MARKETING LTDA,CENTRO DE CULTURA INFORMACAO E MEIO AMBIENTE
1811,50551,ANAVITORIA ARTES LTDA,FSS ARTES EIRELI
1812,35014,PRODUTORA CANARINHO DE ARTE E CULTURA LTDA,EDITORA BRASILEIRA DE ARTE E CULTURA LTDA
1813,33414,PRODUTORA BRASILEIRA DE ARTE E CULTURA LTDA.,EDITORA BRASILEIRA DE ARTE E CULTURA LTDA
1814,17180,QUEROSENE PRODUÇÕES ARTISTICAS E CINEMATOGRÁFICAS LTDA,VENTRE STUDIO PARTICIPACOES LTDA
1815,22724,DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.,BRILHO FILMS PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA
1816,45654,ALHAMA SERVICOS ADMINISTRATIVOS LTDA - ME,MACABEO FILMES LTDA
1817,24503,ICUMAM CULTURAL EIRELI,INSTITUTO DE CULTURA E MEIO AMBIENTE
1818,26640,MPBS FILMES E PRODUCOES ARTISTICAS E ENTRETENIMENTO LTDA,MPB RECORDS E PRODUÇÕES ARTÍSTICAS LTDA
1819,33059,PRODUCOES CANAL DE IDEIAS LTDA,CANAL DE IDÉIAS PROPAGANDA E MARKETING LTDA
1820,15576,ROB DIGITAL LTDA,ROB FILMES LTDA.
1821,15223,FUBÁ FILMES LTDA,TG VIDEO E CINEMA LTDA
1822,1925,CABEÇA AMARELA VIDEOMAKER PRODUTORA DE VÍDEOS E FOTOS LTDA,FABIO ANIYA
1823,15785,ZOLA FILMES LTDA,MEIA PIPA PRODUÇÕES ARTISTICAS E CINEMATOGRÁFICAS LTDA.
1824,16783,ANJOLUZ PRODUÇÕES CINEMATOGRÁFICAS LTDA,ASSOCIAÇÃO DOS DESIGNERS DE JOIAS E ACESSORIOS DE PERNAMBUCO
1825,37895,PIXEL 8 LTDA,KERNO COMUNICAÇÃO E PUBLICIDADE
1826,40335,MACAÉ TV LTDA,REGIONAL TV LTDA
1827,35438,"NNW PRODUCOS AUDIOVISUAIS, CULTURAIS E EVENTOS LTDA ME",ELO AUDIOVISUAL SERVIÇOS LTDA
1828,1263,USINA DE CINEMA LTDA.,ANDERSON FARIA PRODUÇÕES CINEMATOGRÁFICAS LTDA
1829,42285,ZAG COMUNICAÇÃO LTDA,PONTO D COMUNICAÇÃO INTERATIVA LTDA
1830,19390,MARÇO PRODUÇÕES LTDA,VOLANTES CONTEÚDO AUDIOVISUAL LTDA.
1831,570,PIMENTA CINEMA E VIDEO LTDA,IMAGEROCA CINEMA E VIDEO LTDA
1832,23403,BROS FILMES E PROPAGANDA LTDA,BROS FILMES LTDA
1833,39047,DANIELA WASSERSTEIN ANGHINAH,DANIELA WASSERSTEIN ANGHINAH
1834,50949,STUDIO CONTEUDO LTDA,XC FILMES EIRELI
1835,28047,EMELI PARTICIPAÇÕES EIRELI,CINEMATOGRÁFICA LIMEIRA LTDA
1836,39313,PRODUKA FILMES LTDA,PROSEND CROSSMEDIA PRODUÇÕES LTDA
1837,25436,SRS PLANET CINEMAS LTDA,PLANET CINEMAS MACAÉ LTDA
1838,21946,RPC MIDIA LTDA,SOCIEDADE RADIO EMISSORA PARANAENSE SA
1839,50932,RMR RADIO E TELEVISÃO LTDA,RADIO BEL LTDA
1840,16934,44 BICO LARGO COMERCIAL LTDA,44 ENTRETENIMENTO INTERATIVO DESENVOLVIMENTO DE SOFTWARE LTDA.
1841,29583,RENDERFRAME PRODUÇÕES AUDIOVISUAIS LTDA,44 ENTRETENIMENTO INTERATIVO DESENVOLVIMENTO DE SOFTWARE LTDA.
1842,34264,PLANOS PRODUÇÕES ARTÍSTICAS LTDA - ME,C.A.J. PROMOÇÕES E EVENTOS LTDA ME
1843,33534,IN GOOD COMPANY PRODUCOES LTDA - EPP,PICTURE HOUSE PRODUÇÕES EIRELI
1844,35887,SCRIBO CONTEÚDO AUDIOVISUAL EIRELI,MIGDAL PRODUÇÕES CINEMATOGRÁFICAS LTDA.
1845,30011,VIDA BOA SHOWS E EVENTOS LTDA,MOMENTOS EDITORA LTDA
1846,1463,DLK ON LINE LTDA,RF MACEDO LTDA
1847,4599,ANCHOR COMUNICAÇÃO & PRODUÇÕES LTDA,ANCHOR PRODUÇÕES & DESIGN LTDA.
1848,33430,REVOAR FILMES LTDA. ­ ME,RENATO TORTORA RODRIGUES
1849,48193,MB PRODUCAO CINEMATOGRAFICA LTDA,MANDRILL FILMES EIRELI ME
1850,2914,CINEMATOGRÁFICA PASSOS LTDA,EMPRESA CINEMATOGRÁFICA IPATINGA LTDA
1851,28207,RILDO SILVA JUNIOR,104 FILMES LTDA
1852,14518,PROMORIO PRODUÇÕES LTDA- ME,PROMORIO PRODUCOES LTDA
1853,18277,SEND MUSIC PRODUÇÕES ARTÍSTICAS LTDA,LUMA PRODUCOES ARTISTICAS LTDA
1854,37396,PULP SOLUCOES AUDIOVISUAL E PRODUCAO LTDA - ME,PULP-PRODUTORA AUDIOVISUAL E SERVICOS LTDA
1855,26797,VINÍCIUS ELLWANGER,VINICIUS ELLWANGER & CIA LTDA
1856,18484,SMEPR COMUNICACOES LTDA,ANIMAZOO ENTRETENIMENTO LTDA
1857,13541,P.G.C. MARTONI DA NOBREGA - PRODUÇÃO CINEMATOGRÁFICA - ME,TALK FILMES LTDA - EPP
1858,656,RADIO E TELEVISAO BANDEIRANTES S.A.,RADIO E TELEVISAO BANDEIRANTES DA BAHIA LTDA
1859,12835,TELEVISAO BANDEIRANTES DE PRESIDENTE PRUDENTE LTDA,RADIO E TELEVISAO BANDEIRANTES DA BAHIA LTDA
1860,19029,PATOTA PRODUÇÕES ARTISTICAS LTDA - ME,MÃE JOANA FILMES E PRODUÇÕES LTDA ME.
1861,45886,GF ANDRADE ENTRETENIMENTO E COMÉRCIO LTDA,RG PALMA EXIBICAO CINEMATOGRAFICA LTDA
1862,27371,ULTRAVISÃO CINEMAS E ENTRETENIMENTO LTDA.,EQUINOX DIGITAL SERVICES IMPORTACAO EXPORTACAO LTDA
1863,23812,511 FILMES LTDA,051 CINE & VIDEO LTDA. - EPP
1864,32092,A CAPELA COMUNICAÇÃO LTDA - EPP,O MISSIONÁRIO COMUNICAÇÃO LTDA - EPP
1865,48204,LUCAS PACHECO DA SILVA SOUZA 05292684180,CAOS PRODUCOES AUDIOVISUAIS LTDA
1866,2376,REDECINE TOTAL CINEMATOGRÁFICA LTDA,MOVIESYSTEM CINEMATOGRAFICA LTDA
1867,22729,REDECINE VALINHOS CINEMATOGRÁFICA LTDA,MOVIESYSTEM CINEMATOGRAFICA LTDA
1868,47407,LAMA PRODUÇÕES AUDIOVISUAIS LTDA,GUIZA PRODUÇÕES AUDIOVISUAIS LTDA
1869,5005,CACO DISCO PRODUÇÃO LTDA,CACO MOTION LTDA.
1870,47091,RETINA CONTEUDO PRODUCOES LTDA,DRIVE FILMES LTDA
1871,39443,H J PEREIRA DESENVOLVIMENTO DE SOFTWARE,MENTAL LAB DESENVOLVIMENTO DE SOFTWARE LTDA-ME
1872,38234,CINE ELI AMAZONAS CINEMAS LTDA,CINE ELI PARAÍBA CINEMAS LTDA
1873,2872,EMPRESA CENTERPLEX DE CINEMAS LTDA,CINE ELI PARAÍBA CINEMAS LTDA
1874,50495,FSS ARTES EIRELI,ANAVITORIA ARTES LTDA
1875,327,TYCOON ESTÚDIOS CINEMATOGRÁFICOS LTDA.,TYCOON PRODUÇÕES ARTÍSTICAS LTDA.
1876,1944,CINEMA ARTEPLEX LTDA.,ESPAÇO CULTURAL DE CINEMA DE SALVADOR LTDA
1877,41991,ARTEPLEX DISTRIBUIDORA LTDA,ESPAÇO CULTURAL DE CINEMA DE SALVADOR LTDA
1878,20907,CULTURA EM CENA - PRODUTOS E PROJETOS CULTURAIS LTDA,COMPASSO - SERVICOS EM CULTURA & MARKETING LTDA
1879,35528,LUIS HENRIQUE KNIHS CORREA 06854864941,AQUELES FILMES LTDA
1880,51630,AKWA PRODUÇÕES ARTÍSTICAS,FOREST - COMUNICAÇÃO SOCIOAMBIENTAL
1881,14151,CAUDA LONGA DISTRIBUIÇÃO E PRODUÇÃO LTDA,FILMES DO RIO DE JANEIRO LTDA.
1882,50531,NEXO INTELIGENCIA EM PROJETOS E CONSULTORIA LTDA,2 RIOS PROPAGANDA E PROJETOS LTDA
1883,631,ANIMANDO PRODUÇÕES ARTÍSTICAS LTDA.,MUNDO PORTÁTIL COMÉRCIO DE DISCOS E BRINQUEDOS LTDA.
1884,5361,"INSTITUTO DE DESENVOLVIMENTO SOCIAL E GESTÃO DE PROD. CULTURAL, ARTÍSTICA E AUDIOVISUAL-MARLIN AZUL",ADRIANA GUIMARÃES JACOBSEN 01739876725
1885,24534,REDECINE BSB CINEMATOGRÁFICA LTDA,REDECINE MOGI GUAÇU CINEMATOGRÁFICA LTDA
1886,31741,REDECINE GRANJA VIANNA ADMINISTRADORA SPE LTDA,REDECINE MOGI GUAÇU CINEMATOGRÁFICA LTDA
1887,44914,REDECINE RIO GRANDE CINEMATOGRAFICA LTDA,REDECINE MOGI GUAÇU CINEMATOGRÁFICA LTDA
1888,29429,THE END EDIÇÃO E POS-PRODUÇÃO LTDA,DELICATESSEN - PRODUÇÃO DE FILMES LTDA.
1889,48333,LADYBIRD PRODUCAO DE FILMES LTDA.,DELICATESSEN - PRODUÇÃO DE FILMES LTDA.
1890,1036,REPÚBLICA PUREZA FILMES LTDA.,LUDWIG MAIA ARTHOUSE DISTRIBUIDORA DE FILMES LTDA
1891,3424,TELEVISAO CENTRO AMERICA LTDA,TELEVISAO MORENA LIMITADA
1892,19465,CINE LASER CINEMAS EIRELI,CINE LASER CACOAL EXIBICOES CINEMATOGRAFICAS LTDA
1893,44323,CINE LASER CINEMAS NORDESTE LTDA,CINE LASER CACOAL EXIBICOES CINEMATOGRAFICAS LTDA
1894,21894,AUDIO VISUAL EDIÇÕES LTDA ME,KASACA PRODUÇÕES LTDA ME
1895,33363,COMMUNIC FILMES LTDA ME,R COUTINHO FILMES LTDA
1896,42204,GO BROCCOLI PRODUÇÕES LTDA,NIRVANA DIGITAL LTDA
1897,1872,CIRCUS FILMS LTDA,NSI MEDIA LTDA
1898,43385,RAFAEL COSTA RIBEIRO 33105351850,TOCAHUB PRODUTORA LTDA
1899,28979,PAULO EDUARDO MARQUES DA SILVA JUNIOR,INFEST PRODUTORA DE FILMES PUBLICIDADE MARKETING E EVENTOS LTDA - EPP
1900,36976,ARTESANAL EDICOES E PRODUCOES LTDA - EPP,S.M. EVENTOS MUSICAIS LTDA
1901,40942,SUPERNOVA PRODUCOES CINEMATOGRAFICAS LTDA,SILVIO SOARES DE TOLEDO PRODUCOES AUDIOVISUAIS EIRELI
1902,18,INK GERAÇÃO E PRODUÇÃO DE CONTEÚDOS LTDA,FILMES MAIS LTDA
1903,152,EMVIDEO EMPRESA DE VIDEOCOMUNICAÇÃO LTDA.,NO.HAY.BANDA CRIAÇÃO E PRODUÇÃO DE CONTEÚDO AUDIOVISUAL LTDA.
1904,37439,AMANDA MACIEL DE AMORIM 11387354779,CAMISA PRETA FILMES LTDA
1905,43571,GOYTACAZES FILMES LTDA,TUBARÃO FILMES LTDA
1906,47522,CURSOS CRESCENT LTDA,NOVAS MIDIAS DIGITAIS PROGRAMADORA LTDA
1907,36336,TELEVISAO BORBOREMA S/A,TV GUARARAPES S.A.
1908,46198,ALISON HENRIQUE MIOTO 09525745945,BARÕES PRODUTORA LTDA
1909,25973,DGT SERVIÇOS DE MONITORAMENTO LTDA,QUANTA CENTRO DE PROD. CINEMATOGRÁFICA DE SÃO PAULO LTDA.
1910,40961,CIRCUITO BOMBONIERE LTDA,CIRCUITO ENTRETENIMENTO E CINEMAS LTDA
1911,17465,BAM STUDIO AUDIOVISUAL LTDA,AESO - ENSINO SUPERIOR DE OLINDA LTDA
1912,35103,CINEMAX CINEMA CANOINHAS LTDA-ME,CINEMAX CINEMAS FRANCISCO BELTRAO LTDA
1913,17264,FONTELES E WAISMANN COMÉRCIO E SERVIÇOS LTDA.,M. D. FONTELES
1914,51022,NEY MACEDO VIDEO E COMUNICAÇÃO,MACEDO & PELISSARI S/C LTDA
1915,6062,D F F DIANA FOTO FILME E TELECOMUNICACOES LTDA,CASABLANCA EFFECTS LTDA.
1916,43504,DEEPY FILMS & CHAPTER FIVE PRODUÇÕES LTDA,BJ VÍDEO PRODUÇÕES LTDA - ME
1917,41358,BENEDITO FILMES EIRELI,VIRALATA FILMES LTDA
1918,31512,LJ PRODUÇÕES FOTOGRAFICAS LTDA.,VAPOR DIGITAL PRODUCÃO E COMUNICAÇÃO LDTA.
1919,14249,FM MORAES FILMES,RAIZ ESTUDIO COMUNICAÇÃO LTDA ME
1920,4815,KELLY SHYRLENE DA R. SILVA,SET FILMES & PRODUCOES EIRELI - ME
1921,27544,PROSÉLITOS PRODUÇÕES E MARKETING EIRELI,A S BRAZ PRODUCAO DE FILMES CINEMATOGRAFICOS
1922,47860,PARKER PRODUCOES AUDIOVISUAIS LTDA,FOGO CERRADO IMAGENS E SERVIÇOS LTDA ME
1923,18104,CELTA PRODUÇÕES ARTISTICAS LTDA ME,ASSOCIAÇÃO ESCOLA E CULTURA EM FOCO
1924,51257,TALENT4MUSIC EDITORA E PRODUTORA ARTISTICA LTDA,360 PRODUCAO ARTISTICA E AUDIO VISUAL LTDA-ME
1925,41653,BRENDO E GONFIANTINI PRODUCOES LTDA ME,INDEPENDENTLY TOGETHER PRODUCOES LTDA - ME
1926,40471,ENCONTRARTE QUALIDADE DE VIDA ATRAVÉS DA ARTE,"OFICINA DE IDEIAS MERITI ENSINO DE ESPORTES, ARTE, CULTURA E PRODUCAO DE EVENTOS LTDA - ME"
1927,50815,CIA DAS NOVIDADES EXCÊNTRICAS LTDA,DILÚVIO FILMES PRODUÇÕES ARTÍSTICAS LTDA. -ME
1928,11751,SR RIO DE JANEIRO CINEMAS S/A,SR SÃO PAULO CINEMAS S/A
1929,45458,HYPEMOV SERVIÇO DE LICENCIAMENTO DE IMAGENS E VIDEOS LTDA,PEDRO CIAMPOLINI ME
1930,33774,BEATRIZ B PRATES PRODUÇÕES - EPP,MSV COMUNICA LTDA
1931,25695,PAÊBIRÚ REALIZAÇÕES CULTIVADAS,CASA DE MARIMBONDO FILMES LTDA EPP
1932,26891,CABEÇA AMARELA FILMES PRODUTORA DE FOTO E VIDEO LTDA,CABEÇA AMARELA VIDEOMAKER PRODUTORA DE VÍDEOS E FOTOS LTDA
1933,23726,JL PRODUÇÕES LTDA - ME,082 PRODUÇÕES LTDA - ME
1934,36190,PLATINUM FOTOGRAFIA PUBLICITÁRIA LTDA.,PLATINUM FILMS PRODUCOES AUDIOVISUAIS LTDA - EPP
1935,29541,ZAP MARKETING E PRODUÇÃO DE VÍDEOS LTDA - ME,ZAP RIO PRETO COMERCIO E VIDEO PRODUÇÕES LTDA - EPP
1936,52580,INANA LTDA,BROKOLIS DO BRASIL EDIÇÃO E FINALIZAÇÃO LTDA.
1937,3946,TV SUBAE LTDA,BVL - BAHIA VÍDEO LTDA
1938,37089,SMYOWL DESENVOLVIMENTO DE SOFTWARES LTDA,PRODUTORA VEM LTDA
1939,42329,PROVEDOR REDESUL LTDA,MULTITEL COMUNICACOES LTDA
1940,1103,SPECTRA MIDIA PRODUÇÕES LTDA,"SPECTRA NOVA PRODUÇÕES, EDIÇÕES E COMÉRCIO LTDA."
1941,33126,ALADOS COMUNICACAO CULTURAL E PRODUCOES - EIRELI - EPP,ALADAS 2 IMAGEM E CRIACOES - EIRELI
1942,44183,IPPON PRODUÇÕES EIRELI,CINEMAS PARIS SEVERIANO RIBEIRO LTDA
1943,13928,LK TEL DISTRIBUIDORA DE FILMES LTDA.,CINEMAS PARIS SEVERIANO RIBEIRO LTDA
1944,2740,CINEMATOGRÁFICA IGUAÇU LTDA,CINEMAS RIVER LTDA
1945,1098,ACESA PRODUÇÕES I LTDA,LUMINA PRODUÇÕES LTDA
1946,24080,EVERALDO DO CARMO BARBOSA,FOUR HANDS COMUNICAÇÃO LTDA
1947,43218,AMETISTA FILMES LTDA,TIAGO SOBAN FERNANDES
1948,4247,TELEVISAO CULTURA DE MARINGA LIMITADA,TV CATARATAS LTDA
1949,51932,FRONT PRODUCAO CINEMATOGRAFICA LTDA,FRONT PRODUCOES E CONTEUDO LTDA
1950,11753,CENTRAL DE PRODUÇÕES GWUP S/A,MEU SUCESSO EMPREENDEDORISMO S/A
1951,338,CINEMÁ PRODUÇÕES CINEMATOGRÁFICAS LTDA,CINEMA FILMS PRODUÇÕES LTDA
1952,1559,IN FOCO FILMES E ENTRETENIMENTO LTDA,"CONTAINER MEDIA E ENTRETENIMENTO, SERVIÇOS E REPRESENTAÇÕES LTDA"
1953,30783,BRUNO DE OLIVEIRA VIANNA COSTA -ME,B-TEK IMAGENS LTDA
1954,26827,M R N FILMES E PRODUCOES LTDA,EMERSON MAGO FILMES EIRELI
1955,49704,JPS NEGÓCIOS LTDA,RBS EMPRESA DE TVA LTDA
1956,21161,SP SERVIÇOS CINEVIDEO LTDA,L PIRES
1957,3132,CINEMAS ALVORADA DIVERSÕES LTDA,EMPRESA CINEMATOGRÁFICA CAMPO GRANDE
1958,3136,MSA EMPRESA CINEMATOGRÁFICA LTDA,EMPRESA CINEMATOGRÁFICA CAMPO GRANDE
1959,2819,AUDIOSTORE COMUNICAÇÃO LTDA,VIDEO ONE TELECOMUNICAÇÃO LTDA
1960,17674,SERGIO LEONARDO VILLAR PINTO EPP,SERGIO LEONARDO VILLAR PINTO AUDIOVISUAL EIRELLI- ME
1961,48427,NSI MEDIA LTDA,STORM ADMINISTRAÇÃO LTDA
1962,1874,INTRO PICTURES PRODUÇÕES CINEMATOGRÁFICAS LTDA,CAICO PRODUTORA DE CONTEÚDO AUDIOVISUAL E SERVIÇOS DE COMUNICAÇÃO LTDA.
1963,49018,FERNANDO MAURO PRODUÇÕES E PUBLICIDADE LTDA,INSTITUTO ABCCOM
1964,44214,PROJETO IRRADIANTE DE COMUNICAÇÃO,INSTITUTO ABCCOM
1965,17547,DAZA PRODUÇÃO CULTURAL LTDA ME,LITTLE BOX FILMES - ME
1966,29456,MARIA DAS GRAÇAS AVELAR MARCELINO -ME,CINOCHE-BR PRODUÇÕES AUDIOVISUAL LTDA
1967,40638,CINEMA DO RIO CULTURA E EVENTOS LTDA,VIRAMUNDO CINEMA E PARTICIPAÇÕES LTDA.
1968,264,TIBET FILME LTDA,ASSOCIAÇÃO POLO RIO CINE VIDEO E COMUNICAÇÃO - RIOCOM
1969,38777,ECO ERLANGER COMUNICAÇÃO PRODUÇOES E CONSULTORIA EIRELI,ERLANGER COMUNICAÇÃO E ARTE - EIRELI
1970,585,MEGACINE EDIÇÃO DE SOM MIXAGEM LTDA.,TIBET FILME LTDA
1971,17748,ASSOCIAÇÃO POLO RIO CINE VIDEO E COMUNICAÇÃO - RIOCOM,TIBET FILME LTDA
1972,31033,DAEMON FILMES LTDA ME,ELÃ PRODUÇÕES EIRELI - ME
1973,43728,JOÃO JOSE PISTUM NETTO,P.NETTO E MEDEIROS LTDA ME
1974,46273,TERA BRASIL LOCAÇÃO DE EQUIPAMENTOS EIRELI,BEGS COMÉRCIO E SERVIÇOS LTDA
1975,37585,OLLI PRODUÇÕES ARTÍSTICAS LTDA,2MO PRODUÇÕES ARTÍSTICAS LTDA
1976,33326,TEMPODESIGN CONTEÚDO LTDA - EPP,RICARDO VAN STEEN CONTEÚDO E COMUNICAÇÃO LTDA.
1977,45484,A S BRAZ PRODUCAO DE FILMES CINEMATOGRAFICOS,PROSÉLITOS PRODUÇÕES E MARKETING EIRELI
1978,21520,"ASSOCIAÇÃO COORDENADORA DOS USUÁRIOS DO CANAL COMUNITÁRIO DE NOVO HAMBURGO, VALE DOS SINOS E CAÍ",ASSOCIAÇÃO DE COMUNICAÇÃO REDE VALE DO CAÍ TV
1979,13772,FONDO FILMES LTDA,PORTA DOS FUNDOS PRODUTORA E DISTRIBUIDORA AUDIOVISUAL S.A.
1980,24365,ARPAN PRODUÇÕES ARTÍSTICAS LTDA.,GALIOTTO PRODUÇÕES CULTURAIS LTDA
1981,21614,UAU FILMES LTDA,PAULO A. CARDOSO
1982,17376,UAU CINE TV LTDA,PAULO A. CARDOSO
1983,34747,JABUTICABA PRODUCOES LTDA EPP,JABUTICABA FILMES E DIGITAL LTDA
1984,7094,PIXEL VIDEO PRODUÇÕES LTDA,ELO PRODUCOE S DE VIDEOS LTDA
1985,41737,LUCCAS TOON STUDIOS LTDA,LR PRODUÇÕES ARTÍSTICAS LTDA
1986,25169,CSM PRODUÇÕES ARTÍSTICAS EIRELI-EPP,LR PRODUÇÕES ARTÍSTICAS LTDA
1987,4653,SET PRODUTORA PRODUÇÕES E EVENTOS LTDA ME,"DOIS TOM COMUNICAÇÃO, PRODUÇÃO E EVENTOS LTDA"
1988,44584,ZEPP FILMES LTDA,ZEPPELIN PRODUÇÕES DE CINEMA E TELEVISÃO LTDA.
1989,1635,FIJI PRODUÇÕES AUDIOVISUAIS LTDA,CBSP - CASABLANCA SERVICE PROVIDER LTDA
1990,39023,INSTITUTO DE DESENVOLVIMENTO UNICERRADO,LTBA COMÉRCIO E SERVIÇOS LTDA EPP
1991,41687,CHOQUE DE CULTURA PRODUÇÕES LTDA ME,QUEROSENE PRODUÇÕES ARTISTICAS E CINEMATOGRÁFICAS LTDA
1992,42455,ASTARTE PRODUTORA LTDA.,TELEVISAO BANDEIRANTES DE PRESIDENTE PRUDENTE LTDA
1993,18552,RADIO E TELEVISAO BANDEIRANTES DA BAHIA LTDA,TELEVISAO BANDEIRANTES DE PRESIDENTE PRUDENTE LTDA
1994,34708,MITZZI BERTOLDO DE CARVALHO MOTTA RODRIGUES DA SILVA 05454783757,"MUDE FILMES, ENTRETENIMENTO, COMUNICAÇÃO E MULTIMÍDIA LTDA."
1995,46123,PRODUCOES ARTISTICAS FIRST MOVIE SPE LTDA.,MESSIAS GERALDO DOS SANTOS - ME
1996,38399,TECH AND SOUL COMUNICAÇÃO E MARKETING LTDA EPP,TECH AND SOUL PRODUCOES PUBLICITARIAS EIRELI
1997,2685,CINECLUBE PAU BRASIL,ADRIANA SCORZELLI RATTES
1998,39381,BMK PRODUCOES AUDIOVISUAIS LTDA,ALAS COMUNICACAO E PRODUCAO AUDIOVISUAL LTDA
1999,52546,ONDA FILMES LTDA,PERISCOPIO FILM
2000,17604,DOGS CAN FLY PRODUÇÕES CINEMATOGRÁFICAS LTDA,MISTIKA PRODUÇÕES CINEMATOGRÁFICAS LTDA
2001,28395,FUMAÇA PRODUTORA E DISTRIBUIDORA DE FILMES LTDA.,BUBBLES PRODUÇÕES ARTÍSTICAS LTDA
2002,1944,CINEMA ARTEPLEX LTDA.,CINESALA EXIBIÇÕES E EVENTOS LTDA
2003,45889,EQUINOX DIGITAL SERVICES IMPORTACAO EXPORTACAO LTDA,ULTRAVISÃO CINEMAS E ENTRETENIMENTO LTDA.
2004,15983,BRANT PROJETOS CULTURAIS S/S LTDA.,DEUSDARÁ FILMES LTDA
2005,14943,GABRIEL LEHTO GOMES COMUNICAÇÕES ME,NUCLEO 8 COMUNICAÇÕES LTDA ME
2006,23873,DALMO DE OLIVEIRA JUNIOR ME,PRIMEIRO PLANO FILMES EIRELLI
2007,39633,ZAMAGUGA PRODUÇÕES ARTÍSTICAS LTDA,D+3 PRODUÇÕES ARTÍSTICAS LTDA.
2008,201,ESTUDIOS MEGA LTDA,BRASIL FILMES LTDA
2009,49581,CABANA STUDIO FOTOGRAFIA E CINEMATOGRAFIA LTDA,GUILHERME TAMBURUS FOTOGRAFIA - ME
2010,18405,MINHAVO SERVICOS DE CINEMA E ARTES LTDA - ME,MEUS RUSSOS AUDIOVISUAL LTDA
2011,49988,CINEMATOGRÁFICA OURO BRANCO LTDA,CINEMATOGRÁFICA LAFAIETE LTDA.
2012,46893,CINEMATOGRAFICA CINEMA UBA LTDA,CINEMATOGRÁFICA LAFAIETE LTDA.
2013,47806,KALUI PRODUÇÕES LTDA,SOTAQUE FILMES LTDA - ME
2014,47293,CDO COMUNICACAO LTDA,SOTAQUE FILMES LTDA - ME
2015,31585,D.P. MALACHIAS - FILMES - ME,RTV PRODUTORA LTDA EPP
2016,42561,S2 CRIACAO E NEGOCIOS S/S LTDA,FRAMERIA CRIAÇÃO E PRODUÇÃO LTDA
2017,52867,CINEMAS HENKES E HENKES LTDA,CINEMAS SANTOS RIBEIRO LTDA ME
2018,46822,ROBERTO MARINHO ABRANTES PRODUCAO E ATIVIDADES CINEMATOGRAFICAS,M R PRODUCOES CINEMATOGRAFICAS LTDA
2019,37260,ESTUDIO XIRU PRODUTORA LTDA - EPP,BLUES CONTENT PRODUÇÕES LTDA.
2020,49236,CAJU PRODUÇÕES E EVENTOS LTDA,ATIVA ASCOM LTDA
2021,36084,DGC PRODUÇÕES CINEMATOGRÁFICAS LTDA - ME,DIGITALLCINE PRODUÇÕES CINEMATOGRÁFICAS LTDA
2022,22478,CONSPIRAÇÃO ENTRETENIMENTO SÃO PAULO LTDA.,VEREDA INTERNACIONAL AUDIOVISUAL LTDA
2023,1184,TFCF LATIN AMERICAN CHANNELS DO BRASIL LTDA,THE WALT DISNEY COMPANY (BRASIL) LTDA.
2024,51651,LEMONADE LAB LTDA,LEMONADE CONTEUDO
2025,30391,"ARTISTAS REUNIDOS - PRODUÇÃO, CRIAÇÃO E GRAVAÇÕES FONOGRÁFICAS LTDA.",JAIR RODRIGUES MELO DE OLIVEIRA
2026,31030,GONÇALVES CORDEIRO PROPAGANDA E MARKETING LTDA,SISTEMA FACTUAL DE COMUNICAÇÃO LTDA
2027,31894,CINE SANTA CRUZ LTDA - ME,CINE MAX BRASIL LTDA
2028,32404,MEGA PRODUCOES ARTISTICAS LTDA - ME,MK PRODUÇÕES ARTISTICAS LTDA
2029,51429,PAIEIROS PRODUCOES CULTURAIS UNIPESSOAL LTDA,FERVEDOURO PRODUCOES CINEMATOGRAFICAS LITERARIAS E CULTURAIS UNIPESSOAL LTDA
2030,20632,STUDIO MGA FILMES LTDA,MGA DESIGN E FILMES LTDA
2031,16197,PRETA PORTÊ FILMES E PRODUÇÕES CULTURAIS LTDA,JOKANA KUPARAKA LAB DE CRIACAO LTDA
