CANAL;NR_IDENTIFICACAO;CLASSIFICACAO_CANAL;TIPO_CONTEUDO_CANAL;OFERTA_CLIENTE;DATA_INICIO_OFERTA;DENSIDADE_CANAL;NOME_PROGRAMADORA;CNPJ_PROGRAMADORA;CLASSIFICAO_PROGRAMADORA;PAIS_PROGRAMADORA
TV COM; 33164.30001 ;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;20/11/2005;PADRÃO;ASSOCIAÇÃO DOS USUÁRIOS DA TV E CANAL COMUNITÁRIO DE LAURO DE FREITAS;07.457.311/0001-23;;BRASIL
TV COMUNITÁRIA CIDADE LIVRE; 14411.30001 ;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;24/06/2002;PADRÃO;ASSOCIAÇÃO DAS ENTIDADES USUÁRIAS DO CANAL COMUNITÁRIO DE RIO CLARO;04.511.886/0001-99;;BRASIL
TV COMUNITÁRIA MARECHAL; 31584.30001 ;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;05/01/2016;PADRÃO;ASSOCIAÇÃO DE TV COMUNITÁRIA MARECHAL;17.073.434/0001-14;;BRASIL
TV DIMENSÃO; 37557.30001 ;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;26/02/2016;PADRÃO;ASSOCIAÇÃO DOS USUÁRIOS DO CANAL COMUNITÁRIO DE SÃO JOÃO DA BOA VISTA;26.662.467/0001-90;;BRASIL
TV ESCOLA; 675.30001 ;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;03/05/2013;PADRÃO;ASSOCIACAO DE COMUNICACAO EDUCATIVA ROQUETTE PINTO;02.196.013/0001-03;;BRASIL
TV ESTEIO; 21520.30004 ;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;15/11/2018;PADRÃO;ASSOCIAÇÃO COORDENADORA DOS USUÁRIOS DO CANAL COMUNITÁRIO DE NOVO HAMBURGO, VALE DOS SINOS E CAÍ;10.371.708/0001-02;;BRASIL
TV FEEVALE; 41770.30001 ;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;12/12/2002;PADRÃO;ASSOCIAÇÃO PRO-ENSINO SUPERIOR EM NOVO HAMBURGO;91.693.531/0001-62;;BRASIL
TV GLOBO; 4727.30001 ;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;26/04/1965;PADRÃO;GLOBO COMUNICACAO E PARTICIPACOES S/A;27.865.757/0001-02;Programadora brasileira independente;BRASIL
TV GLOBO; 4727.30001 ;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;26/04/1965;PADRÃO;GLOBO COMUNICACAO E PARTICIPACOES S/A;27.865.757/0001-02;Programadora brasileira independente;BRASIL
TV GRAMADO; 52582.30003 ;Canal de programação comum;Canal de conteúdo em geral;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;17/09/2022;PADRÃO;ASSOCIAÇÃO DE COMUNICAÇÃO REDE VALE DO CAÍ TV;33.901.784/0001-88;;BRASIL
