CPB;TITULO_ORIGINAL;NUMERO_FSA
B1301956300000  ;HISTÓRIAS DE ALICE                                                                                  ;0213000100       
B1301968400000  ;EDUCAÇÃO SENTIMENTAL                                                                                ;00068            
B1301987400000  ;O FIM E OS MEIOS                                                                                    ;0211017700       
B1301989000000  ;O MENINO E O MUNDO                                                                                  ;0211038000       
B1301996600000  ;O GRANDE KILAPY                                                                                     ;0211024100       
B1302013100000  ;OSMAR, A PRIMEIRA FATIA DO PÃO DE FORMA - 1ª TEMPORADA                                              ;0211021800       
B1302028100000  ;EXPEDIÇÕES BURLE MARX                                                                               ;0211033300       
B1302041500000  ;OS ULTIMOS CANGACEIROS                                                                              ;0211022600       
B1402062600000  ;BRICHOS - SÉRIE DE TV - PRIMEIRA TEMPORADA                                                          ;0211022500       
B1402070700000  ;TODOS OS BRASILEIROS NO MUNDO                                                                       ;0211022300       
B1402080700000  ;AMAZÔNIA PLANETA VERDE                                                                              ;0211017500       
B1402086200000  ;ENTRE NÓS                                                                                           ;00088            
B1402091700000  ;FANÁTICOS                                                                                           ;0213006800       
B1402123800000  ;VISCERAL BRASIL - AS VEIAS ABERTAS DA MÚSICA                                                        ;0213019700       
B1402125800000  ;A ESTRADA 47                                                                                        ;0211011400       
B1402131500000  ;ROMANCE POLICIAL                                                                                    ;00006            
B1402131600000  ;CASA GRANDE                                                                                         ;0212030200       
B1402137200000  ;OS HOMENS SÃO DE MARTE...E É PRÁ LÁ QUE EU VOU!                                                     ;00062            
B1402145600000  ;À QUEIMA ROUPA                                                                                      ;0212050200       
B1402146300000  ;PRAIA DO FUTURO                                                                                     ;0211040100       
B1402147900000  ;QUESTÃO DE FAMÍLIA                                                                                  ;00106            
B1402153900000  ;QUE É QUE EU VOU FAZER DA MINHA VIDA                                                                ;0213000700       
B1402155200000  ;TROMBA TREM - 2ª TEMPORADA                                                                          ;0213002100       
B1402156400000  ;OXIGÊNIO                                                                                            ;0212017300       
B1402159100000  ;GETÚLIO                                                                                             ;0211034400       
B1402163900000  ;QUERO TER UM MILHÃO DE AMIGOS.                                                                      ;00033            
B1402175100000  ;O MENINO NO ESPELHO                                                                                 ;0212046200       
B1402183500000  ;O SHOW DA LUNA!                                                                                     ;0213007600       
B1402192700000  ;OS AMIGOS                                                                                           ;00061            
B1402201200000  ;MUITOS HOMENS NUM SÓ                                                                                ;0211033300       
B1402213800000  ;BOM DIA ARQUEOLOGIA                                                                                 ;0213008900       
B1402217000000  ;BOA NOITE, MARTHA                                                                                   ;0211023200       
B1402237400000  ;SANGUE AZUL                                                                                         ;0212026600       
B1402255700000  ;GALAXIAS                                                                                            ;00007            
B1402269800000  ;MEU AMIGO ENCOSTO                                                                                   ;00103            
B1402274200000  ;AS GRANDES ENTREVISTAS DO PASQUIM                                                                   ;0020             
B1402275800000  ;OS MAIAS (ALGUNS) EPISÓDIOS DA VIDA ROMÂNTICA                                                       ;00366            
