CANAL;NR_IDENTIFICACAO;CLASSIFICACAO_CANAL;TIPO_CONTEUDO_CANAL;OFERTA_CLIENTE;DATA_INICIO_OFERTA;DENSIDADE_CANAL;NOME_PROGRAMADORA;CNPJ_PROGRAMADORA;CLASSIFICAO_PROGRAMADORA;PAIS_PROGRAMADORA
HBO (EM HD); 22428.30008 ;Canal de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE, CANAL À LA CARTE;01/04/2009;ALTA DEFINIÇÃO;BRASIL PROGRAMMING, L.L.C;16.810.008/0001-53;Programadora Estrangeira;ESTADOS UNIDOS
HBO FAMILY; 22428.30004 ;Canal de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE, CANAL À LA CARTE;04/05/2005;PADRÃO;BRASIL PROGRAMMING, L.L.C;16.810.008/0001-53;Programadora Estrangeira;ESTADOS UNIDOS
HBO FAMILY (EM HD); 22428.30010 ;Canal de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE, CANAL À LA CARTE;18/06/2013;ALTA DEFINIÇÃO;BRASIL PROGRAMMING, L.L.C;16.810.008/0001-53;Programadora Estrangeira;ESTADOS UNIDOS
HBO MUNDI; 22429.30001 ;Canal de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE, CANAL À LA CARTE;01/10/1997;PADRÃO;BRASIL PRODUCTIONS, L.L.C;16.840.199/0001-04;Programadora Estrangeira;ESTADOS UNIDOS
HBO MUNDI HD; 22429.30006 ;Canal de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE, CANAL À LA CARTE;26/09/2014;ALTA DEFINIÇÃO;BRASIL PRODUCTIONS, L.L.C;16.840.199/0001-04;Programadora Estrangeira;ESTADOS UNIDOS
HBO PLUS; 22428.30003 ;Canal de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE, CANAL À LA CARTE;22/01/2004;PADRÃO;BRASIL PROGRAMMING, L.L.C;16.810.008/0001-53;Programadora Estrangeira;ESTADOS UNIDOS
HBO PLUS (EM HD); 22428.30011 ;Canal de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE, CANAL À LA CARTE;18/06/2013;ALTA DEFINIÇÃO;BRASIL PROGRAMMING, L.L.C;16.810.008/0001-53;Programadora Estrangeira;ESTADOS UNIDOS
HBO POP; 22429.30005 ;Canal de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE, CANAL À LA CARTE;01/06/2010;PADRÃO;BRASIL PRODUCTIONS, L.L.C;16.840.199/0001-04;Programadora Estrangeira;ESTADOS UNIDOS
HBO POP HD; 22429.30002 ;Canal de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE, CANAL À LA CARTE;01/06/2010;ALTA DEFINIÇÃO;BRASIL PRODUCTIONS, L.L.C;16.840.199/0001-04;Programadora Estrangeira;ESTADOS UNIDOS
HBO SIGNATURE; 22428.30005 ;Canal de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE, CANAL À LA CARTE;01/04/2012;PADRÃO;BRASIL PROGRAMMING, L.L.C;16.810.008/0001-53;Programadora Estrangeira;ESTADOS UNIDOS
HBO SIGNATURE (EM HD); 22428.30012 ;Canal de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE, CANAL À LA CARTE;15/05/2013;ALTA DEFINIÇÃO;BRASIL PROGRAMMING, L.L.C;16.810.008/0001-53;Programadora Estrangeira;ESTADOS UNIDOS
