IDENTIFICACAO_CONTRATO,TITULO_PROJETO,CHAMADA_PUBLICA,ANO_CHAMADA_PUBLICA,CNPJ_PROPONENTE,RAZAO_SOCIAL_PROPONENTE,CNPJ_PRODUTORA,RAZAO_SOCIAL_PRODUTORA,CNPJ_DISTRIBUIDORA_PROGRAMADORA,RAZAO_SOCIAL_DISTRIBUIDORA_PROGRAMADORA,DT_PUBLICACAO_CONTRATO_DOU,VL_CONTRATO_DOU,DT_PRIMEIRO_DESEMBOLSO,VL_TOTAL_LIBERADO
DG-01.535,TRANSPLANTES - UMA SEGUNDA CHANCE,PRODAV 01,2013-01-01,08.346.159/0001-74,MEDIALAND PRODUÇÃO E COMUNICAÇÃO LTDA,08.346.159/0001-74,MEDIALAND PRODUÇÃO E COMUNICAÇÃO LTDA,SEM DISTRIBUIDORA/PROGRAMADORA,SEM DISTRIBUIDORA/PROGRAMADORA,2017-07-12,540000.0,2017-07-13,540000.0
DG-01.521,UMA PITADA DE SORTE,PRODECINE 04,2013-01-01,03.626.688/0001-08,MELODRAMA PRODUÇÕES LTDA.,03.626.688/0001-08,MELODRAMA PRODUÇÕES LTDA.,07.616.202/0001-01,FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.,2017-07-12,1000000.0,2017-07-13,1000000.0
DG-01.519,AVÓ DEZENOVE E O SEGREDO DO SOVIÉTICO,PRODECINE 08,2016-01-01,09.437.566/0001-50,GRAFO AUDIOVISUAL LTDA ME,09.437.566/0001-50,GRAFO AUDIOVISUAL LTDA ME,09.437.566/0001-50,GRAFO AUDIOVISUAL LTDA ME,2017-07-19,500040.0,2018-10-01,500040.0
DG-01.549,BAILÃO,ARRANJOS REGIONAIS,2015-01-01,11.157.228/0001-06,CLAUDIO ANTONIO SOUZA DE JESUS ¿ ME,11.157.228/0001-06,CLAUDIO ANTONIO SOUZA DE JESUS ¿ ME,SEM DISTRIBUIDORA/PROGRAMADORA,SEM DISTRIBUIDORA/PROGRAMADORA,2017-07-19,226000.0,2017-08-14,226000.0
DG-01.389,BRASIL ASSOMBRADO,PRODAV 05,2015-01-01,07.763.281/0001-83,CONDE DE IRAJÁ PRODUÇÕES LTDA ME,07.763.281/0001-83,CONDE DE IRAJÁ PRODUÇÕES LTDA ME,SEM DISTRIBUIDORA/PROGRAMADORA,SEM DISTRIBUIDORA/PROGRAMADORA,2017-07-19,70000.0,2017-07-24,70000.0
DG-01.445,EXPEDIÇÃO NORDESTE,PRODAV 01,2013-01-01,15.128.758/0001-87,TEM DENDE PRODUCOES LTDA - ME,15.128.758/0001-87,TEM DENDE PRODUCOES LTDA - ME,SEM DISTRIBUIDORA/PROGRAMADORA,SEM DISTRIBUIDORA/PROGRAMADORA,2017-07-19,1350000.0,2017-09-05,1350000.0
DG-01.319,FEBRE DE OUTLET,PRODAV 04,2014-01-01,20.357.494/0001-73,MUAMBA ESTUDIO LTDA ME,20.357.494/0001-73,MUAMBA ESTUDIO LTDA ME,SEM DISTRIBUIDORA/PROGRAMADORA,SEM DISTRIBUIDORA/PROGRAMADORA,2017-07-19,70000.0,2017-10-18,70000.0
DG-01.531,FOLIAR BRASIL DOC - 2ª TEMPORADA,PRODAV 01,2013-01-01,02.759.786/0001-50,FLORA FILMES & VÍDEOS PRODUÇÕES ARTÍSTICAS LTDA ME,02.759.786/0001-50,FLORA FILMES & VÍDEOS PRODUÇÕES ARTÍSTICAS LTDA ME,SEM DISTRIBUIDORA/PROGRAMADORA,SEM DISTRIBUIDORA/PROGRAMADORA,2017-07-19,779197.32,2017-07-24,779197.32
DG-01.419,HORIZONTE B - PARTE II,PRODAV 05,2015-01-01,11.862.908/0001-20,VERTE FILMES LTDA ME,11.862.908/0001-20,VERTE FILMES LTDA ME,SEM DISTRIBUIDORA/PROGRAMADORA,SEM DISTRIBUIDORA/PROGRAMADORA,2017-07-19,124000.0,2017-07-27,124000.0
DG-01.514,JERÔNIMO,PRODAV 05,2015-01-01,10.585.204/0001-95,FABULOSA PRODUCOES LTDA - ME,10.585.204/0001-95,FABULOSA PRODUCOES LTDA - ME,SEM DISTRIBUIDORA/PROGRAMADORA,SEM DISTRIBUIDORA/PROGRAMADORA,2017-07-19,100000.0,2017-07-27,100000.0
DG-01.532,MARIA,PRODAV 05,2015-01-01,15.724.988/0001-09,ARTRUPE PRODUCOES ARTISTICAS LTDA - ME,15.724.988/0001-09,ARTRUPE PRODUCOES ARTISTICAS LTDA - ME,SEM DISTRIBUIDORA/PROGRAMADORA,SEM DISTRIBUIDORA/PROGRAMADORA,2017-07-19,100000.0,2017-10-02,100000.0
DG-01.518,MATEÍNA,PRODECINE 09,2016-01-01,11.384.969/0001-20,LEONARDO GARCIA E CIA LTDA,11.384.969/0001-20,LEONARDO GARCIA E CIA LTDA,11.384.969/0001-20,LEONARDO GARCIA E CIA LTDA,2017-07-19,500040.0,2018-03-22,500040.0
DG-01.520,MATO SECO EM CHAMAS,PRODECINE 05,2015-01-01,13.044.728/0001-67,CINCO DA NORTE-SERVIÇOS AUDIOVISUAIS LTDA-ME,13.044.728/0001-67,CINCO DA NORTE-SERVIÇOS AUDIOVISUAIS LTDA-ME,11.620.976/0001-83,VITRINE FILMES EIRELI - ME,2017-07-19,2250000.0,2017-07-24,2250000.0
