IDENTIFICACAO_CONTRATO,TITULO_PROJETO,CHAMADA_PUBLICA,ANO_CHAMADA_PUBLICA,CNPJ_PROPONENTE,RAZAO_SOCIAL_PROPONENTE,CNPJ_PRODUTORA,RAZAO_SOCIAL_PRODUTORA,CNPJ_DISTRIBUIDORA_PROGRAMADORA,RAZAO_SOCIAL_DISTRIBUIDORA_PROGRAMADORA,DT_PUBLICACAO_CONTRATO_DOU,VL_CONTRATO_DOU,DT_PRIMEIRO_DESEMBOLSO,VL_TOTAL_LIBERADO
02.09.0557.00,DE PERNAS PRO AR,PRODECINE 02,2008-01-01,07.616.202/0001-01,FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.,42.473.256/0001-66,MORENA FILMES EIRELI - ME,07.616.202/0001-01,FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.,2009-12-08,3000000.0,2009-12-21,3000000.0
02.09.0558.00,DESENROLA,PRODECINE 02,2008-01-01,07.616.202/0001-01,FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.,72.062.029/0001-09,RACCORD PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA,07.616.202/0001-01,FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.,2009-12-08,2000000.0,2009-12-21,2000000.0
02.09.0601.00,HISTÓRIAS DE AMOR DURAM APENAS 90 MINUTOS,PRODECINE 01,2008-01-01,31.939.739/0001-97,TIPOS E TEMPOS PRODUÇÕES LTDA,31.939.739/0001-97,TIPOS E TEMPOS PRODUÇÕES LTDA,07.616.202/0001-01,FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.,2009-12-24,300000.0,2010-01-13,300000.0
02.09.0592.00,INSOLAÇÃO,PRODECINE 01,2008-01-01,05.919.250/0001-43,"CISMA PRODUÇÕES CINEMATOGRÁFICAS, EVENTOS E TEATRO LTDA",05.919.250/0001-43,"CISMA PRODUÇÕES CINEMATOGRÁFICAS, EVENTOS E TEATRO LTDA",72.672.017/0001-04,CANNES PRODUÇÕES S/A,2009-12-24,500000.0,2010-01-15,500000.0
02.09.0614.00,DO COMEÇO AO FIM,PRODECINE 01,2008-01-01,03.838.776/0001-73,HARE FILMES PRODUCOES LTDA - ME,03.838.776/0001-73,HARE FILMES PRODUCOES LTDA - ME,07.616.202/0001-01,FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.,2009-12-29,461740.0,2010-01-13,461740.0
02.10.0006.00,CINCO VEZES FAVELA 2 - AGORA POR NÓS MESMOS,PRODECINE 02,2008-01-01,68.610.302/0001-15,DISTRIBUIDORA DE FILMES S/A RIOFILME,73.586.513/0001-08,LUZ MÁGICA PRODUÇÕES AUDIOVISUAIS LTDA,68.610.302/0001-15,DISTRIBUIDORA DE FILMES S/A RIOFILME,2010-01-18,1000000.0,2010-02-03,1000000.0
02.10.0018.00,CHICO XAVIER,PRODECINE 01,2008-01-01,02.605.295/0001-55,LEREBY PRODUÇÕES LTDA,02.605.295/0001-55,LEREBY PRODUÇÕES LTDA,00.979.601/0001-98,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,2010-02-12,1800000.0,2010-02-25,1800000.0
02.10.0017.00,O PALHAÇO,PRODECINE 02,2008-01-01,03.918.609/0001-32,WMIX DISTRIBUIDORA LTDA.,02.140.120/0001-10,BANANEIRA FILMES LTDA.,03.918.609/0001-32,WMIX DISTRIBUIDORA LTDA.,2010-02-12,800000.0,2010-02-22,800000.0
02.10.0024.00,31 MINUTOS,PRODECINE 03,2008-01-01,68.610.302/0001-15,DISTRIBUIDORA DE FILMES S/A RIOFILME,02.863.008/0001-07,TOTAL ENTERTAINMENT LTDA,68.610.302/0001-15,DISTRIBUIDORA DE FILMES S/A RIOFILME,2010-02-23,486080.0,2010-02-28,0.0
02.10.0021.00,A LUZ DO TOM,PRODECINE 03,2008-01-01,68.610.302/0001-15,DISTRIBUIDORA DE FILMES S/A RIOFILME,42.164.699/0001-75,REGINA FILMES LTDA,68.610.302/0001-15,DISTRIBUIDORA DE FILMES S/A RIOFILME,2010-02-23,138450.0,2010-02-28,0.0
02.10.0044.00,O VENDEDOR DE PASSADOS,PRODECINE 02,2008-01-01,03.918.609/0001-32,WMIX DISTRIBUIDORA LTDA.,02.020.661/0001-04,CONSPIRAÇÃO FILMES S/A,03.918.609/0001-32,WMIX DISTRIBUIDORA LTDA.,2010-03-12,2000000.0,2010-04-15,2000000.0
02.10.0056.00,CORAÇÕES SUJOS,PRODECINE 01,2008-01-01,02.947.857/0001-49,RADAR CINEMA E TELEVISÃO LTDA,02.947.857/0001-49,RADAR CINEMA E TELEVISÃO LTDA,07.616.202/0001-01,FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.,2010-03-26,1500000.0,2010-04-15,1500000.0
02.10.0084.00,O PAÍS DO DESEJO,PRODECINE 01,2008-01-01,02.140.120/0001-10,BANANEIRA FILMES LTDA.,02.140.120/0001-10,BANANEIRA FILMES LTDA.,02.668.665/0001-01,ANTONIO FERNANDES FILMES LTDA,2010-04-14,500000.0,2010-04-30,500000.0
02.10.0110.00,FEBRE DO RATO,PRODECINE 01,2008-01-01,09.240.833/0001-02,BELAVISTA RIO CINEMA E PRODUÇÃO ARTÍSTICA LTDA,09.240.833/0001-02,BELAVISTA RIO CINEMA E PRODUÇÃO ARTÍSTICA LTDA,08.346.733/0001-94,RESERVA NACIONAL DISTRIBUIDORA DE FILMES LTDA.,2010-04-16,500000.0,2010-07-19,500000.0
02.10.0122.00,MINHOCAS,PRODECINE 01,2008-01-01,02.140.164/0001-40,GLAZ ENTRETENIMENTO S.A.,02.140.164/0001-40,GLAZ ENTRETENIMENTO S.A.,33.110.420/0001-80,FOX FILM DO BRASIL LTDA,2010-04-28,1614780.0,2010-05-13,1614780.0
02.10.0129.00,UMA HISTÓRIA DE AMOR E FÚRIA,PRODECINE 02,2008-01-01,72.672.017/0001-04,CANNES PRODUÇÕES S/A,02.238.621/0001-33,BURITI FILMES LTDA,72.672.017/0001-04,CANNES PRODUÇÕES S/A,2010-04-30,400000.0,2010-09-02,400000.0
02.10.0238.00,EU E MEU GUARDA-CHUVA,PRODECINE 01,2008-01-01,02.020.661/0001-04,CONSPIRAÇÃO FILMES S/A,02.020.661/0001-04,CONSPIRAÇÃO FILMES S/A,33.110.420/0001-80,FOX FILM DO BRASIL LTDA,2010-06-08,1000000.0,2010-07-19,1000000.0
02.10.0312.00,BEATRIZ,PRODECINE 02,2008-01-01,68.610.302/0001-15,DISTRIBUIDORA DE FILMES S/A RIOFILME,27.920.016/0001-79,MEIOS DE PRODUÇÃO E COMUNICAÇÃO LTDA,68.610.302/0001-15,DISTRIBUIDORA DE FILMES S/A RIOFILME,2010-06-17,500000.0,2013-05-15,500000.0
02.10.0330.00,EU RECEBERIA AS PIORES NOTÍCIAS DOS SEUS LINDOS LÁBIOS,PRODECINE 01,2008-01-01,02.902.219/0001-01,DRAMA FILMES LTDA.,02.902.219/0001-01,DRAMA FILMES LTDA.,68.610.302/0001-15,DISTRIBUIDORA DE FILMES S/A RIOFILME,2010-07-06,700000.0,2010-07-19,700000.0
02.10.0360.00,ONDE A CORUJA DORME,PRODECINE 03,2008-01-01,68.610.302/0001-15,DISTRIBUIDORA DE FILMES S/A RIOFILME,03.360.320/0001-40,TV ZERO CINEMA LTDA,68.610.302/0001-15,DISTRIBUIDORA DE FILMES S/A RIOFILME,2010-07-19,138450.0,2010-08-04,138450.0
02.10.0370.00,OS CUPINS,PRODAV 01,2008-01-01,09.299.923/0001-60,AIUPA BRASIL PRODUÇÕES LTDA,09.299.923/0001-60,AIUPA BRASIL PRODUÇÕES LTDA,61.914.891/0001-86,FUND PE ANCHIETA CENTRO PAULISTA RADIO E TV EDUCATIVAS,2010-07-20,421674.8,2010-09-28,421674.8
02.10.0384.00,TEIMOSIA DA IMAGINAÇÃO,PRODAV 01,2008-01-01,03.382.581/0001-61,POLO DE IMAGEM LTDA (BAIXADO),03.382.581/0001-61,POLO DE IMAGEM LTDA (BAIXADO),61.914.891/0001-86,FUND PE ANCHIETA CENTRO PAULISTA RADIO E TV EDUCATIVAS,2010-07-20,1169080.0,2010-10-01,1169080.0
02.10.0402.00,SOMOS TÃO JOVENS,PRODECINE 01,2008-01-01,39.507.140/0001-96,CANTO CLARO PRODUÇÕES ARTÍSTICAS LTDA,39.507.140/0001-96,CANTO CLARO PRODUÇÕES ARTÍSTICAS LTDA,33.110.420/0001-80,FOX FILM DO BRASIL LTDA,2010-08-06,500000.0,2011-07-29,500000.0
02.10.0410.00,CACO E DADO,PRODAV 01,2008-01-01,07.477.471/0001-34,BOSSA NOVA FILMS CRIACOES E PRODUCOES S/A,07.477.471/0001-34,BOSSA NOVA FILMS CRIACOES E PRODUCOES S/A,61.914.891/0001-86,FUND PE ANCHIETA CENTRO PAULISTA RADIO E TV EDUCATIVAS,2010-08-11,442840.0,2010-09-29,442840.0
02.10.0426.00,ESTAÇÃO LIBERDADE,PRODECINE 01,2008-01-01,00.020.648/0001-20,PRODIGO FILMS LTDA,00.020.648/0001-20,PRODIGO FILMS LTDA,07.616.202/0001-01,FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.,2010-08-25,500000.0,2011-01-06,500000.0
02.10.0486.00,ALUCINADOS,PRODECINE 03,2008-01-01,68.610.302/0001-15,DISTRIBUIDORA DE FILMES S/A RIOFILME,01.071.967/0001-27,PANORAMA FILMES LTDA.,68.610.302/0001-15,DISTRIBUIDORA DE FILMES S/A RIOFILME,2010-10-20,92585.0,2010-10-31,0.0
02.10.0531.00,BESOURO,PRODECINE 01,2008-01-01,06.998.046/0001-28,RT2A PRODUÇÕES CINEMATOGRÁFICAS LTDA.,06.998.046/0001-28,RT2A PRODUÇÕES CINEMATOGRÁFICAS LTDA.,00.637.277/0001-20,ESPN DO BRASIL EVENTOS ESPORTIVOS LTDA.,2010-11-19,1563392.0,2010-12-22,1563392.0
02.10.0554.00,A HORA E A VEZ DE AUGUSTO MATRAGA,PRODECINE 01,2008-01-01,00.020.648/0001-20,PRODIGO FILMS LTDA,00.020.648/0001-20,PRODIGO FILMS LTDA,08.257.054/0001-49,SM DISTRIBUIDORA DE FILMES LTDA,2010-11-29,500000.0,2011-02-11,500000.0
02.10.0692.00,VAI QUE DÁ CERTO,PRODECINE 01,2008-01-01,00.538.914/0001-00,FRAIHA PRODUCOES DE EVENTOS E EDITORA EIRELI,00.538.914/0001-00,FRAIHA PRODUCOES DE EVENTOS E EDITORA EIRELI,72.672.017/0001-04,CANNES PRODUÇÕES S/A,2010-12-22,700000.0,2011-05-03,700000.0
02.11.0076.00,ATÉ QUE A SBÓRNIA NOS SEPARE,PRODECINE 01,2009-01-01,87.435.368/0001-60,OTTO DESENHOS ANIMADOS LTDA,87.435.368/0001-60,OTTO DESENHOS ANIMADOS LTDA,87.435.368/0001-60,OTTO DESENHOS ANIMADOS LTDA,2011-03-30,791000.0,2011-04-12,791000.0
02.11.0074.00,HELENO,PRODECINE 01,2009-01-01,05.840.498/0001-14,RT COMÉRCIO E SERVIÇOS DE CRIAÇÃO E PRODUÇÃO DE OBRAS COM DIREITOS AUTORAIS LTDA - EPP.,05.840.498/0001-14,RT COMÉRCIO E SERVIÇOS DE CRIAÇÃO E PRODUÇÃO DE OBRAS COM DIREITOS AUTORAIS LTDA - EPP.,07.616.202/0001-01,FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.,2011-03-30,1000000.0,2011-04-13,1000000.0
02.11.0070.00,"NÃO SE PREOCUPE, NADA VAI DAR CERTO",PRODECINE 01,2009-01-01,40.426.918/0001-11,MAC COMUNICAÇÃO E PRODUÇÃO LTDA,40.426.918/0001-11,MAC COMUNICAÇÃO E PRODUÇÃO LTDA,03.918.609/0001-32,WMIX DISTRIBUIDORA LTDA.,2011-03-30,982145.0,2011-04-08,982145.0
02.11.0081.00,CILADA.COM,PRODECINE 02,2009-01-01,07.616.202/0001-01,FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.,09.558.964/0001-24,CASÉ FILMES LTDA,07.616.202/0001-01,FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.,2011-03-31,2000000.0,2011-04-11,2000000.0
02.11.0058.00,BILLI PIG,PRODECINE 02,2009-01-01,03.918.609/0001-32,WMIX DISTRIBUIDORA LTDA.,02.140.120/0001-10,BANANEIRA FILMES LTDA.,03.918.609/0001-32,WMIX DISTRIBUIDORA LTDA.,2011-04-06,1500000.0,2011-04-14,1500000.0
02.11.0096.00,O OLHO E A FACA,PRODECINE 02,2009-01-01,02.668.665/0001-01,ANTONIO FERNANDES FILMES LTDA,71.733.695/0001-69,OLHOS DE CÃO PRODUÇÕES CINEMATOGRÁFICAS LTDA,02.668.665/0001-01,ANTONIO FERNANDES FILMES LTDA,2011-04-12,1000000.0,2015-08-26,1000000.0
02.11.0104.00,ATÉ QUE A SORTE NOS SEPARE,PRODECINE 02,2009-01-01,08.257.054/0001-49,SM DISTRIBUIDORA DE FILMES LTDA,01.378.559/0001-12,GULLANE ENTRETENIMENTO S.A.,08.257.054/0001-49,SM DISTRIBUIDORA DE FILMES LTDA,2011-04-19,2000000.0,2011-12-15,2000000.0
02.11.0106.00,AS AVENTURAS DO PEQUENO COLOMBO,PRODECINE 02,2009-01-01,08.257.054/0001-49,SM DISTRIBUIDORA DE FILMES LTDA,07.060.648/0001-00,INDIANA PRODUÇÕES CINEMATOGRÁFICAS EIRELI - ME,08.257.054/0001-49,SM DISTRIBUIDORA DE FILMES LTDA,2011-04-25,1500000.0,2012-08-06,1500000.0
02.11.0114.00,A ESTRADA 47,PRODECINE 02,2009-01-01,72.672.017/0001-04,CANNES PRODUÇÕES S/A,01.713.311/0001-60,TRES MUNDOS CINE Y VIDEO LTDA.,72.672.017/0001-04,CANNES PRODUÇÕES S/A,2011-05-11,1800000.0,2011-05-24,1800000.0
02.11.0148.00,A FRENTE FRIA QUE A CHUVA TRAZ,PRODECINE 01,2009-01-01,04.092.785/0001-20,C.H.G. CAMARGO RIBAS,04.092.785/0001-20,C.H.G. CAMARGO RIBAS,07.616.202/0001-01,FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.,2011-05-16,1000000.0,2013-11-26,1000000.0
02.11.0139.00,A MEMÓRIA QUE ME CONTAM,PRODECINE 01,2009-01-01,73.947.392/0001-74,TAIGA FILMES E VIDEO EIRELI,73.947.392/0001-74,TAIGA FILMES E VIDEO EIRELI,08.346.733/0001-94,RESERVA NACIONAL DISTRIBUIDORA DE FILMES LTDA.,2011-05-16,700000.0,2011-05-27,700000.0
02.11.0146.00,AOS VENTOS QUE VIRÃO,PRODECINE 01,2009-01-01,71.617.252/0001-02,LUZ XXI CINE VIDEO LTDA,71.617.252/0001-02,LUZ XXI CINE VIDEO LTDA,08.656.129/0001-64,PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP,2011-05-16,500000.0,2011-07-06,500000.0
02.11.0147.00,ESTAMOS JUNTOS,PRODECINE 01,2009-01-01,01.605.800/0001-07,OLHAR IMAGINÁRIO LTDA,01.605.800/0001-07,OLHAR IMAGINÁRIO LTDA,03.918.609/0001-32,WMIX DISTRIBUIDORA LTDA.,2011-05-16,580000.0,2011-06-01,580000.0
02.11.0152.00,CARA OU COROA,PRODECINE 01,2009-01-01,59.190.843/0001-40,SP FILMES DE SÃO PAULO LTDA,59.190.843/0001-40,SP FILMES DE SÃO PAULO LTDA,01.216.636/0001-38,SPECTATEUR-COMÉRCIO E GERENCIAMENTO LTDA (BAIXADA),2011-05-19,700000.0,2011-06-10,700000.0
02.11.0157.00,MEU PAÍS,PRODECINE 01,2009-01-01,04.687.576/0001-20,SOMBUMBO FILMES LTDA - ME,04.687.576/0001-20,SOMBUMBO FILMES LTDA - ME,08.346.733/0001-94,RESERVA NACIONAL DISTRIBUIDORA DE FILMES LTDA.,2011-05-23,500000.0,2011-06-09,500000.0
02.11.0167.00,BUGIGANGUE NO ESPAÇO,PRODECINE 01,2009-01-01,08.517.383/0001-81,44 TOONS - PRODUÇÕES ARTÍSTICAS LTDA,08.517.383/0001-81,44 TOONS - PRODUÇÕES ARTÍSTICAS LTDA,03.918.609/0001-32,WMIX DISTRIBUIDORA LTDA.,2011-05-26,1000000.0,2012-11-23,1000000.0
02.11.0169.00,O HOMEM QUE NÃO DORMIA,PRODECINE 01,2009-01-01,16.487.027/0001-90,TRUQUE PRODUTORA DE CINEMA TV E VÍDEO LTDA,16.487.027/0001-90,TRUQUE PRODUTORA DE CINEMA TV E VÍDEO LTDA,08.656.129/0001-64,PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP,2011-05-26,300000.0,2011-07-01,300000.0
02.11.0166.00,O TEMPO E O VENTO,PRODECINE 02,2009-01-01,07.616.202/0001-01,FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.,53.976.478/0001-18,NEXUS CINEMA E VÍDEO LTDA,07.616.202/0001-01,FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.,2011-05-26,2250000.0,2011-08-18,2250000.0
02.11.0162.00,FAROESTE CABLOCO,PRODECINE 01,2009-01-01,08.427.088/0001-34,DE FELIPPES FILMES E PRODUÇÕES LTDA,08.427.088/0001-34,DE FELIPPES FILMES E PRODUÇÕES LTDA,72.672.017/0001-04,CANNES PRODUÇÕES S/A,2011-05-30,1000000.0,2011-06-17,1000000.0
02.11.0172.00,BOCA,PRODECINE 01,2009-01-01,02.395.043/0001-49,KINOSCÓPIO CINEMATOGRÁFICA E COMÉRCIO LTDA - EPP,02.395.043/0001-49,KINOSCÓPIO CINEMATOGRÁFICA E COMÉRCIO LTDA - EPP,14.589.221/0001-51,NOSSA DISTRIBUIDORA DE CONTEÚDO AUDIOVISUAL LTDA.,2011-06-01,215259.6,2011-06-17,215259.6
02.11.0173.00,BONITINHA MAS ORDINÁRIA,PRODECINE 02,2009-01-01,02.668.665/0001-01,ANTONIO FERNANDES FILMES LTDA,00.291.470/0001-51,DILER & ASSOCIADOS LTDA,02.668.665/0001-01,ANTONIO FERNANDES FILMES LTDA,2011-06-01,500000.0,2011-10-31,500000.0
02.11.0175.00,AMAZÔNIA - PLANETA VERDE,PRODECINE 02,2009-01-01,08.346.733/0001-94,RESERVA NACIONAL DISTRIBUIDORA DE FILMES LTDA.,01.378.559/0001-12,GULLANE ENTRETENIMENTO S.A.,08.346.733/0001-94,RESERVA NACIONAL DISTRIBUIDORA DE FILMES LTDA.,2011-06-07,1800000.0,2011-06-27,1800000.0
02.11.0177.00,O FIM E OS MEIOS,PRODECINE 01,2009-01-01,68.317.445/0001-33,CINEMA BRASIL DIGITAL - ESCRITÓRIO DE PLANEJ. EMPR. AUD. LTDA,68.317.445/0001-33,CINEMA BRASIL DIGITAL - ESCRITÓRIO DE PLANEJ. EMPR. AUD. LTDA,14.589.221/0001-51,NOSSA DISTRIBUIDORA DE CONTEÚDO AUDIOVISUAL LTDA.,2011-06-07,1150000.0,2011-06-22,1150000.0
02.11.0176.00,TRANSEUNTE,PRODECINE 01,2009-01-01,31.179.864/0001-46,VIDEOFILMES PRODUÇÕES ARTÍSTICA LTDA,31.179.864/0001-46,VIDEOFILMES PRODUÇÕES ARTÍSTICA LTDA,31.179.864/0001-46,VIDEOFILMES PRODUÇÕES ARTÍSTICA LTDA,2011-06-07,200000.0,2011-07-22,198806.6
02.11.0182.00,A ÚLTIMA ESTAÇÃO,PRODECINE 01,2009-01-01,37.981.206/0001-50,ASACINE PRODUÇÕES EIRELI,37.981.206/0001-50,ASACINE PRODUÇÕES EIRELI,60.469.871/0001-80,CINEMATOGRÁFICA POLIFILMES LTDA-ME,2011-07-15,554014.15,2011-08-01,554014.15
02.11.0192.00,XINGU,PRODECINE 01,2009-01-01,02.525.725/0001-29,O2 CINEMA LTDA,02.525.725/0001-29,O2 CINEMA LTDA,07.616.202/0001-01,FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.,2011-07-28,1400000.0,2011-08-17,1400000.0
02.11.0197.00,MINUTO NA TV - ESPORTES,PRODAV 01,2009-01-01,66.708.900/0001-04,UM MINUTO PRODUÇÕES CULTURAIS EIRELI,66.708.900/0001-04,UM MINUTO PRODUÇÕES CULTURAIS EIRELI,60.628.369/0001-75,RADIO E TELEVISAO RECORD S.A,2011-08-01,200000.0,2011-09-09,200000.0
02.11.0194.00,UM HOMEM SÓ,PRODECINE 01,2009-01-01,04.661.796/0001-84,GIROS PROJETOS AUDIOVISUAIS LTDA,04.661.796/0001-84,GIROS PROJETOS AUDIOVISUAIS LTDA,07.616.202/0001-01,FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.,2011-08-01,886146.0,2014-07-15,886146.0
02.11.0202.00,RITOS DE PASSAGEM,PRODECINE 02,2009-01-01,05.933.574/0001-36,PIPA NATIVA PRODUÇÃO CULTURAL LTDA,14.372.650/0001-72,LIBERATO PRODUÇÕES CULTURAIS LTDA,05.933.574/0001-36,PIPA NATIVA PRODUÇÃO CULTURAL LTDA,2011-08-22,365700.0,2011-10-19,365700.0
02.11.0204.00,IMAGENS DO ESTADO NOVO,PRODAV 01,2009-01-01,01.519.695/0001-85,BRASIL 1500 PRODUCOES CINEMATOGRAFICAS EIRELI,01.519.695/0001-85,BRASIL 1500 PRODUCOES CINEMATOGRAFICAS EIRELI,61.914.891/0001-86,FUND PE ANCHIETA CENTRO PAULISTA RADIO E TV EDUCATIVAS,2011-08-23,500000.0,2014-11-28,500000.0
02.11.0207.00,JULIE E OS FANTASMAS,PRODAV 01,2009-01-01,02.947.857/0001-49,RADAR CINEMA E TELEVISÃO LTDA,02.947.857/0001-49,RADAR CINEMA E TELEVISÃO LTDA,60.509.239/0001-13,RADIO E TELEVISAO BANDEIRANTES S.A.,2011-08-29,2000000.0,2011-09-15,2000000.0
02.11.0217.00,GODOFREDO,PRODAV 01,2009-01-01,02.231.569/0001-93,UM FILMES LTDA,02.231.569/0001-93,UM FILMES LTDA,61.914.891/0001-86,FUND PE ANCHIETA CENTRO PAULISTA RADIO E TV EDUCATIVAS,2011-09-14,1000000.0,2013-01-23,1000000.0
02.11.0215.00,NA BOCA DO POVO,PRODAV 01,2009-01-01,03.189.055/0001-80,ABBAS FILMES LTDA.,03.189.055/0001-80,ABBAS FILMES LTDA.,09.168.704/0001-42,EMPRESA BRASIL DE COMUNICACAO S.A. - EBC,2011-09-14,400000.0,2013-04-01,400000.0
02.11.0218.00,"OSMAR, A PRIMEIRA FATIA DO PÃO DE FORMA",PRODAV 01,2009-01-01,08.517.383/0001-81,44 TOONS - PRODUÇÕES ARTÍSTICAS LTDA,08.517.383/0001-81,44 TOONS - PRODUÇÕES ARTÍSTICAS LTDA,61.914.891/0001-86,FUND PE ANCHIETA CENTRO PAULISTA RADIO E TV EDUCATIVAS,2011-09-14,999000.0,2012-03-28,999000.0
02.11.0219.00,HÁ MUITAS NOITES NA NOITE,PRODAV 01,2009-01-01,27.651.181/0001-72,CALIBAN PRODUÇÕES CINEMATOGRÁFICAS LTDA.,27.651.181/0001-72,CALIBAN PRODUÇÕES CINEMATOGRÁFICAS LTDA.,09.168.704/0001-42,EMPRESA BRASIL DE COMUNICACAO S.A. - EBC,2011-09-15,500000.0,2013-03-12,500000.0
02.11.0216.00,MEU AMIGÃOZÃO,PRODAV 01,2009-01-01,02.683.477/0001-44,LD LABORATÓRIO DE DESENHOS LTDA,02.683.477/0001-44,LD LABORATÓRIO DE DESENHOS LTDA,09.168.704/0001-42,EMPRESA BRASIL DE COMUNICACAO S.A. - EBC,2011-09-15,1000000.0,2011-10-20,1000000.0
02.11.0223.00,BRAZUCAS!,PRODAV 01,2009-01-01,05.565.485/0001-84,PANORAMICA COMUNICACAO LTDA.,05.565.485/0001-84,PANORAMICA COMUNICACAO LTDA.,09.168.704/0001-42,EMPRESA BRASIL DE COMUNICACAO S.A. - EBC,2011-09-16,500000.0,2012-10-26,500000.0
02.11.0226.00,OS ÚTIMOS CANGACEIROS,PRODECINE 01,2009-01-01,04.761.874/0001-12,CORTE SECO FILMES LTDA,04.761.874/0001-12,CORTE SECO FILMES LTDA,08.346.733/0001-94,RESERVA NACIONAL DISTRIBUIDORA DE FILMES LTDA.,2011-09-21,200000.0,2011-10-03,200000.0
02.11.0232.00,"BOA NOITE, MARTHA",PRODAV 01,2009-01-01,87.435.368/0001-60,OTTO DESENHOS ANIMADOS LTDA,87.435.368/0001-60,OTTO DESENHOS ANIMADOS LTDA,61.914.891/0001-86,FUND PE ANCHIETA CENTRO PAULISTA RADIO E TV EDUCATIVAS,2011-09-29,500000.0,2012-04-13,500000.0
02.11.0242.00,AS AVENTURAS DO AVIÃO VERMELHO,PRODECINE 01,2009-01-01,04.909.742/0001-95,CAMILA GONZATTO & FREDERICO PINTO LTDA - ME,04.909.742/0001-95,CAMILA GONZATTO & FREDERICO PINTO LTDA - ME,03.918.609/0001-32,WMIX DISTRIBUIDORA LTDA.,2011-10-13,829966.1,2011-10-27,829966.1
02.11.0241.00,O GRANDE KILAPY,PRODECINE 01,2009-01-01,44.154.342/0001-31,RAIZ PRODUÇÕES CINEMATOGRÁFICAS LTDA. ME.,44.154.342/0001-31,RAIZ PRODUÇÕES CINEMATOGRÁFICAS LTDA. ME.,08.346.733/0001-94,RESERVA NACIONAL DISTRIBUIDORA DE FILMES LTDA.,2011-10-13,696747.0,2011-10-31,696747.0
02.11.0250.00,PROCURA-SE,PRODECINE 01,2009-01-01,06.998.046/0001-28,RT2A PRODUÇÕES CINEMATOGRÁFICAS LTDA.,06.998.046/0001-28,RT2A PRODUÇÕES CINEMATOGRÁFICAS LTDA.,07.616.202/0001-01,FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.,2011-10-28,914073.5,2011-12-09,914073.5
02.11.0255.00,AS MICROAVENTURAS DE TITO E MUDA,PRODAV 01,2009-01-01,08.296.780/0001-70,NEOPLASTIQUE ENTRETENIMENTO LTDA,08.296.780/0001-70,NEOPLASTIQUE ENTRETENIMENTO LTDA,61.914.891/0001-86,FUND PE ANCHIETA CENTRO PAULISTA RADIO E TV EDUCATIVAS,2011-10-31,550000.0,2016-09-08,550000.0
02.11.0251.00,ANITA E GARIBALDI,PRODECINE 01,2009-01-01,80.816.838/0001-97,LAZ AUDIOVISUAL LTDA.,80.816.838/0001-97,LAZ AUDIOVISUAL LTDA.,80.816.838/0001-97,LAZ AUDIOVISUAL LTDA.,2011-11-04,518146.0,2012-01-04,518146.0
02.11.0262.00,FLORES RARAS,PRODECINE 01,2009-01-01,73.619.637/0001-34,FILMES DO EQUADOR LTDA.,73.619.637/0001-34,FILMES DO EQUADOR LTDA.,03.918.609/0001-32,WMIX DISTRIBUIDORA LTDA.,2011-11-07,2500000.0,2012-06-01,2500000.0
02.11.0272.00,A GRANDE IDEIA - BRASIL,PRODAV 01,2009-01-01,66.708.900/0001-04,UM MINUTO PRODUÇÕES CULTURAIS EIRELI,66.708.900/0001-04,UM MINUTO PRODUÇÕES CULTURAIS EIRELI,02.608.224/0001-06,CANAL BRAZIL S/A,2011-11-11,195222.0,2011-12-03,195222.0
02.11.0265.00,ZICA E OS CAMALEÕES,PRODAV 01,2009-01-01,02.762.890/0001-02,CINEMA ANIMADORES LTDA. EPP,02.762.890/0001-02,CINEMA ANIMADORES LTDA. EPP,09.168.704/0001-42,EMPRESA BRASIL DE COMUNICACAO S.A. - EBC,2011-11-11,1000000.0,2013-01-15,1000000.0
02.11.0274.00,CAPITÃES DA AREIA,PRODECINE 01,2009-01-01,00.700.805/0001-48,LAGOA CULTURAL E ESPORTIVA LTDA,00.700.805/0001-48,LAGOA CULTURAL E ESPORTIVA LTDA,03.918.609/0001-32,WMIX DISTRIBUIDORA LTDA.,2011-11-14,1000000.0,2012-02-15,1000000.0
