,CPB,TITULO_ORIGINAL,NUMERO_FSA
354,B1700088400000  ,PAULO AUTRAN - O SENHOR DOS PALCOS                                                                  ,667
355,B1700088700000  ,COLECIONADORES                                                                                      ,283
356,B1700089300000  ,JÚLIO E VERNE OS IRMÃOS GEMIAIS                                                                     ,489
357,B1700092500000  ,JOAQUIM                                                                                             ,1580030255
358,B1700092500000  ,JOAQUIM                                                                                             ,571
359,B1700097600000  ,MEU PEQUENO MUNDO                                                                                   ,544
360,B1700104200000  ,PENDULAR                                                                                            ,379
361,B1700104400000  ,O CLUBE DOS CANIBAIS                                                                                ,696
362,B1700107000000  ,DESDE JUNHO                                                                                         ,559
363,B1700107600000  ,TRAVESSIA DE OLHARES                                                                                ,514
364,B1700107800000  ,MURALZINHO                                                                                          ,488
365,B1700109300000  ,RAREFEITO                                                                                           ,502
366,B1700109600000  ,"GOSTOSAS, LINDAS E SEXIES                                                                           ",1251
367,B1700110500000  ,A CARA DO FUTURO                                                                                    ,377
368,B1700110600000  ,"MEU CORPO, MINHA VIDA                                                                               ",1169
369,B1700112000000  ,CORPO ELÉTRICO                                                                                      ,272
370,B1700112800000  ,ÍNDIOS NO BRASIL                                                                                    ,473
371,B1700116700000  ,VENTO SUL                                                                                           ,528
372,B1700116800000  ,TODOS OS SANTOS                                                                                     ,105
373,B1700117400000  ,POR UM TRIZ                                                                                         ,394
374,B1700118500000  ,"AURÁ, EU SOU DE LÁ                                                                                  ",465
375,B1700118900000  ,AUÊ                                                                                                 ,499
376,B1700119200000  ,COMO NOSSOS PAIS                                                                                    ,434
377,B1700119300000  ,APRENDER A SONHAR                                                                                   ,574
378,B1700122600000  ,GUATEKA                                                                                             ,491
379,B1700122800000  ,BOTO FÉ                                                                                             ,403
380,B1700123200000  ,EXODUS - DE ONDE VIM NÃO EXISTE MAIS                                                                ,86
381,B1700127900000  ,TÁ NA HORA DE BRINCAR                                                                               ,476
382,B1700128800000  ,QUEM SE IMPORTA - A SÉRIE                                                                           ,335
383,B1700129600000  ,SQUAT NA AMAZÔNIA                                                                                   ,11029
384,B1700139700000  ,MISH MASH - A PRESENÇA JUDAICA NO BRASIL                                                            ,348
385,B1700140400000  ,WERNER E OS MORTOS                                                                                  ,293
386,B1700141400000  ,A ESCOLA DOS MISTÉRIOS                                                                              ,483
387,B1700145300000  ,CIÊNCIA PARA CRIANÇAS                                                                               ,509
388,B1700145800000  ,BARÃO VERMELHO - POR QUE A GENTE É ASSIM?                                                           ,815
389,B1700146700000  ,TERRA BRASIL                                                                                        ,376
390,B1700146900000  ,POVOS DO XINGU                                                                                      ,339
391,B1700149000000  ,INCERTEZAS CRÍTICAS - 2ª TEMPORADA                                                                  ,290
392,B1700151900000  ,O FILME DA MINHA VIDA                                                                               ,279
393,B1700151900000  ,O FILME DA MINHA VIDA                                                                               ,1158
394,B1700158700000  ,VIDA FLUXO                                                                                          ,527
395,B1700160200000  ,RUAS EM TRANSE                                                                                      ,503
396,B1700162000000  ,ALTAS EXPECTATIVAS                                                                                  ,424
397,B1700162000000  ,ALTAS EXPECTATIVAS                                                                                  ,948
398,B1700168200000  ,"NINGUÉM ENTRA, NINGUÉM SAI                                                                          ",400
399,B1700174700000  ,LENDAS ANIMADAS                                                                                     ,484
400,B1700177700000  ,UM TIO QUASE PERFEITO                                                                               ,859
401,B1700178200000  ,#PARTIUBRASIL                                                                                       ,498
402,B1700182400000  ,ALÉM DA LENDA                                                                                       ,477
403,B1700184000000  ,NOVA AMSTERDAM                                                                                      ,288
404,B1700189700000  ,EM UM MUNDO INTERIOR                                                                                ,289
405,B1700201400000  ,"ALMA IMORAL, A SÉRIE                                                                                ",321
406,B1700204000000  ,DEFENSORES                                                                                          ,501
407,B1700207800000  ,DUNAS DO BARATO                                                                                     ,251
408,B1700213000000  ,O MURO                                                                                              ,492
409,B1700213100000  ,A VELHA MAGRELA E OS ÓCULOS-JANELA.                                                                 ,188
410,B1700214000000  ,NO FIM DE TUDO                                                                                      ,909
411,B1700215800000  ,CAÇADORES DA ALMA - 2A TEMPORADA                                                                    ,291
412,B1700217600000  ,O SOM E O TEMPO                                                                                     ,287
413,B1700218600000  ,TERRITÓRIOS                                                                                         ,537
414,B1700220500000  ,ARQUEOLOGIAS - EM BUSCA DOS PRIMEIROS BRASILEIROS                                                   ,284
415,B1700220800000  ,O PIANO QUE CONVERSA                                                                                ,446
416,B1700220900000  ,O NÓ DO DIABO                                                                                       ,471
417,B1700221100000  ,DESIGNERS DO BRASIL                                                                                 ,349
418,B1700222300000  ,ABAIXO A GRAVIDADE                                                                                  ,320
419,B1700222800000  ,A VELHA HISTÓRIA DO MEU AMIGO NOVO                                                                  ,549
420,B1700225000000  ,"NÓS, OS FASHIONISTAS                                                                                ",822
421,B1700229000000  ,BRASIL MIGRANTE                                                                                     ,485
422,B1700242100000  ,PIRIPKURA                                                                                           ,352
423,B1700248900000  ,A SUPERFÍCIE DA SOMBRA                                                                              ,993
424,B1700249500000  ,COMBOIO DE SAL E AÇÚCAR                                                                             ,828
425,B1700253900000  ,TRABALHAR PRA QUEM?                                                                                 ,510
426,B1700256000000  ,NOKUN TXAI - NOSSOS TXAIS                                                                           ,536
427,B1700260200000  ,MUNDO DA GENTE                                                                                      ,548
428,B1700260300000  ,O BANQUETE                                                                                          ,309
429,B1700260300000  ,O BANQUETE                                                                                          ,970
430,B1700261200000  ,DESARQUIVANDO ALICE GONZAGA                                                                         ,421
431,B1700261300000  ,CIDADE INVISÍVEL                                                                                    ,480
432,B1700262700000  ,ÍNDIO PRESENTE                                                                                      ,545
433,B1700263000000  ,A LINGUAGEM DO CINEMA - SÉRIE II                                                                    ,77
434,B1700264800000  ,OFÍCIO DA PALAVRA                                                                                   ,412
435,B1700266600000  ,ZORA CURIOSA                                                                                        ,513
436,B1700275200000  ,FÉ NA BATIDA                                                                                        ,875
437,B1700278600000  ,ENQUADRO 5X5                                                                                        ,516
438,B1700278800000  ,EXPRESSO                                                                                            ,368
439,B1700291100000  ,TAPUME                                                                                              ,618
440,B1700297600000  ,FANTASMAS DA CASA PRÓPRIA                                                                           ,11489
441,B1700301000000  ,TRAVESSIAS NEGRAS                                                                                   ,538
442,B1700305400000  ,GABRIEL E A MONTANHA                                                                                ,327
443,B1700306100000  ,ANTES QUE EU ME ESQUEÇA                                                                             ,575
444,B1700307900000  ,A SOMBRA DO PAI                                                                                     ,296
445,B1700325000000  ,MEXEU COM UMA MEXEU COM TODAS                                                                       ,1486
446,B1700326100000  ,OSWALDO - 1A TEMPORADA                                                                              ,201
447,B1700329300000  ,A ÚLTIMA CHANCE                                                                                     ,55
448,B1700329300000  ,A ÚLTIMA CHANCE                                                                                     ,755
449,B1700330100000  ,BINGO - O REI DAS MANHÃS                                                                            ,109
450,B1700332400000  ,QUERIDA MAMÃE                                                                                       ,1202
451,B1700332400000  ,QUERIDA MAMÃE                                                                                       ,157
452,B1700333000000  ,FASHION CLICK                                                                                       ,903
453,B1700334600000  ,RETORNADOS                                                                                          ,340
454,B1700339700000  ,HISTORIETAS ASSOMBRADAS - O FILME                                                                   ,78
455,B1700339800000  ,TRAVESSURAS                                                                                         ,482
456,B1700342300000  ,DIÁRIOS DA FLORESTA                                                                                 ,642
457,B1700347300000  ,O MISTÉRIO DE NHEMYRÕ                                                                               ,467
458,B1700347600000  ,MALASARTES E O DUELO COM A MORTE                                                                    ,2120275
459,B1700347600000  ,MALASARTES E O DUELO COM A MORTE                                                                    ,1346
460,B1700348300000  ,BAILÃO - 1ª TEMPORADA                                                                               ,1549
461,B1700349800000  ,"JOÃO, O MAESTRO                                                                                     ",1236
462,B1700349800000  ,"JOÃO, O MAESTRO                                                                                     ",64
463,B1700350100000  ,O CÉU DE LÁ                                                                                         ,533
464,B1700353800000  ,BERENICE PROCURA                                                                                    ,266
465,B1700353800000  ,BERENICE PROCURA                                                                                    ,1338
466,B1700354400000  ,DIÁRIOS SOBRE O CORPO                                                                               ,518
467,B1700361000000  ,BIKE AMOR                                                                                           ,163
468,B1700361300000  ,MEMÓRIAS DO BRASIL                                                                                  ,666
469,B1700361400000  ,[DES]IGUAIS                                                                                         ,550
470,B1700363000000  ,LINHAS TORTAS                                                                                       ,311
471,B1700373800000  ,MÚSICA PELOS POROS                                                                                  ,840
472,B1700375500000  ,MOSTRA A TUA CARA!                                                                                  ,522
473,B1700375800000  ,IMORTAIS DA ACADEMIA                                                                                ,350
474,B1700376400000  ,ARTISTAS PLÁSTICOS BRASILEIROS                                                                      ,623
475,B1700378900000  ,PERRENGUE                                                                                           ,360
476,B1700379700000  ,GEOGRAFIA DA ARTE                                                                                   ,1166
477,B1700381100000  ,INVISÍVEL                                                                                           ,1270
478,B1700381100000  ,INVISÍVEL                                                                                           ,1268
479,B1700382400000  ,LINO - UMA AVENTURA DE SETE VIDAS                                                                   ,89
480,B1700386400000  ,NÃO DEVORE MEU CORAÇÃO                                                                              ,1407
481,B1700386500000  ,COMO SE TORNAR O PIOR ALUNO DA ESCOLA                                                               ,99999
482,B1700386500000  ,COMO SE TORNAR O PIOR ALUNO DA ESCOLA                                                               ,845
483,B1700395900000  ,DUAS DE MIM                                                                                         ,420
484,B1700395900000  ,DUAS DE MIM                                                                                         ,114
485,B1700396100000  ,NINGUÉM ESTÁ OLHANDO                                                                                ,928
486,B1700401300000  ,BOBOLÂNDIA MONSTROLÂNDIA - 1ª TEMPORADA                                                             ,213002500
487,B1700401900000  ,EU MORO AQUI                                                                                        ,639
488,B1700402100000  ,BLITZ                                                                                               ,407
489,B1700405200000  ,PRAÇA PARIS                                                                                         ,572
490,B1700405200000  ,PRAÇA PARIS                                                                                         ,809
491,B1700405200000  ,PRAÇA PARIS                                                                                         ,196
492,B1700405300000  ,MEU SKATE NÃO É ENFEITE                                                                             ,487
493,B1700411300000  ,MÚSICA PARA QUANDO AS LUZES SE APAGAM                                                               ,741
494,B1700411500000  ,GIRAMUNDO                                                                                           ,479
495,B1700422600000  ,CHOCANTE                                                                                            ,1283
496,B1700424300000  ,VAMOS ACABAR COM O MONSTRO                                                                          ,490
497,B1700424500000  ,YONLU                                                                                               ,735
498,B1700424900000  ,#FALAGALERA                                                                                         ,547
499,B1700428000000  ,A MENINA ÍNDIGO                                                                                     ,624
500,B1700431800000  ,"AMANAJÉ, O MENSAGEIRO DO FUTURO                                                                     ",486
501,B1700433100000  ,PAPAYA BULL - 1ª TEMPORADA                                                                          ,128
502,B1700447300000  ,ÁFRICA DA SORTE                                                                                     ,469
503,B1700448900000  ,BLOG DA MARI                                                                                        ,534
504,B1700449500000  ,CONSTRUINDO PONTES                                                                                  ,387
505,B1700450500000  ,AS BOAS MANEIRAS                                                                                    ,1261
506,B1700450500000  ,AS BOAS MANEIRAS                                                                                    ,40
507,B1700450600000  ,NINO: VIAGEM AO CONHECIMENTO                                                                        ,635
508,B1700452300000  ,"A BICICLETA DO VOVÔ, A SÉRIE                                                                        ",621
509,B1700454300000  ,GOSTO SE DISCUTE                                                                                    ,1054
510,B1700455700000  ,GAME BROS                                                                                           ,323
511,B1700463100000  ,CHAPEUZINHO DE TODAS AS CORES                                                                       ,1114
512,B1700464900000  ,AS LENDAS DA TURMA DO JAMBU                                                                         ,535
513,B1700465300000  ,MOACIR                                                                                              ,1238
514,B1700466400000  ,FILME B                                                                                             ,281
515,B1700466900000  ,ENTRE IRMÃS                                                                                         ,2042
516,B1700467500000  ,CAIXA PRETA                                                                                         ,723
517,B1700468400000  ,COMO É  CRUEL VIVER ASSIM                                                                           ,1333
518,B1700469000000  ,UM CONTO EM CADA PONTO                                                                              ,539
519,B1700472700000  ,CINEASTAS                                                                                           ,631
520,B1700473300000  ,NATUREZA MORTA                                                                                      ,396
521,B1700477000000  ,TUDO É PROJETO                                                                                      ,1580
522,B1700477300000  ,DONA FLOR E SEUS DOIS MARIDOS                                                                       ,1339
523,B1700479800000  ,MEU MUNDIAL                                                                                         ,1230
524,B1700480900000  ,ZAMA                                                                                                ,1159
525,B1700480900000  ,ZAMA                                                                                                ,237
526,B1700491900000  ,PRIMAVERA DAS MULHERES                                                                              ,1525
527,B1700493600000  ,GUARDIÃS DA FLORESTA                                                                                ,422
528,B1700497900000  ,ORGANISMO                                                                                           ,1266
529,B1700501700000  ,UNICÓRNIO                                                                                           ,868
530,B1700503500000  ,OS PARÇAS                                                                                           ,1668
531,B1700509000000  ,BIO                                                                                                 ,1435
532,B1700509400000  ,NA RODA DO SAMBA                                                                                    ,361
533,B1700510100000  ,PAULA PARANORMAL                                                                                    ,835
534,B1700513700000  ,O NOME DA MORTE                                                                                     ,1354
535,B1700513700000  ,O NOME DA MORTE                                                                                     ,98
536,B1700516500000  ,PALAVRAS EM SÉRIE                                                                                   ,1701
537,B1700518900000  ,DO JAZZ AO SAMBA                                                                                    ,760
538,B1700524600000  ,"SOCORRO, VIREI UMA GAROTA!                                                                          ",1201
539,B1700525900000  ,VELHAS AMIGAS                                                                                       ,391
540,B1700530500000  ,AILTON KRENAK: O SONHO DA PEDRA                                                                     ,629
541,B1700532600000  ,MESTRE CABELO                                                                                       ,749
542,B1700537500000  ,ASDRUBAL TROUXE O TROMBONE                                                                          ,810
543,B1700537500000  ,ASDRUBAL TROUXE O TROMBONE                                                                          ,829
544,B1700537700000  ,ESPERANDO A TEMPESTADE                                                                              ,847
545,B1700539700000  ,ASAS PARA LAUREN                                                                                    ,842
546,B1700539800000  ,SOLDADOS DO ARAGUAIA                                                                                ,838
547,B1700542200000  ,ALCE & ALICE                                                                                        ,365
548,B1700552000000  ,"FALA SÉRIO, MÃE!                                                                                    ",1118
549,B1700558300000  ,CINEMA DIVERSIDADE                                                                                  ,937
550,B1700561400000  ,CANAL TELEVISÃO: UM MORRO DO BARULHO                                                                ,542
551,B1700561500000  ,A PALESTINA BRASILEIRA                                                                              ,799
552,B1700565000000  ,GUERRA DO ARAGUAIA                                                                                  ,541
553,B1700565600000  ,SOU AMOR                                                                                            ,1099
554,B1700565800000  ,ICAMIABAS NA CIDADE AMAZÔNIA                                                                        ,640
555,B1700566900000  ,O DIA EM QUE NOS TORNAMOS TERRORISTAS                                                               ,475
556,B1700567900000  ,CARRAPATOS E CATAPULTAS - 3A TEMPORADA                                                              ,160
557,B1700571300000  ,HAPPY HOUR                                                                                          ,555
558,B1700571300000  ,HAPPY HOUR                                                                                          ,1360
559,B1700571600000  ,NATÁLIA - 2ª TEMPORADA                                                                              ,332
560,B1700574300000  ,XAVANTE - O POVO DO SOL NASCENTE                                                                    ,1089
561,B1700574400000  ,NAS NUVENS - 1A TEMPORADA                                                                           ,818
562,B1700578900000  ,CAMPUS SANTO                                                                                        ,540
563,B1700581400000  ,CARNEIRO DE OURO                                                                                    ,711
564,B1700581800000  ,GUERREIROS DA SELVA                                                                                 ,1194
565,B1700582100000  ,LANA & CAROL                                                                                        ,1088
566,B1700584300000  ,O BEIJO NO ASFALTO                                                                                  ,1461
567,B1700584400000  ,"VISCERAL BRASIL, AS VEIAS ABERTAS DA MÚSICA - 2A TEMPORADA                                          ",1111
568,B1700586400000  ,LEGÍTIMA DEFESA                                                                                     ,851
569,B1700589200000  ,SANGUE DA TERRA                                                                                     ,404
570,B1700590400000  ,"OSMAR, A PRIMEIRA FATIA DO PÃO DE FORMA - O FILME                                                   ",1233
571,B1700596400000  ,DIAS VAZIOS                                                                                         ,409
572,B1700597100000  ,CORAÇÃO DAS TREVAS                                                                                  ,69
573,B1700600000000  ,MEU IRMÃO NERD                                                                                      ,793
574,B1700600100000  ,MINHA FAMA DE MAU                                                                                   ,256
575,B1700601300000  ,O AMBIENTALISTA                                                                                     ,754
576,B1700602000000  ,ANTÁRTICA POR UM ANO                                                                                ,427
577,B1700602300000  ,PINTANDO A SÉTIMA ARTE                                                                              ,515
578,B1700603800000  ,SOTAQUE ELÉTRICO                                                                                    ,633
579,B1700605000000  ,A MOÇA DO CALENDÁRIO                                                                                ,1068
580,B1700605800000  ,LOS TERRITORIOS                                                                                     ,1676
581,B1700606000000  ,ÔMICRON                                                                                             ,301
582,B1700610100000  ,SABERES PASSADOS - 1A TEMPORADA                                                                     ,1074
583,B1700611000000  ,OS FAROFEIROS                                                                                       ,1506
584,B1700611000000  ,OS FAROFEIROS                                                                                       ,1507
585,B1700612200000  ,OS SAMBAS                                                                                           ,954
586,B1700615100000  ,RAÍZES                                                                                              ,493
587,B1700615400000  ,O DESMONTE DO MONTE                                                                                 ,601
588,B1700616700000  ,EU TE DEDICO                                                                                        ,715
589,B1700620000000  ,"BRAZIL, MADE IN PARANÁ                                                                              ",918
590,B1700621600000  ,HISTÓRIA DA ALIMENTAÇÃO NO BRASIL                                                                   ,418
591,B1700621800000  ,O COLORIDO MUNDO DE DALTON                                                                          ,526
592,B1700625600000  ,CLARA ESTRELA                                                                                       ,888
593,B1700625800000  ,CRIATIVOS.BR - MODA E IDENTIDADE                                                                    ,1162
594,B1700627500000  ,GEEK - OS AMADOS NERDS                                                                              ,370
595,B1700628500000  ,ARTE BRASILEIRA QUADRO A QUADRO                                                                     ,739
596,B1800000800000  ,O GRANDE CIRCO MISTICO                                                                              ,6273
597,B1800001000000  ,EX-PAJÉ                                                                                             ,877
598,B1800002100000  ,MATA NEGRA                                                                                          ,880
599,B1800006500000  ,EULLER MILLER ENTRE DOIS MUNDOS                                                                     ,1115
600,B1800007000000  ,ATÉ O PRIMEIRO DISCO                                                                                ,405
601,B1800009200000  ,ESSE NEGÓCIO DE LIVRO                                                                               ,294
602,B1800019400000  ,SOBRADINHO                                                                                          ,347
603,B1800028600000  ,A TERRA E A VIDA                                                                                    ,1143
604,B1800028900000  ,CULTURANDO                                                                                          ,1112
605,B1800029300000  ,TODOS OS PAULOS DO MUNDO                                                                            ,1326
606,B1800029400000  ,O AMOR DÁ TRABALHO                                                                                  ,1290
607,B1800029600000  ,O OLHO E A FACA                                                                                     ,429
608,B1800029600000  ,O OLHO E A FACA                                                                                     ,211009600
609,B1800034000000  ,SERTÃO DE DENTRO                                                                                    ,794
610,B1800036900000  ,FÁBULAS TORTAS                                                                                      ,1142
611,B1800042800000  ,MOBILIS                                                                                             ,1307
612,B1800043400000  ,SEBASTIANA QUEBRA-GALHO 2A TEMPORADA                                                                ,2090
613,B1800046600000  ,LEGALIZE JÁ - AMIZADE NUNCA MORRE                                                                   ,213016200
614,B1800067900000  ,MUNDO DE WANDER - PILOTO                                                                            ,645
615,B1800072600000  ,MANOEL BERNARDINO: O LENIN DA MATTA                                                                 ,474
616,B1800077200000  ,JEITOSINHA                                                                                          ,787
617,B1800078700000  ,"TORI, A DETETIVE                                                                                    ",1316
618,B1800088900000  ,BAILE DE MÁSCARAS                                                                                   ,1107
619,B1800089700000  ,A MULHER DO MEU MARIDO                                                                              ,1410
620,B1800089700000  ,A MULHER DO MEU MARIDO                                                                              ,1408
621,B1800089700000  ,A MULHER DO MEU MARIDO                                                                              ,1409
622,B1800089800000  ,AMORES DE CHUMBO                                                                                    ,209
623,B1800089800000  ,AMORES DE CHUMBO                                                                                    ,894
624,B1800090200000  ,AÇUCAR                                                                                              ,1700
625,B1800092400000  ,MARE NOSTRUM                                                                                        ,823
626,B1800093300000  ,ANJOS HUMANOS                                                                                       ,1465
627,B1800097300000  ,MEIO IRMÃO                                                                                          ,393
628,B1800098700000  ,SIMONAL                                                                                             ,733
629,B1800106900000  ,BENZINHO                                                                                            ,824
630,B1800114200000  ,INSTANTES CRUZADOS                                                                                  ,740
631,B1800115300000  ,A VIDA EXTRA-ORDINÁRIA DE TARSO DE CASTRO                                                           ,781
632,B1800115600000  ,O HOMEM PERFEITO                                                                                    ,423
633,B1800115900000  ,"""EL HOMBRE QUE CUIDA""                                                                               ",1237
634,B1800121800000  ,A CHAVE - 2ª TEMPORADA                                                                              ,1161
635,B1800124400000  ,TEU MUNDO NÃO CABE NOS MEUS OLHOS                                                                   ,1817
636,B1800124400000  ,TEU MUNDO NÃO CABE NOS MEUS OLHOS                                                                   ,1527
637,B1800125800000  ,MEU BEBÊ REBORN                                                                                     ,1303
638,B1800126200000  ,ULTRA BEBÊ                                                                                          ,1304
639,B1800126800000  ,SEQUESTRO RELÂMPAGO                                                                                 ,227
640,B1800130000000  ,ALGUÉM COMO EU                                                                                      ,213019800
641,B1800131200000  ,A TROPA DE TRAPO - NA SELVA DO ARCO-ÍRIS                                                            ,428
642,B1800132200000  ,PELAS BEIRADAS                                                                                      ,532
643,B1800132900000  ,TINTA BRUTA                                                                                         ,986
644,B1800134200000  ,"AFINAL, QUEM É DEUS?                                                                                ",1145
645,B1800134500000  ,OUTRO SOM - 2ª TEMPORADA                                                                            ,932
646,B1800136400000  ,BRASIL FOLCLORE                                                                                     ,607
647,B1800138800000  ,DOWNWIND NAS FILIPINAS                                                                              ,1292
648,B1800141000000  ,AZOUGUE NAZARÉ                                                                                      ,1286
649,B1800141100000  ,LINHAS ABERTAS                                                                                      ,836
650,B1800143100000  ,GRUPO DE BAGÉ                                                                                       ,687
651,B1800145300000  ,A TORRE                                                                                             ,383
652,B1800150400000  ,SAUDADE                                                                                             ,1172
653,B1800150600000  ,O CHALÉ É UMA ILHA BATIDA DE VENTO E CHUVA                                                          ,905
654,B1800151400000  ,À BRASILEIRA                                                                                        ,371
655,B1800152000000  ,GUARNIERI                                                                                           ,1608
656,B1800159100000  ,DIVERSIDADE                                                                                         ,783
657,B1800159500000  ,O MORTO MUNDO DE GEORGE - EPISÓDIO PILOTO                                                           ,913
658,B1800166100000  ,REPÚBLICA DA POESIA                                                                                 ,837
659,B1800166700000  ,ALÉM DO HOMEM                                                                                       ,573
660,B1800166700000  ,ALÉM DO HOMEM                                                                                       ,778
661,B1800166700000  ,ALÉM DO HOMEM                                                                                       ,1510
662,B1800167500000  ,INFERNINHO - EPISÓDIO PILOTO                                                                        ,1149
663,B1800171500000  ,OS DINÂMICOS                                                                                        ,468
664,B1800172700000  ,KARINGANA - LICENÇA PARA CONTAR                                                                     ,2002
665,B1800182100000  ,ERIC ACORDE                                                                                         ,208
666,B1800187200000  ,RAIVA                                                                                               ,1643
667,B1800188300000  ,AS MIL MULHERES                                                                                     ,758
668,B1800189500000  ,OFF-GRID - (DES)REGRADOS (EPISÓDIO PILOTO)                                                          ,924
669,B1800190900000  ,JOVENS DE CORAÇÃO - EPISÓDIO PILOTO                                                                 ,890
670,B1800192100000  ,MINHA FAMÍLIA É                                                                                     ,1101
671,B1800193300000  ,PAMPA HYPERTROPICAL                                                                                 ,1146
672,B1800202100000  ,PARAÍSO PERDIDO                                                                                     ,1712
673,B1800202100000  ,PARAÍSO PERDIDO                                                                                     ,243
674,B1800202100000  ,PARAÍSO PERDIDO                                                                                     ,1713
675,B1800202100000  ,PARAÍSO PERDIDO                                                                                     ,1667
676,B1800204300000  ,MORMAÇO                                                                                             ,430
677,B1800206400000  ,UMA NOITE NÃO É NADA                                                                                ,408
678,B1800206400000  ,UMA NOITE NÃO É NADA                                                                                ,58
679,B1800209700000  ,OS ÍMPARES                                                                                          ,1332
680,B1800212300000  ,CONTRACAPA                                                                                          ,1110
681,B1800212800000  ,TALVEZ UMA HISTÓRIA DE AMOR                                                                         ,1592
682,B1800213800000  ,BIXA TRAVESTY                                                                                       ,1476
683,B1800215300000  ,UMA VIAGEM INESPERADA                                                                               ,1642
684,B1800216200000  ,CORRENDO ATRÁS                                                                                      ,811
685,B1800216200000  ,CORRENDO ATRÁS                                                                                      ,812
686,B1800216300000  ,RICK COM MONSTROS NOS DEDOS - EPISÓDIO PILOTO                                                       ,834
687,B1800217200000  ,TURMA 5B                                                                                            ,978
688,B1800223000000  ,SEMENTES DA EDUCAÇÃO                                                                                ,689
689,B1800223200000  ,MAMIRAUÁ                                                                                            ,833
690,B1800227200000  ,ALEGORIAS DO BRASIL                                                                                 ,736
691,B1800228000000  ,AMAZÔNIA LEGAL                                                                                      ,1119
692,B1800228200000  ,AUTO DE RESISTÊNCIA                                                                                 ,1067
693,B1800228200000  ,AUTO DE RESISTÊNCIA                                                                                 ,1299
694,B1800235200000  ,ONDE QUER QUE VOCÊ ESTEJA                                                                           ,966
695,B1800236000000  ,PROFETAS DA CHUVA                                                                                   ,1678
696,B1800236100000  ,XINÃ BENA BEISIKIT XARABU                                                                           ,1276
697,B1800245900000  ,O JUÍZO                                                                                             ,254
698,B1800247400000  ,O MURO                                                                                              ,1567
699,B1800247400000  ,O MURO                                                                                              ,1596
700,B1800249200000  ,MANUAL DE SOBREVIVÊNCIA PARA O SÉCULO XXI                                                           ,453
701,B1800255500000  ,ILHA                                                                                                ,1362
702,B1800262500000  ,O OLHAR QUE VEM DE DENTRO                                                                           ,1081
703,B1800262800000  ,A VOZ DO SILÊNCIO                                                                                   ,814
704,B1800264200000  ,CARVANA                                                                                             ,965
705,B1800269200000  ,MULHERES ALTERADAS                                                                                  ,1974
706,B1800278500000  ,PALAVRAS PERMANECEM                                                                                 ,1253
707,B1800279000000  ,JOVENS POLACAS                                                                                      ,1638
708,B1800282400000  ,CANDEIA                                                                                             ,796
