,CPB,TITULO_ORIGINAL,NUMERO_FSA
84,B1301956300000  ,HISTÓRIAS DE ALICE                                                                                  ,213000100
85,B1301968400000  ,EDUCAÇÃO SENTIMENTAL                                                                                ,68
86,B1301987400000  ,O FIM E OS MEIOS                                                                                    ,211017700
87,B1301989000000  ,O MENINO E O MUNDO                                                                                  ,211038000
88,B1301996600000  ,O GRANDE KILAPY                                                                                     ,211024100
89,B1302013100000  ,"OSMAR, A PRIMEIRA FATIA DO PÃO DE FORMA - 1ª TEMPORADA                                              ",211021800
90,B1302028100000  ,EXPEDIÇÕES BURLE MARX                                                                               ,211033300
91,B1302041500000  ,OS ULTIMOS CANGACEIROS                                                                              ,211022600
92,B1402062600000  ,BRICHOS - SÉRIE DE TV - PRIMEIRA TEMPORADA                                                          ,211022500
93,B1402070700000  ,TODOS OS BRASILEIROS NO MUNDO                                                                       ,211022300
94,B1402080700000  ,AMAZÔNIA PLANETA VERDE                                                                              ,211017500
95,B1402086200000  ,ENTRE NÓS                                                                                           ,88
96,B1402091700000  ,FANÁTICOS                                                                                           ,213006800
97,B1402123800000  ,VISCERAL BRASIL - AS VEIAS ABERTAS DA MÚSICA                                                        ,213019700
98,B1402125800000  ,A ESTRADA 47                                                                                        ,211011400
99,B1402131500000  ,ROMANCE POLICIAL                                                                                    ,6
100,B1402131600000  ,CASA GRANDE                                                                                         ,212030200
101,B1402137200000  ,OS HOMENS SÃO DE MARTE...E É PRÁ LÁ QUE EU VOU!                                                     ,62
102,B1402145600000  ,À QUEIMA ROUPA                                                                                      ,212050200
103,B1402146300000  ,PRAIA DO FUTURO                                                                                     ,211040100
104,B1402147900000  ,QUESTÃO DE FAMÍLIA                                                                                  ,106
105,B1402153900000  ,QUE É QUE EU VOU FAZER DA MINHA VIDA                                                                ,213000700
106,B1402155200000  ,TROMBA TREM - 2ª TEMPORADA                                                                          ,213002100
107,B1402156400000  ,OXIGÊNIO                                                                                            ,212017300
108,B1402159100000  ,GETÚLIO                                                                                             ,211034400
109,B1402163900000  ,QUERO TER UM MILHÃO DE AMIGOS.                                                                      ,33
110,B1402175100000  ,O MENINO NO ESPELHO                                                                                 ,212046200
