TITULO_ORIGINAL,PRODUTORA_BRASILEIRA,UF_PRODUTORA_BRASILEIRA,PRODUTORA_ESTRANGEIRA,PAIS_PRODUTORA_ESTRANGEIRA,TIPO_OBRA,TOTAL_TECNICOS_ESTRANGEIROS,LOCAL_FILMAGEM ,DT_APROVACAO,PERIODO_PRODUCAO_INICIO,PERIODO_PRODUCAO_FIM
Verrueckt nach Meer 10,Sol Entertainment Ltda,RJ,Bewegte Zeiten Filmproduktion GmbH,Alemanha,Documentário,25,"Rio Grande do Sul, Caboriú, Ilha Bela, Angra dos Reis, Rio de Janeiro, Ilhéus, Salvador, Natal, Belém, Santarém, Alter do Chão, Manaus, Parintins, Boca da Valéria (RS,SP,RJ,BA,RN,PA,AM)",2020-02-04,2020-02-29,2020-03-24
""" BEAUTY PRISON "" &"" BIKER PRISON """,CINEMAR - W.FAISSAL PRODUÇÕES ARTÍSTICAS E COMUNIC,RJ,ITV STUDIOS NETHERLANDS BV,Holanda,Documentário,5,"Rio de Janeiro, Santa Rita do Sapucaí, São Paulo (RJ,GM,SP)",2020-02-04,2020-02-02,2020-03-30
Relato de um Certo Oriente,Matizar Produções Artísticas Ltda,RJ,-,-,Ficção,1,Belém (PA),2020-02-04,2020-02-10,2020-04-20
Relato de um Certo Oriente,Matizar Produções Artísticas Ltda,RJ,-,-,Ficção,1,Belém (PA),2020-02-04,2020-02-10,2020-04-20
Brady and Gary go to,IGOR DE MIRANDA OLSZOWSKI - ME,RJ,Entertainment ONE,Estados Unidos,Documentário,17,Rio de Janeiro (RJ),2020-02-05,2020-02-08,2020-02-16
Bank Corporate Video,BPS PRODUÇÕES E SERVIÇOS EIRELI,RJ,FIGURA MEDIA LLC,Estados Unidos,Institucional,3,São Paulo (SP),2020-02-11,2020-02-15,2020-02-20
RETORNO À AMAZÔNIA,PEDRO SUTTER OZORIO ROSA ME,RJ,FRANK FILMS,Reino Unido,Documentário,5,"Altamira, Aldeia Kriny, Manaus, Atto - Floresta, Rio de Janeiro, Boa Vista, Benjamin Constant, Atalaia (PA, AM, RJ, RR)",2020-02-11,2020-04-06,2020-06-17
Better Late then Never,Viva Filmes Produções Ltda,RJ,FREMATLE MEDIA NETHERLANDS B.V,Holanda,Documentário,1,"Rio de Janeiro (RJ), Manaus (AM)",2020-02-11,2020-02-20,2020-02-26
Breaking the Boundaries (Quebrando os Limites),TR Somogyi Produções,RJ,Silverback Films Ltd,Reino Unido,Documentário,4,"Manaus, Uatumã, Brasília, Querência (AM, DF,MT)",2020-02-11,2020-02-25,2020-03-14
Rio de Janeiro Corporate Shoot,BPS PRODUÇÕES E SERVIÇOS EIRELI,RJ,FIGURA MEDIA LLC,Estados Unidos,Institucional,1,Rio de Janeiro (RJ),2020-02-14,2020-02-22,2020-02-25
Rio de Janeiro Corporate Shoot,BPS PRODUÇÕES E SERVIÇOS EIRELI,RJ,FIGURA MEDIA LLC,Estados Unidos,Institucional,1,Rio de Janeiro (RJ),2020-02-14,2020-02-22,2020-02-25
Decathlon Brasil Shoot,BPS PRODUÇÕES E SERVIÇOS EIRELI,RJ,FIGURA MEDIA LLC,Estados Unidos,Institucional,2,Rio de Janeiro (RJ),2020-02-13,2020-03-17,2020-03-21
Better Late then Never,Viva Filmes Produções Ltda,RJ,FREMATLE MEDIA NETHERLANDS B.V,Holanda,Documentário,1,"Rio de Janeiro (RJ), Manaus (AM)",2020-02-11,2020-02-20,2020-02-26
Bank Corporate Video,BPS PRODUÇÕES E SERVIÇOS EIRELI,RJ,FIGURA MEDIA LLC,Estados Unidos,Institucional,1,São Paulo (SP),2020-02-14,2020-02-15,2020-02-20
Pedro « Scooby » Vianna,AURA FI LME PRODUÇÕES LTDA,RJ,Alex Laurel,França,Outro,2,Rio de Janeiro (RJ),2020-02-19,2020-02-28,2020-03-05
Takuma,BPS PRODUÇÕES E SERVIÇOS EIRELI,RJ,FIGURA MEDIA LLC,Estados Unidos,Institucional,3,Rio de Janeiro (RJ),2020-02-27,2020-02-22,2020-02-27
All eyes on me,Stink SP Produção de Filmes Ltda,SP,Stink Berlin,Alemanha,Obra Publicitária,1,São Paulo (SP),2020-03-02,2020-03-16,2020-03-21
All eyes on me,Stink SP Produção de Filmes Ltda,SP,Stink Berlin,Alemanha,Obra Publicitária,1,São Paulo (SP),2020-03-02,2020-03-16,2020-03-21
All eyes on me,Stink SP Produção de Filmes Ltda,SP,Stink Berlin,Alemanha,Obra Publicitária,1,São Paulo (SP),2020-03-02,2020-03-16,2020-03-21
All eyes on me,Stink SP Produção de Filmes Ltda,SP,Stink Berlin,Alemanha,Obra Publicitária,1,São Paulo (SP),2020-03-02,2020-03-16,2020-03-21
All eyes on me,Stink SP Produção de Filmes Ltda,SP,Stink Berlin,Alemanha,Obra Publicitária,1,São Paulo (SP),2020-03-02,2020-03-16,2020-03-21
All eyes on me,Stink SP Produção de Filmes Ltda,SP,Stink Berlin,Alemanha,Obra Publicitária,1,São Paulo (SP),2020-03-02,2020-03-16,2020-03-21
All eyes on me,Stink SP Produção de Filmes Ltda,SP,Stink Berlin,Alemanha,Obra Publicitária,1,São Paulo (SP),2020-03-02,2020-03-16,2020-03-21
Indiana University Documentary,BPS PRODUÇÕES E SERVIÇOS EIRELI,RJ,FIGURA MEDIA LLC,Estados Unidos,Documentário,1,"São Paulo, Belo Horizonte, Ouro Preto, Foz do Iguaçu (SP,MG,PR)",2020-02-28,2020-02-07,2020-02-17
Indiana University Documentary,BPS PRODUÇÕES E SERVIÇOS EIRELI,RJ,FIGURA MEDIA LLC,Estados Unidos,Documentário,1,"São Paulo, Belo Horizonte, Ouro Preto, Foz do Iguaçu (SP,MG,PR)",2020-02-28,2020-02-07,2020-02-17
the epic hunt,Ocean Produção de Filmes Ltda.,SC,Rogue,Reino Unido,Obra Publicitária,7,Rio de Janeiro (RJ),2020-02-28,2020-02-28,2020-03-06
Quer Jogar Comigo,Xes Projetos Visuais Ltda,SP,Eight Pictures Inc,Japão,Obra Publicitária,5,Rio de Janeiro (RJ),2020-02-28,2020-03-06,2020-03-12
