FESTIVAL,MOSTRA_CATEGORIA,DT_INICIO_FESTIVAL,DT_TERMINO_FESTIVAL,TITULO_ORIGINAL,TIPO_APOIO,METRAGEM,REPRESENTANTE,RAZAO_SOCIAL_PRODUTORA,CNPJ_PRODUTORA,VALOR_APOIO
FESTin ,Sessão competitiva,2019-05-15,2019-05-22,Unicórnio,Apoio Financeiro,Longa,Eduardo Lima de Castro Nunes,3 Tabela Films e Produções Artísticas LTDA,09.107.296/0001-19,4600.0
Cine Político,Sección Competencia Oficial Internacional de medio,2019-05-16,2019-05-23,Nossos Mortos Têm Voz,Apoio Financeiro,Média,Fernando Carlos de Sousa,Quiprocó Filmes Ltda,19.409.664/0001-37,2300.0
Cine Político,Sección Competencia Oficial Internacional de medio,2019-05-16,2019-05-23,Bellatrix ,Apoio Financeiro,Média,Lucas Soares Constanzi ,Sabujo Filmes Eireli ME,15.709.076/0001-68,2300.0
Molodist Kiev ,International Student Competition,2019-05-25,2019-06-02,Concreto Cinza Abstrato ,Apoio Financeiro,Curta,Henrique Santos Grise,Henrique Santos Grise 37829125864,23.535.312/0001-03,4600.0
Australab,3 Puertos Cine convocatoria desarrollo 2019,2019-05-28,2019-06-02,De Guiné,Apoio Financeiro,Projeto de Longa,Caroline Viecili Leone,Besouro Filmes Ltda.,08.112.710/0001-15,2300.0
Australab,Laboratório de desenvolvimento de roteiro/produção,2019-05-28,2019-06-02,A Fera na Selva,Apoio Financeiro,Projeto de Longa,Sérgio Borges Martins Filho,Anavilhana Filmes Ltda-ME,07.525.577/0001-66,2300.0
Hamburgo,Competição de Curtas-metragens,2019-06-04,2019-06-10,Rise,Apoio Financeiro,Média,Barbara Wagner,Ponte Produtoras Associadas LTDA ,22.543.352/0001-26,4600.0
Sheffield Doc/Fest,Competição de Longas-metragem,2019-06-06,2019-06-11,Bloqueio,Apoio Financeiro,Longa,Maria Victória Álvares Maia Leite ,Ponte Produtoras Associadas LTDA ,22.543.352/0001-26,4600.0
Sheffield Doc/Fest,Tim Hetherington Award Sheffield ,2019-06-06,2019-06-11,Espero tua (re)volta,Apoio Financeiro,Longa,Eliza Ribeiro Capai,TVa2 Produções Ltda ME,09.514.942/0001-62,4600.0
FILMADRID,Um sonho intenso,2019-06-06,2019-06-15,Os Jovens Baumanns,Apoio Financeiro,Longa,Bruna Carvalho Almeida,Punta Colorada Produções Audiovisuais LTDA-ME ,13.193.095/0001-59,4600.0
Huesca,Concurso Iberoamericano de Cortometrajes,2019-06-07,2019-06-15,Aurora,Apoio Financeiro,Média,Leonardo Ayres Furtado,Tempero Filmes LTDA,15.745.495/0001-55,4600.0
Huesca,Concurso Iberoamericano de Cortometrajes,2019-06-07,2019-06-15,Concreto Cinza Abstrato ,Apoio Financeiro,Curta,Henrique Santos Grise,Henrique Santos Grise 37829125864,23.535.312/0001-03,4600.0
EAVE Puentes ,Sem Informação,2019-06-10,2019-06-15,Casa sem dono,Apoio Financeiro,Projeto de Longa,Daniel Pech Bezerra,Multiverso Filmes Produções Artísticas Ltda,29.121.096/0001-28,4600.0
EAVE Puentes ,Sem Informação,2019-06-10,2019-06-15,Ruas da Glória,Apoio Financeiro,Projeto de Longa,Daniel van Hoogstraten,Syndrome Filmes e Produções Cinematográficas Ltda,09.409.976/0001-97,4600.0
Annecy,Perspectives,2019-06-10,2019-06-15,Sangro,Apoio Financeiro,Curta,Thiago Amaral Minamisawa,Thiago Amaral Minamisawa 33947188803,24.247.127/0001-78,4600.0
Torino Film Lab (Barolo),Script Lab,2019-06-18,2019-06-25,Indolor ,Apoio Financeiro,Projeto de Longa,Michael Wahrmann Stein,Sancho Filmes LTDA,11.000.556/0001-02,4600.0
Frameline,Realness & Revelation,2019-06-20,2019-06-30,MC Jess,Apoio Financeiro,Curta,Julia Araújo Ferreira da Silva,Julia Araújo Ferreira da Silva,00.000.000/0000-00,4025.0
Frameline,Competição de Curtas-metragens,2019-06-20,2019-06-30,Reforma,Apoio Financeiro,Curta,Fábio de Barros Leal,Ponte Produtoras Associadas LTDA,22.543.352/0001-26,4025.0
Bolivia Lab ,Laboratorio y Clínica de Proyectos ,2019-06-24,2019-06-29,Entre a Sola e o Salto ,Apoio Financeiro,Projeto de Longa,Fernanda Sampaio Chicolet Moreira,Tokyo Filmes ,10.468.552/0001-82,2300.0
ANIMALATINA ,Latin American Short ,2019-06-24,2019-06-30,Corações Encouraçados ,Apoio Financeiro,Curta,Jamile dos Santos Coelho ,Jamile dos Santos Coelho - ME ,13.456.325/0001-25,2300.0
ANIMALATINA ,Competencia Oficial ,2019-06-24,2019-06-30,Sangro,Apoio Financeiro,Curta,Thiago Amaral Minamisawa,Thiago Amaral Minamisawa 33947188803,24.247.127/0001-78,2300.0
ANIMALATINA ,Competitiva de Animação Latino Americana,2019-06-24,2019-06-30,O Homem na Caixa,Apoio Financeiro,Curta,Alexandre Cesar Felippe Borges ,Segunda-Feira Filmes Produções Artísticas Ltda ME ,08.798.008/0001-57,2300.0
Munique,International Independents ,2019-06-27,2019-07-06,Temporada,Apoio Financeiro,Longa,André de Novais Oliveira,Filmes de Plástico Produções Audiovisuais Ltda ME ,17.456.554/0001-09,4600.0
Munique ,International Independents ,2019-06-27,2019-07-06,Deslembro,Apoio Financeiro,Longa,Flavia Macedo e Castro,Videofilmes Produções Artísticas Ltda,31.179.864/0001-46,4600.0
Munique ,International Independents ,2019-06-27,2019-07-06,Domingo,Apoio Financeiro,Longa,Clara Isabelle Linhart,Gamarosa Filmes Ltda.,11.422.855/0001-27,4600.0
Bolivia Lab (Cochabamba),Sem Informação,2019-07-01,2019-07-05,O Rio,Apoio Financeiro,Projeto de Longa,Wislan Esmeraldo de Oliveira,Tardo Filmes LTDA ME,16.894.643/0001-66,2300.0
Bolivia Lab (Cochabamba),Taller Internacional de Guión,2019-07-01,2019-07-05,Vento Sudoeste ,Apoio Financeiro,Projeto de Longa,Angelo Defanti,Sobretudo Produção Audiovisual e Artística Ltda,10.441.993/0001-90,2300.0
Vila do Conde,Competição de Curtas-metragens,2019-07-06,2019-07-14,Rise,Apoio Financeiro,Média,Barbara Wagner,Ponte Produtoras Associadas LTDA ,22.543.352/0001-26,4600.0
Marselha,Competição Filme Francês e First Film Competition,2019-07-09,2019-07-15,Fendas ,Apoio Financeiro,Longa,Daniela Antonelli Aun,D. ANTONELLI AUN PRODUÇÕES ME.,08.962.935/0001-60,4600.0
Marselha,International Competition and First Film Competition ,2019-07-09,2019-07-15,Tremor Iê,Apoio Financeiro,Longa,Elena Meirelles Schupfner,Tardo Filmes LTDA ME,16.894.643/0001-66,4600.0
FID Lab,Sem Informação,2019-07-11,2019-07-12,Esqui ,Apoio Financeiro,Projeto de Longa,Andre Torres Mielnik,Parnaioca Cinematográfica Ltda ME,10.278.879/0001-91,4600.0
Durban,Competitiva internacional de curta-metragem,2019-07-18,2019-07-28,O Mistério da Carne,Apoio Financeiro,Média,Rafaela Camelo Vieira,Apoteótica Cinematográfica LTDA,15.526.951/0001-76,5750.0
Doc Montevideo ,Sem Informação,2019-07-31,2019-08-09,Cartografias do Corpo,Apoio Financeiro,Projeto de Longa,Leonardo Xavier Barcelos Costa ,Tandera Filmes e Produções Eireli ME ,20.615.318/0001-94 ,2300.0
Doc Montevideo ,Sem Informação,2019-07-31,2019-08-09,Babado,Apoio Financeiro,Projeto de Longa,Camila Silva Freitas,Trotoar -  Produção de Serviços Audiovisuais Ltda ME,13.486.716/0001-92,2300.0
Doc Montevideo ,Sem Informação,2019-07-31,2019-08-09,Sobre Memória e Esquecimento ,Apoio Financeiro,Projeto de Longa,Ricardo Camargo Martensen,Trilha Mídia Produção Cinematográfica LTDA-ME,09.486.710/0001-48,2300.0
Doc Montevideo ,Sem Informação,2019-07-31,2019-08-09,Pedreiras ,Apoio Financeiro,Projeto de Longa,Brunna Laboissiere Ferreira ,Bruna Laboissiere Ferreira Serviços de Audiovisual ,20.803.810/0001-93,2300.0
Doc Montevideo ,Sem Informação,2019-07-31,2019-08-09,"We, Divine ",Apoio Financeiro,Projeto de Longa,Mariana Mendonça Cobra de Carvalho,Mariana Mendonça Cobra de Carvalho ME  ,16.652.799/0001-30,2300.0
Locarno ,Pardi di Domani ,2019-08-07,2019-08-17,Carne ,Apoio Financeiro,Curta,Camila Magalhães Kater,Doctela - Mídia e Comunicação Ltda,13.857.597/0001-37,4600.0
Locarno ,Pardi di Domani ,2019-08-07,2019-08-17,Chão de Rua ,Apoio Financeiro,Média,Tomás Mancino von der Osten,Cazumbá Produções Culturais Eireli ME,19.668.184/0001-90,4600.0
Locarno ,Competição Oficial ,2019-08-07,2019-08-17,A Febre ,Apoio Financeiro,Longa,Maya Werneck Da-Rin,Tamandua Vermelho  Produções  Artísticas  Eireli ­ ME  ,22.734.795/0001-02,4600.0
Locarno ,Moving Ahead ,2019-08-07,2019-08-17,Swinguerra,Apoio Financeiro,Média,Maria Doralice Lira Amorim ,Ponte Produtoras Associadas LTDA,22.543.352/0001-26,4600.0
Veneza ,Venice Classics - Documentary Films,2019-08-28,2019-09-07,  Babenco: Alguém tem que ouvir o coração e dizer: Parou,Apoio Financeiro,Longa,Bárbara Raquel Paz,Hector Babenco Filmes EIRELI ,46.848.701/0001-86,4600.0
Toronto ,Short Cuts Program ,2019-09-05,2019-09-15,Carne ,Apoio Financeiro,Curta,Camila Magalhães Kater,Doctela - Mídia e Comunicação Ltda,13.857.597/0001-37,4025.0
Toronto ,Wavelenghts Programme ,2019-09-05,2019-09-15,Sete Anos em Maio ,Apoio Financeiro,Média,Affonso Uchôa Alonso Rodrigues ,Vasto Mundo LTDA,17.899.391/0001-20,4025.0
Viña del Mar ,Competencia Intl Cortometrajes de Escuela ,2019-09-10,2019-09-14,Luto,Apoio Financeiro,Curta,Eduardo Martins Zimermann Camargo ,Anne Lise Filartiga Ale - ME,13.980.615/0001-73,2300.0
