,REGISTRO_ANCINE,CNPJ_EMPRESA,RAZAO_SOCIAL,EMPRESA_ASSOCIADA,CNPJ_EMPRESA_ASSOCIADA
5342,51265,37.752.575/0001-70,EL DORADO STUDIOS LTDA,E. EITI N. SATO VIDEOS DE ANIMACAO,28.626.439/0001-43
5343,43535,33.629.829/0001-07,ALLAN SOUSA GONCALVES ME,ALLAN SOUSA GONCALVES,16.445.465/0001-96
5344,47882,32.370.115/0001-64,SENDA PRODUÇÕES AUDIOVISUAIS LTDA,ALBA REGINA DA SILVA AZEVEDO,16.853.265/0001-72
5345,50804,20.070.962/0001-24,PANGEAS PRODUÇÃO DE CONTEÚDO LTDA,VOLTAIRE BARBIERI VARGAS-ME,08.018.912/0001-00
5346,34430,22.971.231/0001-85,KLIPFX FILMS EIRELI,MULTIMEDIA DELUXE SOLUCOES EM TECNOLOGIA INTERATIVA LTDA - ME,08.537.504/0001-57
5347,1991,33.497.660/0001-89,EMPRESA CINEMAS SÃO LUIZ S/A,SR RIO DE JANEIRO CINEMAS S/A,08.262.566/0001-01
5348,20418,11.416.041/0001-80,ASSOCIAÇÃO DOS ARTISTAS AMIGOS DA PRAÇA,IVAM CABRAL PRODUCOES - ME,04.381.041/0001-26
5349,41991,31.694.954/0001-75,ARTEPLEX DISTRIBUIDORA LTDA,ESPAÇO DE CINEMA JUIZ DE FORA LTDA,02.715.607/0001-83
5350,29266,21.866.996/0001-92,TF INTERNATIONAL PRODUTORA DE FILMES LTDA,TOTAL ENTERTAINMENT LTDA,02.863.008/0001-07
5351,947,73.832.644/0001-10,TERRA BRASILIS PROMOCOES E MARKETING LTDA,TOTAL ENTERTAINMENT LTDA,02.863.008/0001-07
5352,31855,15.194.629/0001-97,PROMORIO PRODUCOES LTDA,GABRIELA P CEZAR PRODUÇÕES E CINEMA ME,32.302.209/0001-04
5353,44709,33.415.024/0001-60,AGROFILMES PRODUCAO AUDIOVISUAL EIRELI,BIKE.TV.BR CONTEUDO MULTIMIDIA LTDA,14.399.678/0001-01
5354,33976,25.199.914/0001-54,MUK DIGITAL LTDA,MUK PRODUÇÕES S/S LTDA. ME.,13.353.285/0001-96
5355,16834,68.397.421/0001-31,Y BRAZIL PRODUÇÃO DE SOM E IMAGEM LTDA,ALTERNETMUSIC PRODUCAO E GRAVACAO LTDA ­ EPP,03.441.018/0001-17
5356,35124,19.454.092/0001-08,CINEMINAS EXIBIDORA LTDA ME,CINEMANIACA EXIBIDORA DE FILMES CINEMATOGRÁFICOS LTDA-ME,03.818.831/0001-63
5357,6570,08.239.641/0001-05,CONTENT REALIZAÇÕES E PRODUÇÕES AUDIOVISUAIS LTDA,DOMO PRODUÇÕES LTDA,05.724.843/0001-54
5358,40351,23.558.535/0001-88,FLOW FILMES LTDA.,MARIA FARINHA FILMES E PRODUÇÕES LTDA.,12.396.390/0001-40
5359,25578,07.994.291/0001-20,STR ESTRUTURA PARA FILMES E EVENTOS,VINCI BRASIL COMUNICAÇÃO E MARKETING S/A,24.405.814/0001-74
5360,14763,10.405.774/0001-56,TEVELOGIA PRODUÇÕES ARTÍSTICAS LTDA. - ME,CAROLINE CAVALCANTI MARGONI PRODUÇÕES,09.330.357/0001-02
5361,47328,19.361.857/0001-65,CINESALA EXIBIÇÕES E EVENTOS LTDA,CINEMAS USINA LIBERDADE LTDA,42.898.015/0001-69
5362,4356,00.374.607/0001-31,ESTAÇÃO 3 IMAGENS E MÍDIAS LTDA,M3 VÍDEO PRODUÇÕES LTDA-ME,65.228.595/0001-82
5363,50613,19.865.085/0001-07,MULTIMÍDIA & BUSINESS EIRELI,LAERCIO FERNANDES DE MORAIS,32.318.573/0001-54
5364,32730,23.707.667/0001-24,PÉ NA ESTRADA FILMES LTDA,FM PRODUÇÕES LTDA,15.281.532/0001-11
5365,28636,18.151.953/0001-16,LUIS CARONE BLUMENFELD -ME,JONATHAN POST FILMES LTDA,14.173.808/0001-85
5366,63,67.431.718/0001-03,O2 PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA.,O2 FILMES CURTOS LTDA,68.474.774/0001-98
5367,21106,02.854.498/0001-85,CHATO LTDA,ZOEBRA FILMES LTDA,02.409.955/0001-22
5368,1842,31.622.483/0001-90,GUILHERME FONTES FILMES LTDA,ZOEBRA FILMES LTDA,02.409.955/0001-22
5369,2912,05.279.756/0001-35,MAXI CINEMATOGRÁFICA LTDA,CINEMATOGRÁFICA JARAGUÁ LTDA,04.766.792/0001-60
5370,34084,17.944.676/0001-36,MARCO MATHEUS CAMPAGNONE 34720877818,BENZIN PRODUTORA DE FILMES LTDA,31.274.390/0001-11
5371,47806,33.821.754/0001-61,KALUI PRODUÇÕES LTDA,MS MONDEGO,06.881.360/0001-26
5372,34885,15.051.411/0001-83,PREMIERSOFT SEGURANCA DIGITAL LTDA,KALDRA GAMES LTDA EPP,28.705.932/0001-59
