,REGISTRO_ANCINE,CNPJ_EMPRESA,RAZAO_SOCIAL,EMPRESA_ASSOCIADA,CNPJ_EMPRESA_ASSOCIADA
0,20929,13.305.585/0001-08,DE VILLE PRODUÇÕES AUDIOVISUAIS LTDA - EPP,FOCO PRODUÇÕES LTDA,02.803.873/0001-68
1,18055,07.938.916/0001-36,CINEMA VILLAGGIO LTDA,CINEARTE MORUMBI LTDA,05.774.116/0001-00
2,3758,06.953.374/0001-08,ESPAÇO CULTURAL DE CINEMA DE SALVADOR LTDA,CINEARTE MORUMBI LTDA,05.774.116/0001-00
3,28671,08.057.858/0001-02,CINTIA E TIAGO ABRAVANEL PRODUÇÕES ARTISTICAS LTDA - ME,TELEVISAO SOROCABA LTDA,53.653.945/0001-79
4,34069,24.863.454/0001-54,LA 9 PRODUTORA DE VÍDEO LTDA,OILHA AUDIOVISUAL STUDIO EIRELI - ME,95.134.573/0001-14
5,21730,03.846.120/0001-00,R5 PRODUTORA DE VÍDEO LTDA EPP,STUDIO PRODUTORA DE VIDEO LTDA,17.716.634/0001-48
6,27055,02.222.687/0001-35,JOSE LUIZ F. LAU - ME,ACENA AUDIOVISUAIS LTDA - ME,12.094.302/0001-55
7,4341,07.430.780/0001-59,ZAP RIO PRETO COMERCIO E VIDEO PRODUÇÕES LTDA - EPP,APZ COMERCIO DE VIDEO LTDA - EPP,12.799.310/0001-05
8,152,20.462.917/0001-15,EMVIDEO EMPRESA DE VIDEOCOMUNICAÇÃO LTDA.,EMVIDEO EVENTOS AUDIOVISUAIS LTDA,07.071.805/0001-75
9,23915,07.229.734/0001-96,TECHNO IMAGE COMUNICAÇÕES LTDA ME,RAFAEL GHENCEV ME,08.752.357/0001-38
10,47904,40.473.692/0001-00,SEIVA PRODUCAO DE FILMES LTDA,LADYBIRD PRODUCAO DE FILMES LTDA.,40.001.435/0001-75
11,50331,43.827.536/0001-98,CONCEITOS PRODUÇÕES LTDA,KATAGIRI PRODUÇÕES ARTÍSTICAS LTDA,28.858.626/0001-52
12,39447,14.711.039/0001-21,P7 FILMES LTDA,CHASING ELLIOTT FILMS LTDA.-ME,19.037.683/0001-80
13,2836,52.067.071/0001-05,EMPRESA SAO LUIZ DE CINEMAS LTDA,EMELI PARTICIPAÇÕES EIRELI,19.409.378/0001-71
14,22682,15.683.184/0001-09,ICE FILMES LTDA - ME,CÁPSULA CINEMATOGRÁFICA LTDA,04.705.264/0001-00
15,18207,13.039.876/0001-93,LOTUS PRODUTORA CINEMATOGRAFICA LTDA,BARTHMANN & BARTHMANN S/C LTDA,54.142.278/0001-22
16,292,16.487.027/0001-90,TRUQUE PRODUTORA DE CINEMA TV E VÍDEO LTDA,CASA DO RIO VERMELHO FINALIZADORA LTDA.,03.353.962/0001-12
17,46248,33.484.689/0001-26,NETOLAB ENTRETENIMENTO EIRELI,"PLAY 9 SERVICOS DE MIDIA, COMUNICACAO E PRODUCOES LTDA",34.502.145/0001-02
18,4267,04.995.093/0001-92,CBSP - CASABLANCA SERVICE PROVIDER LTDA,CASABLANCA EFEITOS CINEMATOGRÁFICOS LTDA,05.097.785/0001-86
19,184,04.731.133/0001-99,CASABLANCA EFFECTS LTDA.,CASABLANCA EFEITOS CINEMATOGRÁFICOS LTDA,05.097.785/0001-86
20,2266,04.890.196/0001-98,GRID DIGITAL PRODUÇÕES LTDA,W DIGITAL PRODUÇÕES LTDA,09.547.879/0001-60
21,25339,10.347.818/0001-39,MARCELO AUGUSTO NEGRI DE CARVALHO - EPP,MN AUDIOVISUAL EIRELI - ME,29.309.930/0001-03
22,50272,25.194.509/0001-43,GOLD MUSIC LTDA,GOLD 120 PRODUÇÕES E EVENTOS LTDA,07.025.989/0001-37
23,12148,01.649.307/0001-80,BOX COMPANHIA DE ARTE,FOCALIZE SERVIÇOS DE COMUNICAÇÃO VISUAL EIRELI - ME,21.672.740/0001-44
24,52234,15.573.844/0001-07,A CASA DA COMUNICAÇÃO LTDA,FOCALIZE SERVIÇOS DE COMUNICAÇÃO VISUAL EIRELI - ME,21.672.740/0001-44
25,23491,09.195.840/0001-21,INPUTSOM ARTE SONORA LTDA. - ME,MAFIA FILMES LTDA,17.753.196/0001-98
26,16897,11.571.077/0001-38,JOSUÉ´S CINE HOTEL FAZENDA SOBRADINHO LTDA-ME,JOSUÉ´S CINE SAMONTE LTDA.,13.067.326/0001-88
27,27156,10.499.608/0001-66,JL PRODUÇÕES DE VÍDEOS E FILMAGENS LTDA ME,GO PRODUÇÕES LTDA,37.040.638/0001-66
28,48289,41.245.372/0001-65,NARRATIVA FILMES EIRELI,SONHAR FILMES - EIRELI,21.839.500/0001-91
29,42770,03.006.470/0001-50,ASSOCIACAO DAS ENTIDADES USUARIAS DE CANAL COMUNITARIO NO DISTRITO FEDERAL - TV COMUNITARIA,ASSOCIAÇÃO BRASILEIRA DE CANAIS COMUNITÁRIOS,04.789.808/0001-50
30,37607,24.078.533/0001-54,RTV PRODUTORA LTDA EPP,R.L. DE ARRUDA FILHO - FILMES - ME,23.024.509/0001-70
31,49581,41.864.145/0001-18,CABANA STUDIO FOTOGRAFIA E CINEMATOGRAFIA LTDA,A DUPLA FOTOGRAFIA E CINEMATOGRAFIA LTDA - ME,10.429.582/0001-80
32,29638,07.970.513/0001-74,BELGRADO PRODUÇÕES CINEMATOGRÁFICAS LTDA.,BELGRADO VÍDEO PRODUÇÃO LTDA,32.846.188/0001-80
33,12384,06.092.590/0001-06,VEGA VÍDEO FILMES LTDA,VEGA FILMES LTDA,07.820.299/0001-70
34,52671,44.345.653/0001-88,FIDALGO PRODUCOES LTDA,FIDALGO PRODUÇÕES LTDA,01.420.297/0001-07
35,29227,13.675.070/0001-91,PAN FILMES PRODUCAO E DISTRIBUICAO LTDA,ALICE URANO FILMES CONSULTORIA PRODUÇÃO E DISTRIBUIÇÃO LTDA,04.510.201/0001-90
36,19963,14.173.808/0001-85,JONATHAN POST FILMES LTDA,LUIS CARONE BLUMENFELD -ME,18.151.953/0001-16
37,23920,11.762.230/0001-04,D4G COMUNICACAO E DESIGN LTDA,PROSPERIDADE COMUNICAÇÃO E FILMES LTDA,17.545.702/0001-53
38,5845,02.710.824/0001-80,ESCAMILLA LTDA - ME,CAOS PRODUÇÕES,04.882.236/0001-50
39,17210,10.924.794/0001-33,BALAIO PRODUCAO DE VIDEO LTDA ME,FELIPE CELSO BALISTA PRODUÇÃO DE VÍDEO - ME,21.244.468/0001-00
40,2819,33.032.145/0001-23,AUDIOSTORE COMUNICAÇÃO LTDA,ESTAÇÃO KIDS PRODUÇÕES INFANTIS LTDA ME,24.467.743/0001-34
41,12653,02.488.036/0001-91,VIDEO ONE TELECOMUNICAÇÃO LTDA,ESTAÇÃO KIDS PRODUÇÕES INFANTIS LTDA ME,24.467.743/0001-34
42,35876,15.184.293/0001-81,COMP PRODUTORA DE AUDIO E VIDEO LTDA,BOLT PRODUTORA CRIATIVA LTDA,13.766.442/0001-95
43,890,64.044.886/0001-58,FILMART PRODUÇÕES ARTISTICAS LTDA,SUPERTRUNFO - COMUNICACOES LTDA,01.916.445/0001-89
44,49731,04.448.996/0001-53,INTERVÊ SERVIÇOS LTDA,W. S. MUSIC LTDA,10.826.565/0001-86
45,37591,10.545.718/0001-17,DIG NOG PRODUÇÕES LTDA - EPP,MUSICKERIA ENTRETENIMENTO LTDA,16.098.086/0001-77
46,41941,32.243.334/0001-82,J G MELO JUNIOR,JOSE GRACILDO MELO JUNIOR 09627706710,14.252.772/0001-25
47,3580,01.848.189/0001-30,PONTO D COMUNICAÇÃO INTERATIVA LTDA,Z CREATIVE CONTENT SERVIÇOS DE AUDIOVISUAL LTDA,35.830.036/0001-87
48,21462,06.963.031/0001-24,MOOVE HOUSE IDEIAS CRIATIVAS E AUDIOVISUAIS LTDA - ME,KNAUTH GESTÃO DE NEGÓCIOS LTDA-ME,30.132.288/0001-19
49,30840,22.779.542/0001-47,ABAPORU NARRATIVAS VISUAIS LTDA,"CASH COW - PRODUCÕES, COMUNICAÇÃO E MARKETING LTDA",03.754.267/0001-62
50,44041,30.456.242/0001-55,CINE ELI SERGIPE CINEMAS LTDA,CINEMATOGRAFICA NORDESTE LTDA,21.599.452/0001-01
51,38508,23.522.087/0001-62,AGÊNCIA DE IDEIAS PRODUÇÕES CULTURAIS E EDITORIAIS LTDA - ME,AMORA FILMES B LTDA,17.293.533/0001-01
52,23713,02.939.844/0001-28,HD BIZ PRODUÇÕES AUDIOVISUAIS LTDA-ME,TAUS PRODUCOES AUDIOVISUAIS EIRELI,57.312.878/0001-80
53,1936,04.547.429/0001-54,QUARTETO FILMES PRODUCOES LTDA,QUARTETO FILMES SP LTDA,33.570.762/0001-82
54,40978,30.571.603/0001-04,MC BULLARA FILMES ME,SWEET SUIT FILMES,19.534.934/0001-31
55,43,73.619.637/0001-34,FILMES DO EQUADOR LTDA.,PRODUÇÕES CINEMATOGRÁFICAS LC BARRETO LTDA,33.450.990/0001-19
56,3136,03.608.600/0001-25,MSA EMPRESA CINEMATOGRÁFICA LTDA,CINEMAS ALVORADA DIVERSÕES LTDA,02.104.789/0001-56
57,4404,51.460.582/0001-20,EMPRESA CINEMATOGRÁFICA CAMPO GRANDE,CINEMAS ALVORADA DIVERSÕES LTDA,02.104.789/0001-56
58,22627,15.776.522/0001-57,BRASIL CHANNELS SERVIÇOS AUDIOVISUAIS LTDA.,TOPSPORTS VENTURES LTDA.,03.390.444/0001-79
59,5678,07.408.191/0001-74,DISCOVERY NETWORKS BRASIL AGENCIAMENTO E REPRESENTAÇÃO LTDA,TOPSPORTS VENTURES LTDA.,03.390.444/0001-79
60,47076,38.560.433/0001-74,"BALDE DE TINTA FILMES, PRODUCAO AUDIOVISUAL LTDA",MARCIO PICOLI 01738523004,29.437.956/0001-37
61,47830,38.410.834/0001-48,MOBI CINE GURUPI LTDA,LEMOS & SILVA LTDA - ME,15.659.276/0001-53
62,34841,00.977.351/0001-57,JONASCE LTDA.- ME,JOSUÉ´S CINE HOTEL FAZENDA SOBRADINHO LTDA-ME,11.571.077/0001-38
63,19845,13.067.326/0001-88,JOSUÉ´S CINE SAMONTE LTDA.,JOSUÉ´S CINE HOTEL FAZENDA SOBRADINHO LTDA-ME,11.571.077/0001-38
64,46087,36.187.298/0001-38,JOSUÉ´S CINE COMUNICAÇÃO CAPITÓLIO LTDA.,JOSUÉ´S CINE HOTEL FAZENDA SOBRADINHO LTDA-ME,11.571.077/0001-38
65,40946,31.291.787/0001-11,RODAMOINHO FILMES LTDA,RODAMOINHO RECORDS LTDA.,40.376.932/0001-58
66,14649,06.296.389/0001-40,MAIOMIDIA COMUNICACAO LTDA,LUZ MAGICA PRODUCOES AUDIOVISUAIS EIRELI,73.586.513/0001-08
67,21500,13.550.996/0001-50,PAMKA MOTION COMUNICAÇÃO INTEGRADA LTDA - ME,JOSÉ DE RIBAMAR SOARES,28.639.156/0001-36
68,33770,24.971.903/0001-88,TUBARÃO FILMES LTDA,FLORIPA FILMES LTDA,28.032.122/0001-89
69,2977,05.297.810/0001-75,JUBARTE FILMES LTDA-ME,FLORIPA FILMES LTDA,28.032.122/0001-89
70,47904,40.473.692/0001-00,SEIVA PRODUCAO DE FILMES LTDA,SERVICOS COMPARTILHADOS DE PRODUCAO DE FILMES LTDA,14.716.352/0001-52
71,48333,40.001.435/0001-75,LADYBIRD PRODUCAO DE FILMES LTDA.,SERVICOS COMPARTILHADOS DE PRODUCAO DE FILMES LTDA,14.716.352/0001-52
72,25423,06.113.891/0001-79,SCRIPT @ FILMES PRODUCOES ARTISTICAS S/S LTDA - ME,HANMAUM S. PRODUÇÕES DISTRIBUIÇÃO E DISTRIBUIÇÃO LTDA,32.378.170/0001-09
73,51,94.100.302/0001-85,ZEPPELIN PRODUÇÕES DE CINEMA E TELEVISÃO LTDA.,ZEPP FILMES LTDA,35.339.160/0001-44
74,42562,33.042.782/0001-80,SANTANA E ALMEIDA LTDA,CINE XTREME PAULO AFONSO LTDA,43.574.222/0001-20
75,5028,07.581.953/0001-30,BASE DIGITAL VÍDEO E COMUNICAÇÃO LTDA,ROBERTA MEYER MIRANDA DA VEIGA 81226780920,28.725.154/0001-60
76,4471,67.942.250/0001-11,MOONSHOT CREATIVE LAB PRODUÇÕES ARTÍSTICAS LTDA.,WRITE PRODUÇÕES ARTÍSTICAS LTDA,07.627.467/0001-05
77,38163,27.380.966/0001-58,CINE COMERCIAL PASSO FUNDO LTDA,CINEMA ARTEPLEX LTDA.,04.969.463/0001-17
78,1083,01.425.583/0001-65,CIRCUITO CINEARTE LTDA,CINEMA ARTEPLEX LTDA.,04.969.463/0001-17
79,49988,44.084.629/0001-32,CINEMATOGRÁFICA OURO BRANCO LTDA,CINEMATOGRÁFICA CATAGUASES LTDA EPP,21.257.121/0001-93
80,2068,31.089.162/0001-71,SALA PRODUÇÕES ARTÍSTICAS LTDA,SALA COMUNICAÇÃO LTDA-ME,04.937.510/0001-40
81,52870,39.314.110/0001-63,MPB RECORDS E PRODUÇÕES ARTÍSTICAS LTDA,2.2 PRODUÇÕES ARTÍSTICAS E ENTRETENIMENTO LTDA,38.409.721/0001-22
82,17686,11.698.605/0001-14,GAIA TRANSMIDIA LTDA,PULSAR PRODUCOES ARTISTICAS E CULTURAIS - EIRELI,56.839.830/0001-61
83,38205,20.877.608/0001-06,BABEL AZZA AGENCIA DE PUBLICIDADE LTDA,BABEL PUBLICIDADE LTDA,09.144.180/0001-50
84,20678,11.364.594/0001-36,JMS PRODUCOES LTDA - ME,JUR PRODUCOES LTDA - ME,17.482.363/0001-03
85,444,01.918.811/0001-39,FILME B COMUNICAÇÕES S.A,EDITORA FILME B LTDA,02.847.917/0001-51
86,2735,05.774.116/0001-00,CINEARTE MORUMBI LTDA,"MOSTRA DE CINEMA, CULTURA E EVENTOS LTDA",18.167.238/0001-71
87,27027,13.079.333/0001-08,ALUMIA PRODUÇÕES LTDA-ME,MUSIC2 PUBLICIDADE DIGITAL LTDA,16.595.954/0001-24
88,44837,35.441.232/0001-60,REDECINE SANTOS CINEMATOGRAFICA LTDA,REDECINE TOTAL CINEMATOGRÁFICA LTDA,06.034.577/0001-09
89,16758,07.424.485/0001-90,BLOOD CINEMATOGRAFICA ­ EIRELI ­ ME,CAPITANO ENTRETENIMENTO E PRODUCOES LTDA,41.856.050/0001-52
90,16638,11.003.648/0001-38,T T F TEIXEIRA DA SILVA PUBLICIDADE ME,HYPE PRODUTORA DE VIDEOS LTDA,24.092.238/0001-52
91,5654,07.665.262/0001-14,REDECINE-CPQ CINEMATOGRÁFICA LTDA,REDECINE LONDRINA CINEMATOGRAFICA LTDA,21.923.650/0001-89
92,31741,23.669.825/0001-07,REDECINE GRANJA VIANNA ADMINISTRADORA SPE LTDA,REDECINE LONDRINA CINEMATOGRAFICA LTDA,21.923.650/0001-89
93,35552,26.509.347/0001-58,CANOA PRODUÇÕES AUDIOVISUAIS LTDA. - EPP,GLM MARKETING SOLUÇÕES EMPRESARIAIS EIRELI,40.737.325/0001-76
94,37635,08.255.651/0001-34,SESSÃO PREMIERE MÍDIA E COMUNICAÇÃO LTDA.,GINGA COMUNICAÇÃO LTDA,06.196.111/0001-00
95,1803,50.814.201/0001-09,WGV PRODUÇÕES ARTÍSTICAS LTDA.,PAIEIROS PRODUCOES CULTURAIS UNIPESSOAL LTDA,45.597.282/0001-94
96,13680,07.533.507/0001-50,BE BOSSA NOVA CRIACOES E PRODUCOES S/A,BOSSA NOVA FILMS CRIACOES E PRODUCOES S/A,07.477.471/0001-34
97,14574,10.378.423/0001-01,RED TERRA STUDIOS LTDA,GENTE URBANA PRODUÇÕES CINEMATOGRÁFICAS LTDA,43.728.695/0001-35
98,46,34.012.898/0001-30,JODAF PRODUÇÕES CINEMATOGRÁFICAS LTDA,RADAR CINEMA E TELEVISÃO LTDA,02.947.857/0001-49
99,46727,36.609.260/0001-06,AZ MINA PRODUCAO DE FILMES LTDA,COLORBAR FILMES LTDA.,34.998.063/0001-09
100,15023,07.331.539/0001-72,LIDER - PRODUÇÕES E EVENTOS LTDA,MARLETE CELLA,11.758.978/0001-33
101,42877,32.909.201/0001-00,PAULO A. CARDOSO,UAU FILMES LTDA,01.354.178/0001-01
102,53,04.661.796/0001-84,GIROS PROJETOS AUDIOVISUAIS LTDA,GIROS HOLDING LTDA.,39.701.760/0001-61
103,14705,06.814.372/0001-38,ARTE PRODUÇÃO E ADMINISTRAÇÃO DE EMPREENDIMENTOS CULTURAIS LTDA,CASA JABUTICABA DE CINEMA E TEATRO LTDA,03.039.811/0001-94
104,23431,17.552.763/0001-48,ESFFERA FILMES PRODUÇÕES EIRELI ME,MENEGATTI PRODUÇÕES LTDA-ME,00.759.034/0001-64
105,13792,04.947.418/0001-61,BKS DUBLAGENS DO BRASIL LTDA,ANIMA NOVA MIDIA INTERMEDIAÇÃO DE NEGÓCIOS LTDA.,10.785.071/0001-09
106,42248,31.306.088/0001-06,TAKE UM PRODUÇÃO DE FILMES E EVENTOS LTDA,ESTRATÉGIA DA IMAGEM LTDA - ME,10.217.318/0001-82
107,22839,17.165.675/0001-93,ALÔ PRODUÇÃO LTDA,M2 COMUNICAÇÃO LTDA,04.196.528/0001-39
108,16491,09.640.643/0001-74,SALA 12 PRODUÇÕES ARTÍSTICAS LTDA,MARIANA B. YOUSSEF FILMES,08.203.768/0001-74
109,22774,13.871.039/0001-26,ROMANCE PRODUÇÕES ARTÍSTICAS LTDA,J&M PRODUÇÕES ARTISTICAS LTDA.,09.001.792/0001-93
110,26011,18.893.741/0001-04,RAIZ ESTUDIO COMUNICAÇÃO LTDA ME,DANIELLA LAGO LOPES PRODUÇÕES ME,10.624.399/0001-35
111,45983,36.505.159/0001-05,EUROCHANNEL BRASIL LICENCIAMENTOS E SERVICOS LTDA,PRIMOS E PRIMOS ADVOCACIA,03.688.753/0001-20
112,5031,95.805.784/0001-31,UMAISUM CINEVÍDEO LTDA,MARLON NASCIMENTO DE VARGAS ME,36.679.341/0001-82
113,48976,35.100.094/0001-55,MSB EMPREENDIMENTOS DIGITAIS LTDA,MUEVO STUDIO LTDA,45.133.781/0001-20
114,14964,09.032.503/0001-13,CASE PUBLICIDADE LTDA - EPP,CASE PRODUÇÃO E PROMOÇÃO CULTURAL EIRELI,19.704.357/0001-89
115,1874,05.832.663/0001-96,INTRO PICTURES PRODUÇÕES CINEMATOGRÁFICAS LTDA,INTRO PICTURES AUDIOVISUAL LTDA,42.642.939/0001-08
116,33038,15.071.118/0001-88,LENTE MULTIMIDIA LTDA,TICK PRODUÇÕES E MULTIMIDIA LTDA,09.611.475/0001-99
117,30680,13.040.127/0001-86,P.NETTO E MEDEIROS LTDA ME,JOÃO JOSE PISTUM NETTO,23.375.424/0001-36
118,51424,34.107.329/0001-78,GOLPE DE VISTA FILMES EIRELI,HANGAR FILMES LTDA - ME,22.357.342/0001-04
119,11793,05.032.937/0001-62,IMAGINA PRESTAÇÃO DE SERVIÇOS S/C LTDA-ME,HANGAR FILMES LTDA - ME,22.357.342/0001-04
120,50909,45.474.328/0001-88,ARTFILMS PRODUCAO AUDIO VISUAL LTDA,FILMART PRODUCAO AUDIO VISUAL EIRELI,21.488.286/0001-76
121,49408,35.159.769/0001-31,EBS TENORIO PRODUCOES EIRELI,TENORIO PRODUCOES E GESTAO CULTURAL LTDA - ME,17.691.378/0001-81
122,38508,23.522.087/0001-62,AGÊNCIA DE IDEIAS PRODUÇÕES CULTURAIS E EDITORIAIS LTDA - ME,"HOMEM AMARELO PRODUCOES ARTISTICAS, CULTURAIS, CINEMATOGRAFICAS E EDITORIAIS LTDA",12.131.701/0001-49
123,3781,04.024.941/0001-16,FBK COMUNICACAO DIGITAL LTDA,FABRIKA FILMES EIRELI ­ ME,07.805.432/0001-19
124,15543,10.552.344/0001-67,US ONE COMERCIO E SERVICOS DE CRIACAO E PRODUCAO DE OBRAS COM DIRETOS AUTORAIS LTDA.,CAMISA TREZE CULTURAL LTDA,05.387.293/0001-25
125,21148,13.737.984/0001-30,BLACKBIRD PRODUÇÕES FILMES E VIDEO LTDA.,STUDIO BLACK PRODUÇÕES ARTISTICAS E CINEMATOGRAFICAS EIRELI,32.968.726/0001-09
126,17628,08.913.231/0001-06,C.A.V. LEMOS,C A V LEMOS E CIA LTDA - ME,14.717.191/0001-11
127,17667,08.457.432/0001-38,INTERVALO PRODUTORA DE VIDEOS LTDA ME,TV BABITONGA LTDA,04.181.262/0001-50
128,50261,26.492.162/0001-88,M&L PRODUÇÕES ARTÍSTICAS LTDA,C & C PRODUCOES E SHOWS LTDA,08.907.300/0001-60
129,26780,19.858.064/0001-56,CINE FORUM,GÊMEOS DO CINEMA E CULTURA LTDA,14.597.365/0001-50
130,24117,17.543.833/0001-00,FAZ CINEMA FILMES LTDA ME,EUMEMO COMUNICAÇÃO LTDA - ME,13.987.065/0001-14
131,12264,01.847.282/0001-20,AFA CINEMATOGRÁFICA LTDA ME,CINEMATOGRÁFICA DIVINÓPOLIS EIRELI,08.451.580/0001-45
132,51424,34.107.329/0001-78,GOLPE DE VISTA FILMES EIRELI,IMAGINA PRESTAÇÃO DE SERVIÇOS S/C LTDA-ME,05.032.937/0001-62
133,14568,10.198.277/0001-24,THOMAS LARSON - ME,LALA PRODUÇÕES ARTÍSTICAS LTDA - ME,18.883.360/0001-44
134,46535,36.825.458/0001-27,SETUP PRODUCOES AUDIOVISUAIS LTDA,SETUP FILMES LTDA - ME,18.280.888/0001-29
135,32715,16.942.343/0001-05,ASSOCIACAO PRO-ESPORTE E CULTURAL LTDA,BARRACELL PRODUCOES ARTISTICAS LTDA,02.890.928/0001-14
136,51534,35.032.306/0001-04,U4HERO DESENVOLVIMENTO DE SOFTWARE LTDA,GARD ENTRETENIMENTO LTDA,43.187.340/0001-86
137,22049,12.515.906/0001-28,FILMES DE MINAS LTDA,CAUDA LONGA DISTRIBUIÇÃO E PRODUÇÃO LTDA,06.139.189/0001-84
138,12136,08.542.531/0001-18,OCA PRODUÇÕES GRÁFICAS E DESIGN LTDA.,OCA CONTENT PRODUÇÕES S.A.,17.205.861/0001-09
139,42163,13.546.570/0001-23,HEMERSON SALVADOR,SALVADOR AGENCIA DE PUBLICIDADE LTDA,05.804.377/0001-17
140,2921,04.766.792/0001-60,CINEMATOGRÁFICA JARAGUÁ LTDA,MAXI CINEMATOGRÁFICA LTDA,05.279.756/0001-35
141,12489,08.537.690/0001-24,VIA SUL CINEMATOGRÁFICA LTDA,CINEMATOGRÁFICA GUARAPARI LTDA,05.077.549/0001-06
142,47950,40.462.838/0001-11,UTLD PRODUCAO DE FIMES LTDA,CITIZENCRANE - PRODUCOES CINEMATOGRAFICAS LTDA - ME,03.675.713/0001-43
143,49790,41.866.980/0001-97,ESTRATECHGIA AUTOMACAO PRODUCAO E DISTRIBUICAO PUBLICITARIA LTDA,VL VATICANO COMERCIAL FOTO STUDIO LTDA,55.316.186/0001-84
144,18295,13.165.666/0001-41,BRADDOCK PRODUÇÃO CINEMATOGRÁFICA LTDA,STUDIO WILD LTDA - ME,07.382.205/0001-28
145,21986,14.126.079/0001-06,ASSOCIAÇÃO DE MÍDIAS AUDIOVISUAL E CINEMA DO AMAZONAS - AMACINE,J J R PINHEIRO PRODUTORA DE FILMES EIRELI,31.160.540/0001-66
146,5450,06.231.184/0001-87,BEL BERLINCK PRODUÇÕES CINEMATOGRÁFICAS LTDA,O2 CINEMA LTDA,02.525.725/0001-29
147,63,67.431.718/0001-03,O2 PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA.,O2 CINEMA LTDA,02.525.725/0001-29
148,17628,08.913.231/0001-06,C.A.V. LEMOS,MB EXIBICOES CINEMATOGRAFICAS GOIANESIA LTDA,33.296.719/0001-70
149,47830,38.410.834/0001-48,MOBI CINE GURUPI LTDA,MB EXIBICOES CINEMATOGRAFICAS GOIANESIA LTDA,33.296.719/0001-70
150,19465,03.569.447/0001-74,CINE LASER CINEMAS EIRELI,CINE LASER CINEMAS NORDESTE LTDA,34.860.287/0001-41
151,18301,10.773.590/0001-49,KRAÔ PRODUTORA E EVENTOS LTDA,QUATTRO PRODUCOES LTDA - ME,21.037.391/0001-99
152,40225,30.667.767/0001-30,NOLITA ENTRETENIMENTO E PRODUÇÕES LTDA,LONDRES PRODUÇÕES EIRELI ME,26.344.008/0001-69
153,41882,04.848.978/0001-69,AN PRODUÇÕES CULTURAIS,DAC AUDIOVISUAL LTDA,14.572.298/0001-19
154,23765,07.293.692/0001-52,MIOLO FRITOS PRODUCOES CINEMATOGRAFICAS LTDA,DB PRODUÇÃO AUDIOVISUAL LTDA,22.557.432/0001-30
155,13603,03.006.663/0001-01,RENATA DA SILVA OLIVEIRA EIRELI,"CONTEÚDO SERVIÇOS DE PRODUÇÃO PARA CINEMA, TV E INTERNET LTDA",29.973.882/0001-53
156,23971,07.421.725/0001-00,ACACA STUDIO LTDA. - ME,ACACA PETOPACA STUDIO LTDA,35.012.877/0001-87
157,30741,22.660.026/0001-07,EL RENO FITAS CINEMATOGRÁFICAS LTDA,SAMUEL DE O MAROTTA,14.374.851/0001-09
158,2379,04.533.831/0001-80,MOVIESYSTEM CINEMATOGRAFICA LTDA,REDECINE SANTOS CINEMATOGRAFICA LTDA,35.441.232/0001-60
159,24534,18.087.870/0001-05,REDECINE BSB CINEMATOGRÁFICA LTDA,REDECINE SANTOS CINEMATOGRAFICA LTDA,35.441.232/0001-60
160,52052,29.795.530/0001-55,FOGUEIRA FILMES EIRELI,CAMISA LISTRADA BH PRODUCOES AUDIOVISUAIS LTDA,04.102.780/0001-31
161,19524,07.085.758/0001-19,SSP PRODUÇÕES LTDA,INCENTIVAR FOMENTO DE PROJETOS LTDA,09.314.456/0001-09
162,21541,15.372.472/0001-42,H2O DISTRIBUIDORA DE FILMES LTDA,PLANET CINEMAS CARUARU LTDA,17.291.890/0001-30
163,12580,03.300.207/0001-70,FUNDAÇÃO CINEMA RS- FUNDACINE,PANDA FILMES LTDA,04.980.287/0001-14
164,28561,20.334.881/0001-94,C A VIEIRA LEMOS E CIA LTDA,LEMOS & MORAIS LTDA - ME,28.230.884/0001-90
165,42975,33.296.719/0001-70,MB EXIBICOES CINEMATOGRAFICAS GOIANESIA LTDA,LEMOS & MORAIS LTDA - ME,28.230.884/0001-90
166,264,02.660.748/0001-46,TIBET FILME LTDA,MEGACINE EDIÇÃO DE SOM MIXAGEM LTDA.,04.063.325/0001-74
167,38210,28.111.513/0001-99,ALFÂNDEGA FILMES PRODUÇÕES ARTÍSTICAS LTDA,INSTITUTO BRASILEIRO DE AUDIOVISUAL,02.605.336/0001-03
168,2364,31.611.189/0001-82,CINEMAS PARIS SEVERIANO RIBEIRO LTDA,UCI RIBEIRO LTDA,02.117.937/0001-77
169,256,33.110.420/0001-80,FOX FILM DO BRASIL LTDA,TFCF LATIN AMERICAN CHANNELS DO BRASIL LTDA,03.347.577/0001-62
170,45360,36.540.172/0001-03,FEVER FILMES PRODUÇÕES LTDA,DIGITAL MUSIC EDITORA & PRODUCOES LTDA - ME,14.837.945/0001-77
171,38340,29.038.051/0001-94,BLESSED PROGRAMADORA DE TV EIRELI EPP,C GOMES CARDOSO DISTRIBUIÇÃO CINEMATOGRAFICA,35.155.982/0001-75
172,23671,08.358.571/0001-04,MACEDO & MACEDO PRODUÇÃO LTDA - ME,BUTTERFLY FILMES LTDA,34.429.702/0001-07
173,30460,20.711.135/0001-72,DEEP BLUE FILMS LTDA ME,TRADE COMUNICACAO LTDA,25.210.560/0001-00
174,3952,77.689.032/0001-70,TELEVISAO NAIPI LTDA,SISTEMA MASSA DE TELEVISÃO LTDA,14.965.688/0001-59
175,52919,42.646.663/0001-28,FELLAS FILMS PRODUCAO DE FILMES LTDA,FELLAS FILMS LTDA,41.590.628/0001-71
