,CPB,TITULO_ORIGINAL,NUMERO_SALIC
87,B0400171000000  ,VIDA DE MENINA                                                                                      ,984008
88,B0500183300000  ,NO MEIO DA RUA                                                                                      ,993609
89,B0500186600000  ,XUXA E OS DUENDES                                                                                   ,11971
90,B0500209900000  ,ESTAMIRA                                                                                            ,30165
91,B0500210500000  ,"FIM DO SEM FIM, O                                                                                   ",11817
92,B0500216600000  ,MENSAGEIRAS DA LUZ - PARTEIRAS DA AMAZÔNIA                                                          ,23848
93,B0500220600000  ,MAIS UMA VEZ AMOR                                                                                   ,23770
94,B0500222600000  ,GAIJIN  AMA - ME COMO SOU                                                                           ,961527
95,B0500228000000  ,PATRULHA NICK 2004 - 2º SEMESTRE                                                                    ,40245
96,B0500238500000  ,QUANTO VALE OU É POR QUILO ?                                                                        ,11974
97,B0500239900000  ,RECIFE/ SEVILHA - JOÃO CABRAL DE MELO NETO                                                          ,993526
98,B0500242600000  ,MENINO MALUQUINHO 2 - A AVENTURA                                                                    ,961064
99,B0500247700000  ,QUASE NADA                                                                                          ,993647
100,B0500250700000  ,CASA DE AREIA                                                                                       ,30325
101,B0500251200000  ,BENS CONFISCADOS                                                                                    ,12008
102,B0500254900000  ,ANÉSIA - UM VÔO NO TEMPO                                                                            ,983545
103,B0500255100000  ,SEPARAÇÕES                                                                                          ,415
104,B0500255500000  ,"CINEMA, ASPIRINAS E URUBUS                                                                          ",440
105,B0500256500000  ,"TENTAÇÕES DO IRMÃO SEBASTIÃO, AS                                                                    ",983507
106,B0500260500000  ,ILHA DOS GOLFINHOS                                                                                  ,23984
107,B0500260600000  ,BRASIL OCEÂNICO                                                                                     ,11942
108,B0500260700000  ,ATOL DAS ROCAS                                                                                      ,11943
109,B0500261200000  ,AMORES                                                                                              ,983504
110,B0500262300000  ,"GRANDE NOITADA, A                                                                                   ",930096
111,B0500263900000  ,TIETA DO AGRESTE                                                                                    ,940323
112,B0500265000000  ,CIDADE BAIXA                                                                                        ,387
113,B0500265400000  ,VENENO DA MADRUGADA                                                                                 ,11969
114,B0500272900000  ,COMO SER SOLTEIRO NO RIO DE JANEIRO                                                                 ,951083
115,B0500276200000  ,HISTÓRIAS DO OLHAR                                                                                  ,970039
116,B0500277300000  ,LAVOURA ARCAICA                                                                                     ,973946
117,B0500277500000  ,COISA MAIS LINDA                                                                                    ,24144
118,B0500279500000  ,"BICHO DÁ. O BICHO TOMA, O                                                                           ",11890
119,B0500281700000  ,COISA DE MULHER                                                                                     ,40232
120,B0500282100000  ,DOUTORES DA ALEGRIA                                                                                 ,177
121,B0500286100000  ,DOIS CÓRREGOS                                                                                       ,961865
122,B0500286200000  ,AÇÃO ENTRE AMIGOS                                                                                   ,961499
123,B0500293200000  ,UMA VIDA EM SEGREDO                                                                                 ,971282
124,B0500293500000  ,SAMBA RIACHÃO                                                                                       ,30360
125,B0500293600000  ,VINICIUS DE MORAES                                                                                  ,13690
126,B0500294600000  ,DIÁRIO DE UM NOVO MUNDO                                                                             ,23990
127,B0500297900000  ,XUXA EM POPSTAR                                                                                     ,193
128,B0500298800000  ,JENIPAPO                                                                                            ,940449
129,B0500299800000  ,TARTARUGAS MARINHAS: SOBREVIVENTES EM EXTINÇÃO                                                      ,30307
130,B0500301000000  ,JANELA DA ALMA                                                                                      ,971513
131,B0500302600000  ,2 FILHOS DE FRANCISCO: A HISTÓRIA DE ZEZÉ DI CAMARGO E LUCIANO                                      ,30249
132,B0500303900000  ,TANCREDO NEVES - MENSAGEIRO DA LIBERDADE                                                            ,50032
133,B0500304300000  ,FÉ                                                                                                  ,962415
134,B0500307600000  ,TRAIÇÃO                                                                                             ,921012
135,B0500308800000  ,O PRÍNCIPE                                                                                          ,983506
136,B0500309600000  ,AMORES POSSÍVEIS                                                                                    ,973131
137,B0500309700000  ,"CASAMENTO DE LOUISE, O                                                                              ",961355
138,B0500309800000  ,BICHO DE SETE CABEÇAS                                                                               ,984908
139,B0500309900000  ,BELLINI E A ESFINGE                                                                                 ,972595
140,B0500311300000  ,"CINEASTA DA SELVA, O                                                                                ",950646
141,B0500311600000  ,ESTORVO                                                                                             ,960438
142,B0500312000000  ,CONDENADO A LIBERDADE                                                                               ,960673
143,B0500312100000  ,MINHA VIDA EM SUAS MÃOS                                                                             ,971704
144,B0500312600000  ,AMOR E CIA                                                                                          ,961562
145,B0500312900000  ,UMA ONDA NO AR                                                                                      ,993707
146,B0500313700000  ,CASTELO RA-TIM-BUM                                                                                  ,972953
147,B0500313900000  ,BUENA SORTE                                                                                         ,960424
148,B0500314000000  ,NETTO PERDE SUA ALMA                                                                                ,983544
149,B0500321300000  ,LUA DE OUTUBRO                                                                                      ,960278
150,B0500323500000  ,ACHADOS E PERDIDOS                                                                                  ,12070
151,B0500324300000  ,CRIME DELICADO                                                                                      ,30186
152,B0500334900000  ,SAL DE PRATA                                                                                        ,39002
153,B0500334900000  ,SAL DE PRATA                                                                                        ,24017
154,B0500336400000  ,"TRAPALHÃO E A LUZ AZUL, O                                                                           ",973153
155,B0500353400000  ,ESSES MOÇOS                                                                                         ,13667
156,B0500355400000  ,EU AMO MEU CORAÇÃO - FILME POR UM FIO                                                               ,231
157,B0500363900000  ,GÊMEAS                                                                                              ,983554
158,B0500364500000  ,LYGIA E MORTE                                                                                       ,950918
159,B0500364700000  ,MESTRE BIMBA - A CAPOEIRA ILUMINADA                                                                 ,24070
160,B0500365600000  ,MORRO DA CONCEIÇÃO                                                                                  ,30263
161,B0500370500000  ,"CORONEL E O LOBISOMEM, O                                                                            ",30313
162,B0500376500000  ,DOM HELDER CAMARA - O SANTO REBELDE                                                                 ,993730
163,B0500377400000  ,A MÁQUINA                                                                                           ,40075
164,B0500377900000  ,SURF ADVENTURES                                                                                     ,993333
