,CPB,TITULO_ORIGINAL,NUMERO_SALIC
672,B1201586000000  ,"E AÍ, COMEU?                                                                                        ",100493
673,B1201586300000  ,CARA OU COROA                                                                                       ,60003
674,B1201590700000  ,GRINGOS DO RIO (RIO SEX COMEDY)                                                                     ,70499
675,B1201590900000  ,CORPO PRESENTE                                                                                      ,79031
676,B1201591400000  ,MÚSICA.DOC - 1ª TEMPORADA                                                                           ,100580
677,B1201593600000  ,TOTALMENTE INOCENTES                                                                                ,100117
678,B1201596000000  ,O SEXO DOS ANJOS                                                                                    ,89025
679,B1201599600000  ,FORA DE CONTROLE                                                                                    ,110107
680,B1201600900000  ,TROPICALIA                                                                                          ,80119
681,B1201602700000  ,FDP                                                                                                 ,100113
682,B1201603300000  ,FORA DO FIGURINO                                                                                    ,993613
683,B1201604400000  ,MÉXICO 1968 - A ÚLTIMA OLIMPÍADA LIVRE                                                              ,110268
684,B1201604900000  ,AMÉRICA                                                                                             ,79049
685,B1201605000000  ,1981 - O ANO RUBRO NEGRO                                                                            ,100581
686,B1201605200000  ,"AO SOM DO MAR, À LUZ DO CÉU                                                                         ",100158
687,B1201605900000  ,À BEIRA DO CAMINHO                                                                                  ,90176
688,B1201614400000  ,A ÚLTIMA ESTAÇÃO                                                                                    ,50143
689,B1201616000000  ,ABDIAS NASCIMENTO                                                                                   ,70050
690,B1201616800000  ,MENOS QUE NADA                                                                                      ,80206
691,B1201617800000  ,MARGENS                                                                                             ,70143
692,B1201622100000  ,CORAÇÃO DO BRASIL                                                                                   ,110144
693,B1201622800000  ,MARIGHELLA                                                                                          ,90096
694,B1201623700000  ,BOCA                                                                                                ,50256
695,B1201623800000  ,AMAZÔNIA - A ÚLTIMA FRONTEIRA                                                                       ,100032
696,B1201626900000  ,O DIA QUE DUROU 21 ANOS                                                                             ,130454
697,B1201627800000  ,BRICHOS - A FLORESTA É NOSSA                                                                        ,70184
698,B1201628500000  ,O DIÁRIO DE TATI                                                                                    ,40106
699,B1201628900000  ,RITOS DE PASSAGEM                                                                                   ,90021
700,B1201629200000  ,AMAZÔNIA ETERNA                                                                                     ,100132
701,B1201630700000  ,CURITIBA ZERO GRAU                                                                                  ,90242
702,B1201636000000  ,O QUE SE MOVE                                                                                       ,100005
703,B1201639800000  ,TABU                                                                                                ,109059
704,B1201642000000  ,"ERA UMA VEZ EU, VERÔNICA                                                                            ",70338
705,B1201643000000  ,A HORA E A VEZ DE AUGUSTO MATRAGA                                                                   ,60305
706,B1201643500000  ,E A TERRA SE FEZ VERBO                                                                              ,60043
707,B1201645500000  ,AUGUSTAS                                                                                            ,60233
708,B1201646900000  ,FUTURO DO PRETÉRITO: TROPICALISMO NOW!                                                              ,60259
709,B1201647100000  ,GONZAGA - DE PAI PARA FILHO                                                                         ,80471
710,B1201652600000  ,DISPAROS                                                                                            ,90048
711,B1201656300000  ,PEIXONAUTA: AGENTE SECRETO DA O.S.T.R.A.                                                            ,50285
712,B1201657700000  ,ATÉ QUE A SORTE NOS SEPARE                                                                          ,100219
713,B1201659200000  ,CAOS                                                                                                ,110452
714,B1201659300000  ,TESTEMUNHA 4                                                                                        ,100417
715,B1201660900000  ,COLEGAS                                                                                             ,60322
716,B1201663400000  ,ELMIRO MIRANDA SHOW                                                                                 ,120131
717,B1201666600000  ,FAMÍLIA IMPERIAL                                                                                    ,100366
718,B1201666700000  ,A COLEÇÃO INVISÍVEL                                                                                 ,80236
719,B1201667100000  ,VIRANDO BICHO                                                                                       ,90354
720,B1201667300000  ,DESTINO SÃO PAULO                                                                                   ,110425
721,B1201667800000  ,XICO STOCKINGER                                                                                     ,80517
722,B1201670700000  ,"ASTRO, UMA FÁBULA URBANA EM UM RIO DE JANEIRO MÁGICO                                                ",110355
723,B1201671000000  ,CHAMADA A COBRAR                                                                                    ,90427
724,B1201672700000  ,A MATA ATLANTICA E OS CICLOS DA VIDA                                                                ,40325
725,B1201673600000  ,MARCELO YUKA NO CAMINHO DAS SETAS                                                                   ,80299
726,B1201676800000  ,DE PERNAS PRO AR 2                                                                                  ,110131
727,B1201679700000  ,SEM LIMITES                                                                                         ,90310
728,B1201681100000  ,OS PENETRAS                                                                                         ,100572
729,B1201682400000  ,ESPIA SÓ                                                                                            ,90267
730,B1201682600000  ,SOBRAL                                                                                              ,50065
731,B1201682700000  ,DORES DE AMORES                                                                                     ,100331
732,B1201686200000  ,SÃO PAULO COMPANHIA DE DANÇA                                                                        ,90119
733,B1201690700000  ,PORTINARI DO BRASIL                                                                                 ,100229
734,B1201696600000  ,MEUS DOIS AMORES                                                                                    ,90307
735,B1201696900000  ,FLORES RARAS                                                                                        ,80654
736,B1201698400000  ,SEGREDOS DA TRIBO                                                                                   ,50244
737,B1201698500000  ,O SOM AO REDOR                                                                                      ,80406
738,B1201704500000  ,CATÁSTROFES AÉREAS                                                                                  ,100588
739,B1201704900000  ,ELENA                                                                                               ,110270
740,B1201708200000  ,ÁGUIAS DA CIDADE                                                                                    ,110172
741,B1301712200000  ,TAINÁ - A ORIGEM                                                                                    ,40288
742,B1301732600000  ,AOS VENTOS QUE VIRÃO                                                                                ,30331
743,B1301733000000  ,VAI QUE DÁ CERTO                                                                                    ,90045
744,B1301738200000  ,A REDE CONDOR                                                                                       ,100589
745,B1301738800000  ,ANITA E GARIBALDI                                                                                   ,11995
746,B1301739100000  ,BONITINHA MAS ORDINÁRIA                                                                             ,60329
747,B1301740400000  ,PAULO MOURA - ALMA BRASILEIRA                                                                       ,80448
748,B1301740700000  ,HISTORIETAS ASSOMBRADAS (PARA CRIANÇAS MALCRIADAS)                                                  ,120031
749,B1301743100000  ,MEU PÉ DE LARANJA LIMA                                                                              ,40277
750,B1301751900000  ,A BUSCA                                                                                             ,90245
751,B1301754000000  ,SEMENTES DO NOSSO QUINTAL                                                                           ,90171
752,B1301755800000  ,FRANCISCO BRENNAND                                                                                  ,70032
753,B1301755900000  ,BRASIL DESAFIOS DE UM PAÍS QUE VOCÊ NÃO CONHECE                                                     ,100489
754,B1301756900000  ,ALICE                                                                                               ,50130
755,B1301756900000  ,ALICE                                                                                               ,70134
756,B1301757000000  ,ALICE ESPECIAL                                                                                      ,90432
757,B1301761800000  ,AMAZÔNIA DESCONHECIDA                                                                               ,80217
758,B1301763500000  ,ESTAÇÃO LIBERDADE                                                                                   ,60412
759,B1301769500000  ,VENDO OU ALUGO                                                                                      ,60240
760,B1301772600000  ,POR QUE VOCÊ PARTIU?                                                                                ,120090
761,B1301773400000  ,SOMOS TÃO JOVENS                                                                                    ,50255
762,B1301774500000  ,NA TRILHA DA ENERGIA                                                                                ,100416
763,B1301775900000  ,LIMITES HUMANOS                                                                                     ,100332
764,B1301781700000  ,ODEIO O DIA DOS NAMORADOS                                                                           ,80302
765,B1301783300000  ,FILME JARDIM ATLÂNTICO                                                                              ,80153
766,B1301783500000  ,MADEIREIROS                                                                                         ,202
767,B1301784200000  ,RAÇA                                                                                                ,90483
768,B1301795000000  ,GIOVANNI IMPROTTA                                                                                   ,90064
769,B1301797400000  ,REFERENDO                                                                                           ,80073
770,B1301798200000  ,INVASORES                                                                                           ,130368
771,B1301803100000  ,FAROESTE CABOCLO                                                                                    ,70055
772,B1301803700000  ,PRA LÁ DO MUNDO                                                                                     ,80010
773,B1301805700000  ,PERIPATÉTICO                                                                                        ,110279
774,B1301808000000  ,"SORRIA, VOCÊ ESTA NA BARRA.                                                                         ",70202
775,B1301808100000  ,MINHA MÃE É UMA PEÇA                                                                                ,110101
776,B1301812400000  ,OS AMARGOS                                                                                          ,110317
777,B1301815500000  ,"CALEUCHE, O CHAMADO DO MAR                                                                          ",80112
778,B1301823800000  ,ATUALIDADES SEGUNDA TEMPORADA                                                                       ,120449
779,B1301836900000  ,SERRA PELADA                                                                                        ,60299
780,B1301837200000  ,O CONCURSO                                                                                          ,110444
781,B1301841300000  ,BACK TRACK                                                                                          ,120184
782,B1301864200000  ,MINHOCAS                                                                                            ,60111
783,B1301868100000  ,SITIO DO PICAPAU AMARELO - SEGUNDA TEMPORADA                                                        ,120458
784,B1301869200000  ,A CASA ELÉTRICA                                                                                     ,50292
785,B1301874500000  ,ATÉ QUE A SBÓRNIA NOS SEPARE                                                                        ,40322
786,B1301877200000  ,A ALMA DA GENTE                                                                                     ,80425
787,B1301893900000  ,NA FÉ COM ARTHUR VERISSIMO                                                                          ,120371
788,B1301898100000  ,O INVENTOR DE SONHOS                                                                                ,60400
789,B1301899200000  ,HOMEM COMUM                                                                                         ,60089
790,B1301899900000  ,"BOA SORTE, MEU AMOR                                                                                 ",80125
791,B1301902100000  ,""" A PRIMEIRA MISSA""                                                                                 ",30147
792,B1301902700000  ,CONFIA EM MIM                                                                                       ,60232
793,B1301910300000  ,CASA DA MÃE JOANA 2                                                                                 ,100545
794,B1301910400000  ,A OESTE DO FIM DO MUNDO                                                                             ,90393
795,B1301910400000  ,A OESTE DO FIM DO MUNDO                                                                             ,119115
796,B1301916500000  ,QUASE SAMBA                                                                                         ,70419
797,B1301916600000  ,QUASE UM TANGO...                                                                                   ,50294
798,B1301917000000  ,SE PUDER...DIRIJA!                                                                                  ,100602
799,B1301926100000  ,O LOBO ATRÁS DA PORTA                                                                               ,100306
800,B1301930900000  ,O TEMPO E O VENTO                                                                                   ,100067
801,B1301931900000  ,BELEZA S/A                                                                                          ,120279
802,B1301933200000  ,+ FILMES                                                                                            ,50242
803,B1301934600000  ,BRASIL SOMOS NÓS                                                                                    ,99143
804,B1301935400000  ,ENTRE VALES                                                                                         ,80126
805,B1301935700000  ,AGORA SIM                                                                                           ,110532
806,B1301936500000  ,POR TRÁS DO VÉU                                                                                     ,50245
807,B1301938400000  ,JOGO DAS DECAPITAÇÕES                                                                               ,100210
808,B1301938500000  ,EM BUSCA DE IARA                                                                                    ,110074
809,B1301940000000  ,MATO SEM CACHORRO                                                                                   ,100565
810,B1301940300000  ,MEU PASSADO ME CONDENA O FILME                                                                      ,120366
811,B1301943500000  ,RIO CIGANO                                                                                          ,80445
812,B1301944600000  ,SOBRE RODAS AMÉRICA LATINA                                                                          ,120069
813,B1301945700000  ,"HABI, LA EXTRANJERA                                                                                 ",119110
814,B1301945900000  ,ÉDEN                                                                                                ,80342
815,B1301947600000  ,TATUAGEM                                                                                            ,80636
816,B1301956300000  ,HISTÓRIAS DE ALICE                                                                                  ,40127
817,B1301962700000  ,VIVER PARA CONTAR - 1ª TEMPORADA                                                                    ,80109
818,B1301963900000  ,SÃO SILVESTRE                                                                                       ,100200
819,B1301969000000  ,MULHERES OLÍMPICAS                                                                                  ,120295
820,B1301969600000  ,SERRA PELADA                                                                                        ,100030
821,B1301971700000  ,A SORTE EM SUAS MÃOS                                                                                ,110198
822,B1301971700000  ,A SORTE EM SUAS MÃOS                                                                                ,119113
823,B1301974300000  ,SE EU FOSSE VOCÊ: A SÉRIE - 1ª TEMPORADA                                                            ,120195
824,B1301974900000  ,RESGATE ANIMAL                                                                                      ,110005
825,B1301977600000  ,DESTINO RIO DE JANEIRO                                                                              ,120363
826,B1301981300000  ,VIVER PARA CONTAR - 2ª TEMPORADA                                                                    ,110402
827,B1301981400000  ,BRASIL 2050 - 1A. TEMPORADA                                                                         ,90397
828,B1301982200000  ,NÃO PERMITA DEUS QUE EU MORRA SEM QUE EU VOLTE PARA LÁ                                              ,90454
829,B1301982700000  ,AS NOVAS MISSÕES DO PEIXONAUTA                                                                      ,90370
830,B1301983400000  ,FLA X FLU                                                                                           ,120111
831,B1301984500000  ,CIDADE CINZA                                                                                        ,110073
832,B1301987400000  ,O FIM E OS MEIOS                                                                                    ,70286
833,B1301988500000  ,ELAS POR LUCIANA VENDRAMINI                                                                         ,120194
834,B1301989000000  ,O MENINO E O MUNDO                                                                                  ,80442
835,B1301990000000  ,CUICA DE SANTO AMARO                                                                                ,60327
836,B1301996600000  ,O GRANDE KILAPY                                                                                     ,90247
837,B1301998600000  ,EU MAIOR                                                                                            ,90349
838,B1301999100000  ,CONFISSÕES DE ADOLESCENTE - O FILME                                                                 ,100584
839,B1302000200000  ,CRÔ - O FILME                                                                                       ,130068
840,B1302001100000  ,DETETIVES DA HISTÓRIA 2ª TEMPORADA                                                                  ,100194
841,B1302013100000  ,"OSMAR, A PRIMEIRA FATIA DO PÃO DE FORMA - 1ª TEMPORADA                                              ",110228
842,B1302028100000  ,EXPEDIÇÕES BURLE MARX                                                                               ,110015
843,B1302031200000  ,RIO BREAKS                                                                                          ,70251
844,B1302031600000  ,QUANDO EU ERA VIVO                                                                                  ,110487
845,B1302033700000  ,OS POBRES DIABOS                                                                                    ,60114
846,B1302034400000  ,RIOCORRENTE                                                                                         ,110254
847,B1302035000000  ,ATÉ QUE A SORTE NOS SEPARE 2                                                                        ,130065
848,B1302041300000  ,ALMAS CANINAS                                                                                       ,120202
849,B1302041500000  ,OS ULTIMOS CANGACEIROS                                                                              ,80303
850,B1302046500000  ,50 GRANDES FILMES BRASILEIROS                                                                       ,130173
851,B1302047400000  ,A NAVE - UMA VIAGEM COM A JAZZ SINFÔNICA DE SÃO PAULO                                               ,99212
852,B1302050600000  ,MUITA CALMA NESSA HORA 2                                                                            ,139087
853,B1302050600000  ,MUITA CALMA NESSA HORA 2                                                                            ,129206
854,B1302050600000  ,MUITA CALMA NESSA HORA 2                                                                            ,149001
855,B1302052900000  ,O IMAGINÁRIO DE JURACI DOREA NO SERTÃO - VEREDAS                                                    ,120360
856,B1302053700000  ,INSÔNIA                                                                                             ,40301
857,B1302055400000  ,CORAÇÃO DE LEÃO                                                                                     ,129152
858,B1302059100000  ,PROCISSÃO DAS ALMAS                                                                                 ,40157
859,B1302060500000  ,OLHO NU                                                                                             ,80465
860,B1302060700000  ,DANDO UMA GERAL                                                                                     ,70108
861,B1402061900000  ,"ZUGZWANG - ""EX - ENERGIA VERDE AMARELA / O NOVO PARADIGMA ENERGÉTICO""                               ",70404
862,B1402062500000  ,CASA DE PEDRA                                                                                       ,40314
863,B1402062600000  ,BRICHOS - SÉRIE DE TV - PRIMEIRA TEMPORADA                                                          ,110344
864,B1402068500000  ,O SONHO ACORDOU                                                                                     ,70404
865,B1402070700000  ,TODOS OS BRASILEIROS NO MUNDO                                                                       ,120041
866,B1402071600000  ,ZICA E OS CAMALEÕES                                                                                 ,100439
867,B1402072200000  ,O AMOR E A MORTE                                                                                    ,130239
868,B1402073800000  ,"LINDA, UMA HISTÓRIA HORRÍVEL                                                                        ",118912
869,B1402078000000  ,PASSIONAIS                                                                                          ,130116
870,B1402080000000  ,RECÔNCAVO - A BAHIA DE DENTRO                                                                       ,12042
871,B1402080700000  ,AMAZÔNIA PLANETA VERDE                                                                              ,80643
872,B1402081900000  ,ALEMÃO                                                                                              ,130091
873,B1402085500000  ,A BOLA                                                                                              ,130123
874,B1402086100000  ,O UNIVERSO GRACILIANO                                                                               ,80253
875,B1402086200000  ,ENTRE NÓS                                                                                           ,110250
876,B1402086800000  ,DESERTO AZUL                                                                                        ,60283
877,B1402087200000  ,CRISTO REDENTOR                                                                                     ,40223
878,B1402087300000  ,HISTÓRIA DE PRIMEIRA MANO                                                                           ,40218
879,B1402089200000  ,12 DE JUNHO DE 1993 ¿ O DIA PAIXÃO PALMEIRENSE                                                      ,100550
880,B1402089400000  ,PASSARINHO LÁ DE NOVA IORQUE                                                                        ,30159
881,B1402089600000  ,APRENDI A JOGAR COM VOCÊ                                                                            ,30159
882,B1402090700000  ,PROMESSAS DO FUTEBOL                                                                                ,100529
883,B1402091700000  ,FANÁTICOS                                                                                           ,120335
884,B1402091800000  ,EXILADOS DO VULCÃO                                                                                  ,90019
885,B1402091900000  ,RETROVISOR                                                                                          ,130059
886,B1402092200000  ,TUBARÃO LIMÃO                                                                                       ,40326
887,B1402094700000  ,HOJE EU QUERO VOLTAR SOZINHO                                                                        ,100271
888,B1402106900000  ,S.O.S. MULHERES AO MAR                                                                              ,120277
889,B1402107400000  ,JOGO DE XADREZ                                                                                      ,60037
890,B1402111600000  ,ECOS DE UM FUTURO BRASIL                                                                            ,70162
891,B1402114000000  ,A COR DA CASA                                                                                       ,50231
892,B1402115000000  ,JULIO SUMIU                                                                                         ,100482
893,B1402115000000  ,JULIO SUMIU                                                                                         ,139141
894,B1402117800000  ,BERNARDES                                                                                           ,120175
895,B1402118500000  ,OZUALDO CANDEIAS E O CINEMA                                                                         ,80433
896,B1402122500000  ,PERISCÓPIO                                                                                          ,100428
897,B1402123800000  ,VISCERAL BRASIL - AS VEIAS ABERTAS DA MÚSICA                                                        ,110202
898,B1402125800000  ,A ESTRADA 47                                                                                        ,40006
899,B1402125900000  ,PLANO B                                                                                             ,130094
900,B1402126100000  ,MÃO NA LUVA                                                                                         ,70412
901,B1402126900000  ,A LINHA FRIA DO HORIZONTE                                                                           ,100348
902,B1402127100000  ,SELEÇÃO BRASILEIRA - PAIXÃO DE UM POVO                                                              ,130056
903,B1402130700000  ,EL ARDOR                                                                                            ,100506
904,B1402131000000  ,O CAMINHO DOS HERÓIS                                                                                ,90083
905,B1402131500000  ,ROMANCE POLICIAL                                                                                    ,90061
906,B1402131600000  ,CASA GRANDE                                                                                         ,80374
907,B1402133100000  ,SE DEUS VIER QUE VENHA ARMADO                                                                       ,90262
908,B1402137200000  ,OS HOMENS SÃO DE MARTE...E É PRÁ LÁ QUE EU VOU!                                                     ,120259
909,B1402143800000  ,LONGA METRAGEM                                                                                      ,120560
910,B1402144300000  ,PARE OLHE ESCUTE                                                                                    ,130203
911,B1402144500000  ,EDUCAÇÃO.DOC                                                                                        ,130185
912,B1402144900000  ,CATIVAS - PRESAS PELO CORAÇÃO                                                                       ,110166
913,B1402145600000  ,À QUEIMA ROUPA                                                                                      ,100241
914,B1402145700000  ,COPA DE ELITE                                                                                       ,110243
915,B1402146300000  ,PRAIA DO FUTURO                                                                                     ,80339
916,B1402146400000  ,HÉLIO OITICICA                                                                                      ,70421
917,B1402147100000  ,ÁGUIAS DA CIDADE - SEGUNDA TEMPORADA                                                                ,130139
918,B1402147900000  ,QUESTÃO DE FAMÍLIA                                                                                  ,130372
919,B1402148600000  ,CAUSA E EFEITO                                                                                      ,139123
920,B1402148800000  ,ALMANAQUE DOS ESPORTES                                                                              ,130029
921,B1402149200000  ,A GRANDE VITORIA                                                                                    ,120382
922,B1402149500000  ,100 ANOS DE SELEÇÃO BRASILEIRA                                                                      ,130431
923,B1402150700000  ,DO LADO DE FORA                                                                                     ,110229
924,B1402151100000  ,SETENTA                                                                                             ,120288
925,B1402153900000  ,QUE É QUE EU VOU FAZER DA MINHA VIDA                                                                ,110016
926,B1402156100000  ,VERMELHO BRASIL - FILME                                                                             ,100585
927,B1402156400000  ,OXIGÊNIO                                                                                            ,130465
928,B1402158000000  ,RESISTIR É PRECISO                                                                                  ,100578
929,B1402159100000  ,GETÚLIO                                                                                             ,70300
930,B1402161300000  ,VERMELHO BRASIL - SÉRIE                                                                             ,100585
931,B1402161500000  ,DOMINGUINHOS                                                                                        ,90125
932,B1402163900000  ,QUERO TER UM MILHÃO DE AMIGOS.                                                                      ,140031
933,B1402168400000  ,MAPA DO POP                                                                                         ,120198
934,B1402168700000  ,TIM LOPES - HISTÓRIAS DE ARCANJO                                                                    ,110256
935,B1402173200000  ,SEM PENA                                                                                            ,100354
936,B1402175100000  ,O MENINO NO ESPELHO                                                                                 ,80006
937,B1402176800000  ,VÁRZEA F.C.                                                                                         ,130456
938,B1402181500000  ,BR 14 - A ROTA DOS IMIGRANTES                                                                       ,130099
939,B1402182800000  ,SEPULTURA                                                                                           ,100119
940,B1402183000000  ,DEMOCRACIA EM PRETO E BRANCO                                                                        ,110330
941,B1402183500000  ,O SHOW DA LUNA!                                                                                     ,100459
942,B1402185500000  ,INVASORES                                                                                           ,130368
943,B1402185700000  ,GEMINI 8                                                                                            ,120478
944,B1402186500000  ,NÃO TÁ FÁCIL PARA NINGUÉM                                                                           ,130466
945,B1402189000000  ,DESTINO BRASIL DANÇA                                                                                ,120147
946,B1402189700000  ,TRIUNFO                                                                                             ,100305
947,B1402189800000  ,O CINEMA ANIMADO                                                                                    ,120044
948,B1402192100000  ,O CASAMENTO DE GORETE                                                                               ,90263
949,B1402192700000  ,OS AMIGOS                                                                                           ,100228
950,B1402193800000  ,UMA GÔNDOLA PARA NOVA VENEZA                                                                        ,120173
951,B1402197800000  ,O ÚLTIMO CINE DRIVE-IN                                                                              ,110495
952,B1402201100000  ,NÃO PARE NA PISTA: A MELHOR HISTÓRIA DE PAULO COELHO                                                ,120483
953,B1402201200000  ,MUITOS HOMENS NUM SÓ                                                                                ,60367
954,B1402202200000  ,SOBREVIVI AO HOLOCAUSTO                                                                             ,110018
955,B1402203900000  ,BRINCANTE                                                                                           ,90337
956,B1402204500000  ,HOJE É DIA DE MÚSICA                                                                                ,120114
957,B1402208400000  ,MARACANÃ - TEMPLO DAS EMOÇÕES                                                                       ,130263
958,B1402211000000  ,PATRULHA NICK 2005 - 2º SEMESTRE                                                                    ,50422
959,B1402211100000  ,PATRULHA NICK 2006 - 1º SEMESTRE                                                                    ,60151
960,B1402213800000  ,BOM DIA ARQUEOLOGIA                                                                                 ,90138
961,B1402214200000  ,O HOMEM DAS MULTIDÕES                                                                               ,80370
962,B1402215300000  ,TUDO POR AMOR AO CINEMA                                                                             ,80103
963,B1402227100000  ,CORTE SECO                                                                                          ,80515
964,B1402229600000  ,UM SONHO INTENSO                                                                                    ,80008
965,B1402230800000  ,FREEWAY                                                                                             ,120542
966,B1402231200000  ,MEU BOOK 3                                                                                          ,120077
967,B1402233800000  ,ISOLADOS                                                                                            ,120424
968,B1402235800000  ,O GIGANTESCO IMÃ                                                                                    ,90007
969,B1402236600000  ,MEU AMIGÃOZÃO - SEGUNDA TEMPORADA                                                                   ,110394
970,B1402236900000  ,O BONDINHO DO PÃO DE AÇUCAR 100 ANOS                                                                ,120316
971,B1402237200000  ,A VAGA                                                                                              ,130272
972,B1402237400000  ,SANGUE AZUL                                                                                         ,90377
973,B1402237600000  ,RONDON - O GRANDE CHEFE                                                                             ,40040
974,B1402239100000  ,PEQUENO ALMANAQUE DE PRENDAS E MIUDEZAS                                                             ,130338
975,B1402241100000  ,VESTIDO PRA CASAR                                                                                   ,120562
976,B1402243500000  ,LASCADOS                                                                                            ,130390
977,B1402244100000  ,CARLOS                                                                                              ,130256
978,B1402245600000  ,O SEGREDO DOS DIAMANTES                                                                             ,80513
979,B1402246100000  ,EXPERIMENTOS EXTRAORDINÁRIOS                                                                        ,130006
980,B1402246200000  ,LOWRIDER BRASIL                                                                                     ,130314
981,B1402246600000  ,ESTRANHOS                                                                                           ,50310
982,B1402246700000  ,CONSELHO TUTELAR                                                                                    ,130361
983,B1402250100000  ,O REI DE UMA NOTA SÓ E A BORBOLETA AZUL                                                             ,30347
984,B1402254000000  ,"MY NAME IS NOW, ELZA SOARES                                                                         ",90399
985,B1402255700000  ,GALAXIAS                                                                                            ,100146
986,B1402260400000  ,A MANSÃO MALUCA DO PROFESSOR AMBRÓSIO - TEMPORADA 2                                                 ,120536
987,B1402260600000  ,O CANDIDATO HONESTO                                                                                 ,130409
988,B1402261200000  ,MENINOS DA VILA - A MAGIA DO SANTOS                                                                 ,100541
989,B1402269500000  ,"RIO, EU TE AMO                                                                                      ",120547
990,B1402269800000  ,MEU AMIGO ENCOSTO                                                                                   ,130287
991,B1402271000000  ,OS CARAS DE PAU                                                                                     ,120559
992,B1402275800000  ,OS MAIAS (ALGUNS) EPISÓDIOS DA VIDA ROMÂNTICA                                                       ,139099
993,B1402278100000  ,SOS PÉ NA BUNDA                                                                                     ,140071
994,B1402278700000  ,ALUCINADAS                                                                                          ,17
995,B1402280500000  ,TIM MAIA                                                                                            ,110182
996,B1402280700000  ,MEUS DIAS DE ROCK                                                                                   ,110389
997,B1402281100000  ,ADVOGADOS CONTRA A DITADURA                                                                         ,120148
998,B1402282800000  ,A SEGUNDA VEZ                                                                                       ,130551
999,B1402284400000  ,DESCALÇO SOBRE A TERRA VERMELHA                                                                     ,110477
1000,B1402294200000  ,TRASH                                                                                               ,130321
1001,B1402296700000  ,YVONE KANE                                                                                          ,119153
1002,B1402297300000  ,PLÍNIO MARCOS NAS QUEBRADAS DO MUNDARÉU                                                             ,80447
1003,B1402299100000  ,IRMÃO DO JOREL- 1ª TEMPORADA                                                                        ,130199
1004,B1402300300000  ,GABY ESTRELLA - 2A TEMPORADA                                                                        ,140203
1005,B1402300400000  ,BOA SORTE                                                                                           ,120254
1006,B1402301100000  ,UM HOMEM SÓ                                                                                         ,90504
1007,B1402301300000  ,POR UM PUNHADO DE DÓLARES - OS NOVOS EMIGRADOS                                                      ,50123
1008,B1402301700000  ,OS HEROIS DO BRASIL                                                                                 ,130556
1009,B1402301900000  ,LILI A EX                                                                                           ,140150
1010,B1402307700000  ,A LUNETA DO TEMPO                                                                                   ,30174
1011,B1402329400000  ,ARTE.TV                                                                                             ,140113
1012,B1402332500000  ,TRINTA                                                                                              ,90075
1013,B1402368100000  ,"DUAS PÁTRIAS, DOIS AMORES                                                                           ",100617
1014,B1402372600000  ,A DESPEDIDA                                                                                         ,130128
1015,B1402378700000  ,INFÂNCIA                                                                                            ,120089
1016,B1402380600000  ,NA QUEBRADA                                                                                         ,130279
1017,B1402391300000  ,OS INIMIGOS DA DOR                                                                                  ,129102
1018,B1402406800000  ,IRMÃ DULCE                                                                                          ,120265
1019,B1402408400000  ,"OURO, SUOR E LÁGRIMAS                                                                               ",90403
1020,B1402431800000  ,VAN BORA!                                                                                           ,130117
