,CANAL,NR_IDENTIFICACAO,CLASSIFICACAO_CANAL,TIPO_CONTEUDO_CANAL,OFERTA_CLIENTE,DATA_INICIO_OFERTA,DENSIDADE_CANAL,NOME_PROGRAMADORA,CNPJ_PROGRAMADORA,CLASSIFICAO_PROGRAMADORA,PAIS_PROGRAMADORA
147,INVESTIGAÇÃO DISCOVERY HD,26039.30013,Canal de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2012-12-04,ALTA DEFINIÇÃO,"DISCOVERY NETWORKS, SL",00.000.000/0000-00,Programadora Estrangeira,ESPANHA
148,I-SAT SD,40403.30011,Canal de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2008-01-01,PADRÃO,"TURNER INTERNATIONAL LATIN AMERICA, INC",05.583.971/0001-25,Programadora Estrangeira,ESTADOS UNIDOS
149,JOVEM PAN NEWS,49723.30001,Canal de programação comum,Canal de conteúdo jornalístico,CANAL OFERTADO EM PACOTE,2021-10-27,ALTA DEFINIÇÃO,DIGITAL SEVEN PRODUTORA E DISTRIBUIDORA EIRELI,56.137.979/0001-07,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",BRASIL
150,LIFETIME,27060.30001,Canal de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2014-07-01,PADRÃO,"LIFETIME BRAZIL DISTRIBUTION, LLC.",00.000.000/0000-00,Programadora Estrangeira,ESTADOS UNIDOS
151,LIFETIME HD,27060.30002,Canal de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2016-11-06,ALTA DEFINIÇÃO,"LIFETIME BRAZIL DISTRIBUTION, LLC.",00.000.000/0000-00,Programadora Estrangeira,ESTADOS UNIDOS
152,LIVETV,52686.30001,Canal de programação comum,Canal de televenda ou infomercial,CANAL OFERTADO EM PACOTE,2023-03-15,PADRÃO,ZIGON COMUNICACOES LTDA,00.589.639/0001-54,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",BRASIL
153,MACAE TV,40335.30001,Canal de programação comum,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2018-03-01,ALTA DEFINIÇÃO,MACAÉ TV LTDA,14.185.374/0001-33,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",BRASIL
154,MARKKET,4744.30011,Canal de programação comum,Canal de televenda ou infomercial,CANAL OFERTADO EM PACOTE,2022-03-01,PADRÃO,PBI - PROGRAMADORA BRASILEIRA INDEPENDENTE S.A,07.254.174/0001-20,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",BRASIL
155,MARKKET HD,4744.30012,Canal de programação comum,Canal de televenda ou infomercial,CANAL OFERTADO EM PACOTE,2022-03-01,ALTA DEFINIÇÃO,PBI - PROGRAMADORA BRASILEIRA INDEPENDENTE S.A,07.254.174/0001-20,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",BRASIL
156,MAS CHIC,6211.30001,Canal não adaptado ao mercado brasileiro,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2005-08-01,PADRÃO,AMC NETWORKS LATIN AMERICA LLC,06.147.448/0001-19,Programadora Estrangeira,ESTADOS UNIDOS
157,MASTER,20925.30001,Canal de programação comum,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2001-07-04,PADRÃO,PREDICIT COMUNICAÇÕES LTDA-ME,03.187.306/0001-97,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",BRASIL
158,MEGAPIX,39.30012,Canal de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2008-07-01,PADRÃO,TELECINE PROGRAMACAO DE FILMES LTDA,00.252.848/0001-08,Programadora brasileira de capital estrangeiro,BRASIL
159,MEGAPIX HD,39.30013,Canal de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2010-08-01,ALTA DEFINIÇÃO,TELECINE PROGRAMACAO DE FILMES LTDA,00.252.848/0001-08,Programadora brasileira de capital estrangeiro,BRASIL
160,MODO VIAGEM,4727.30017,Canal brasileiro de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2020-01-01,PADRÃO,GLOBO COMUNICACAO E PARTICIPACOES S/A,27.865.757/0001-02,Programadora brasileira independente,BRASIL
161,MODO VIAGEM (HD),4727.30012,Canal brasileiro de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2020-01-01,ALTA DEFINIÇÃO,GLOBO COMUNICACAO E PARTICIPACOES S/A,27.865.757/0001-02,Programadora brasileira independente,BRASIL
162,MTV,6209.30009,Canal de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2013-10-01,PADRÃO,MTV NETWORKS LATIN AMERICA INC.,00.000.000/0000-00,Programadora Estrangeira,ESTADOS UNIDOS
163,MTV HD,6209.30011,Canal de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2013-10-01,ALTA DEFINIÇÃO,MTV NETWORKS LATIN AMERICA INC.,00.000.000/0000-00,Programadora Estrangeira,ESTADOS UNIDOS
164,MTV LIVE HD,6209.30016,Canal não adaptado ao mercado brasileiro,Canal de conteúdo videomusical,CANAL OFERTADO EM PACOTE,2018-07-15,ALTA DEFINIÇÃO,MTV NETWORKS LATIN AMERICA INC.,00.000.000/0000-00,Programadora Estrangeira,ESTADOS UNIDOS
165,MULTISHOW,4727.30119,Canal de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2020-01-01,PADRÃO,GLOBO COMUNICACAO E PARTICIPACOES S/A,27.865.757/0001-02,Programadora brasileira independente,BRASIL
166,MULTISHOW HD,4727.30021,Canal de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2020-01-01,ALTA DEFINIÇÃO,GLOBO COMUNICACAO E PARTICIPACOES S/A,27.865.757/0001-02,Programadora brasileira independente,BRASIL
167,MUSIC BOX BRAZIL,4744.30003,Canal brasileiro de espaço qualificado,Canal de conteúdo videomusical,CANAL OFERTADO EM PACOTE,2012-08-20,PADRÃO,PBI - PROGRAMADORA BRASILEIRA INDEPENDENTE S.A,07.254.174/0001-20,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",BRASIL
168,MUSIC BOX BRAZIL HD,4744.30004,Canal brasileiro de espaço qualificado,Canal de conteúdo videomusical,CANAL OFERTADO EM PACOTE,2012-09-15,ALTA DEFINIÇÃO,PBI - PROGRAMADORA BRASILEIRA INDEPENDENTE S.A,07.254.174/0001-20,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",BRASIL
169,NATIONAL GEOGRAPHIC,6276.30001,Canal de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2000-01-01,PADRÃO,TFCF LATIN AMERICAN CHANNEL LLC,00.000.000/0000-00,Programadora Estrangeira,ESTADOS UNIDOS
170,NATIONAL GEOGRAPHIC HD,6276.30017,Canal de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2014-06-02,ALTA DEFINIÇÃO,TFCF LATIN AMERICAN CHANNEL LLC,00.000.000/0000-00,Programadora Estrangeira,ESTADOS UNIDOS
171,NICK JR,6209.30003,Canal de espaço qualificado,Canal de conteúdo infantil e adolescente,CANAL OFERTADO EM PACOTE,2008-04-01,PADRÃO,MTV NETWORKS LATIN AMERICA INC.,00.000.000/0000-00,Programadora Estrangeira,ESTADOS UNIDOS
172,NICK JR HD,6209.30015,Canal de espaço qualificado,Canal de conteúdo infantil e adolescente,CANAL OFERTADO EM PACOTE,2017-06-01,ALTA DEFINIÇÃO,MTV NETWORKS LATIN AMERICA INC.,00.000.000/0000-00,Programadora Estrangeira,ESTADOS UNIDOS
173,NICKELODEON,6209.30001,Canal de espaço qualificado,Canal de conteúdo infantil e adolescente,CANAL OFERTADO EM PACOTE,1996-12-01,PADRÃO,MTV NETWORKS LATIN AMERICA INC.,00.000.000/0000-00,Programadora Estrangeira,ESTADOS UNIDOS
174,NICKELODEON HD,6209.30014,Canal de espaço qualificado,Canal de conteúdo infantil e adolescente,CANAL OFERTADO EM PACOTE,2015-07-17,ALTA DEFINIÇÃO,MTV NETWORKS LATIN AMERICA INC.,00.000.000/0000-00,Programadora Estrangeira,ESTADOS UNIDOS
175,NORDESTE FC 1 - HD,44181.30002,Canal de programação comum,Canal de conteúdo esportivo,CANAL À LA CARTE,2021-01-26,ALTA DEFINIÇÃO,LIVEMODE SERVICOS DIGITAIS S.A.,29.037.988/0001-45,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",BRASIL
176,NORDESTE FC 1 - SD,44181.30001,Canal de programação comum,Canal de conteúdo esportivo,CANAL À LA CARTE,2021-01-26,PADRÃO,LIVEMODE SERVICOS DIGITAIS S.A.,29.037.988/0001-45,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",BRASIL
177,NORDESTE FC 2 - HD,44181.30004,Canal de programação comum,Canal de conteúdo esportivo,CANAL À LA CARTE,2021-01-26,ALTA DEFINIÇÃO,LIVEMODE SERVICOS DIGITAIS S.A.,29.037.988/0001-45,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",BRASIL
178,NORDESTE FC 2 - SD,44181.30003,Canal de programação comum,Canal de conteúdo esportivo,CANAL À LA CARTE,2021-01-26,PADRÃO,LIVEMODE SERVICOS DIGITAIS S.A.,29.037.988/0001-45,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",BRASIL
179,NORDESTE FC 3 - HD,44181.30006,Canal de programação comum,Canal de conteúdo esportivo,CANAL À LA CARTE,2021-02-26,ALTA DEFINIÇÃO,LIVEMODE SERVICOS DIGITAIS S.A.,29.037.988/0001-45,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",BRASIL
180,NORDESTE FC 3 - SD,44181.30005,Canal de programação comum,Canal de conteúdo esportivo,CANAL À LA CARTE,2021-02-26,PADRÃO,LIVEMODE SERVICOS DIGITAIS S.A.,29.037.988/0001-45,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",BRASIL
181,NORDESTE FC 4 - HD,44181.30008,Canal de programação comum,Canal de conteúdo esportivo,CANAL À LA CARTE,2021-04-10,ALTA DEFINIÇÃO,LIVEMODE SERVICOS DIGITAIS S.A.,29.037.988/0001-45,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",BRASIL
182,NORDESTE FC 4 - SD,44181.30007,Canal de programação comum,Canal de conteúdo esportivo,CANAL À LA CARTE,2021-04-10,PADRÃO,LIVEMODE SERVICOS DIGITAIS S.A.,29.037.988/0001-45,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",BRASIL
183,NORDESTE FC 5 - HD,44181.3001,Canal de programação comum,Canal de conteúdo esportivo,CANAL À LA CARTE,2021-04-10,ALTA DEFINIÇÃO,LIVEMODE SERVICOS DIGITAIS S.A.,29.037.988/0001-45,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",BRASIL
184,NORDESTE FC 5 - SD,44181.30009,Canal de programação comum,Canal de conteúdo esportivo,CANAL À LA CARTE,2021-04-10,PADRÃO,LIVEMODE SERVICOS DIGITAIS S.A.,29.037.988/0001-45,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",BRASIL
185,NORDESTE FC 6 - HD,44181.30012,Canal de programação comum,Canal de conteúdo esportivo,CANAL À LA CARTE,2021-04-10,ALTA DEFINIÇÃO,LIVEMODE SERVICOS DIGITAIS S.A.,29.037.988/0001-45,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",BRASIL
186,NORDESTE FC 6 - SD,44181.30011,Canal de programação comum,Canal de conteúdo esportivo,CANAL À LA CARTE,2021-04-10,PADRÃO,LIVEMODE SERVICOS DIGITAIS S.A.,29.037.988/0001-45,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",BRASIL
187,NORDESTE FC 7 - HD,44181.30014,Canal de programação comum,Canal de conteúdo esportivo,CANAL À LA CARTE,2021-04-10,ALTA DEFINIÇÃO,LIVEMODE SERVICOS DIGITAIS S.A.,29.037.988/0001-45,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",BRASIL
188,NORDESTE FC 7 - SD,44181.30013,Canal de programação comum,Canal de conteúdo esportivo,CANAL À LA CARTE,2021-04-10,PADRÃO,LIVEMODE SERVICOS DIGITAIS S.A.,29.037.988/0001-45,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",BRASIL
189,NOSSA TV HD,42149.30002,Canal de programação comum,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2019-05-07,ALTA DEFINIÇÃO,COMUNICACAO MOSSOROENSE LTDA,08.626.106/0001-07,Sem Informação,BRASIL
190,NOSSA TV SD,42149.30001,Canal de programação comum,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2019-05-07,PADRÃO,COMUNICACAO MOSSOROENSE LTDA,08.626.106/0001-07,Sem Informação,BRASIL
191,NOSSO FUTEBOL HD,52458.30001,Canal de programação comum,Canal de conteúdo esportivo,"CANAL OFERTADO EM PACOTE, CANAL À LA CARTE, PAY-PER-VIEW",2023-05-19,ALTA DEFINIÇÃO,TRINTA CONSULTORIA EM ESPORTES LTDA,41.817.089/0001-60,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",BRASIL
192,NOSSO FUTEBOL SD,52458.30002,Canal de programação comum,Canal de conteúdo esportivo,"CANAL OFERTADO EM PACOTE, CANAL À LA CARTE, PAY-PER-VIEW",2023-05-19,PADRÃO,TRINTA CONSULTORIA EM ESPORTES LTDA,41.817.089/0001-60,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",BRASIL
193,NOVA TV,31188.30001,Canal de programação comum,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2016-08-31,ALTA DEFINIÇÃO,NOVIDADE TV LTDA ME,13.321.125/0001-65,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",BRASIL
194,O CANAL DO CARRO,24874.30001,Canal de programação comum,Canal de televenda ou infomercial,CANAL OFERTADO EM PACOTE,2012-12-01,PADRÃO,SUPER CDMD COMÉRCIO DE VEÍCULOS AUTOMOTORES LTDA,07.950.180/0001-11,Sem Informação,BRASIL
195,OFF,4727.30121,Canal brasileiro de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2020-01-01,ALTA DEFINIÇÃO,GLOBO COMUNICACAO E PARTICIPACOES S/A,27.865.757/0001-02,Programadora brasileira independente,BRASIL
196,OFF (EM SD),4727.30015,Canal brasileiro de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2020-01-01,PADRÃO,GLOBO COMUNICACAO E PARTICIPACOES S/A,27.865.757/0001-02,Programadora brasileira independente,BRASIL
197,OLATV,36945.30001,Canal de programação comum,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2017-11-01,PADRÃO,CARLOS ALBERTO FREITAS MORENO DAS NEVES,13.934.762/0001-07,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",BRASIL
198,ÓTV,21946.30001,Canal de programação comum,Canal de conteúdo em geral,"CANAL OFERTADO EM PACOTE, CANAL À LA CARTE",2011-04-19,PADRÃO,RPC MIDIA LTDA,09.517.512/0001-02,Programadora brasileira independente,BRASIL
199,PARAMOUNT NETWORKS,6209.30012,Canal de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2014-11-14,PADRÃO,MTV NETWORKS LATIN AMERICA INC.,00.000.000/0000-00,Programadora Estrangeira,ESTADOS UNIDOS
200,PARAMOUNT NETWORKS HD,6209.30013,Canal de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2014-11-14,ALTA DEFINIÇÃO,MTV NETWORKS LATIN AMERICA INC.,00.000.000/0000-00,Programadora Estrangeira,ESTADOS UNIDOS
201,PLAYBOY HD,13263.30007,Canal de programação comum,Canal de conteúdo erótico,"CANAL À LA CARTE, PAY-PER-VIEW",2017-04-28,ALTA DEFINIÇÃO,PB BRASIL ENTRETENIMENTO S/A,08.844.841/0001-97,Programadora brasileira de capital estrangeiro,BRASIL
202,PLAYBOY TV,13263.30003,Canal de programação comum,Canal de conteúdo erótico,"CANAL À LA CARTE, PAY-PER-VIEW",2007-07-04,PADRÃO,PB BRASIL ENTRETENIMENTO S/A,08.844.841/0001-97,Programadora brasileira de capital estrangeiro,BRASIL
203,PLAYTV,4931.30001,Canal brasileiro de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2008-10-21,PADRÃO,PLAYTV TELEVISÃO LTDA,07.121.705/0001-06,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",BRASIL
204,PLAYTV HD,4931.30002,Canal brasileiro de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2023-06-20,ALTA DEFINIÇÃO,PLAYTV TELEVISÃO LTDA,07.121.705/0001-06,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",BRASIL
205,POLISHOPTV 1,3190.30004,Canal de programação comum,Canal de televenda ou infomercial,CANAL OFERTADO EM PACOTE,2021-08-01,PADRÃO,POLIMPORT - COMERCIO E EXPORTACAO LTDA,00.436.042/0047-52,Sem Informação,BRASIL
206,POLISHOPTV 2,3190.30001,Canal de programação comum,Canal de televenda ou infomercial,CANAL OFERTADO EM PACOTE,2008-05-30,PADRÃO,POLIMPORT - COMERCIO E EXPORTACAO LTDA,00.436.042/0047-52,Sem Informação,BRASIL
207,PREMIERE CLUBES,4727.30011,Canal de programação comum,Canal de conteúdo esportivo,"CANAL OFERTADO EM PACOTE, CANAL À LA CARTE, PAY-PER-VIEW",2020-01-01,PADRÃO,GLOBO COMUNICACAO E PARTICIPACOES S/A,27.865.757/0001-02,Programadora brasileira independente,BRASIL
208,PREMIERE CLUBES HD,4727.30013,Canal de programação comum,Canal de conteúdo esportivo,"CANAL OFERTADO EM PACOTE, CANAL À LA CARTE, PAY-PER-VIEW",2020-01-01,ALTA DEFINIÇÃO,GLOBO COMUNICACAO E PARTICIPACOES S/A,27.865.757/0001-02,Programadora brasileira independente,BRASIL
209,PREMIERE 10,4727.30116,Canal de programação comum,Canal de conteúdo esportivo,"CANAL OFERTADO EM PACOTE, CANAL À LA CARTE, PAY-PER-VIEW",2020-01-01,PADRÃO,GLOBO COMUNICACAO E PARTICIPACOES S/A,27.865.757/0001-02,Programadora brasileira independente,BRASIL
210,PREMIERE 11,4727.30117,Canal de programação comum,Canal de conteúdo esportivo,"CANAL OFERTADO EM PACOTE, CANAL À LA CARTE, PAY-PER-VIEW",2020-01-01,PADRÃO,GLOBO COMUNICACAO E PARTICIPACOES S/A,27.865.757/0001-02,Programadora brasileira independente,BRASIL
211,PREMIERE 12,4727.30118,Canal de programação comum,Canal de conteúdo esportivo,"CANAL OFERTADO EM PACOTE, CANAL À LA CARTE, PAY-PER-VIEW",2020-01-01,PADRÃO,GLOBO COMUNICACAO E PARTICIPACOES S/A,27.865.757/0001-02,Programadora brasileira independente,BRASIL
212,PREMIERE 2,4727.30101,Canal de programação comum,Canal de conteúdo esportivo,"CANAL OFERTADO EM PACOTE, CANAL À LA CARTE, PAY-PER-VIEW",2020-01-01,PADRÃO,GLOBO COMUNICACAO E PARTICIPACOES S/A,27.865.757/0001-02,Programadora brasileira independente,BRASIL
213,PREMIERE 2 HD,4727.30102,Canal de programação comum,Canal de conteúdo esportivo,"CANAL OFERTADO EM PACOTE, CANAL À LA CARTE, PAY-PER-VIEW",2020-01-01,ALTA DEFINIÇÃO,GLOBO COMUNICACAO E PARTICIPACOES S/A,27.865.757/0001-02,Programadora brasileira independente,BRASIL
214,PREMIERE 3,4727.30103,Canal de programação comum,Canal de conteúdo esportivo,"CANAL OFERTADO EM PACOTE, CANAL À LA CARTE, PAY-PER-VIEW",2020-01-01,PADRÃO,GLOBO COMUNICACAO E PARTICIPACOES S/A,27.865.757/0001-02,Programadora brasileira independente,BRASIL
215,PREMIERE 3 HD,4727.30104,Canal de programação comum,Canal de conteúdo esportivo,"CANAL OFERTADO EM PACOTE, CANAL À LA CARTE, PAY-PER-VIEW",2020-01-01,ALTA DEFINIÇÃO,GLOBO COMUNICACAO E PARTICIPACOES S/A,27.865.757/0001-02,Programadora brasileira independente,BRASIL
216,PREMIERE 4,4727.30105,Canal de programação comum,Canal de conteúdo esportivo,"CANAL OFERTADO EM PACOTE, CANAL À LA CARTE, PAY-PER-VIEW",2020-01-01,PADRÃO,GLOBO COMUNICACAO E PARTICIPACOES S/A,27.865.757/0001-02,Programadora brasileira independente,BRASIL
217,PREMIERE 4 HD,4727.30106,Canal de programação comum,Canal de conteúdo esportivo,"CANAL OFERTADO EM PACOTE, CANAL À LA CARTE, PAY-PER-VIEW",2020-01-01,ALTA DEFINIÇÃO,GLOBO COMUNICACAO E PARTICIPACOES S/A,27.865.757/0001-02,Programadora brasileira independente,BRASIL
218,PREMIERE 5,4727.30107,Canal de programação comum,Canal de conteúdo esportivo,"CANAL OFERTADO EM PACOTE, CANAL À LA CARTE, PAY-PER-VIEW",2020-01-01,PADRÃO,GLOBO COMUNICACAO E PARTICIPACOES S/A,27.865.757/0001-02,Programadora brasileira independente,BRASIL
219,PREMIERE 5 HD,4727.30108,Canal de programação comum,Canal de conteúdo esportivo,"CANAL OFERTADO EM PACOTE, CANAL À LA CARTE, PAY-PER-VIEW",2020-01-01,ALTA DEFINIÇÃO,GLOBO COMUNICACAO E PARTICIPACOES S/A,27.865.757/0001-02,Programadora brasileira independente,BRASIL
220,PREMIERE 6,4727.30109,Canal de programação comum,Canal de conteúdo esportivo,"CANAL OFERTADO EM PACOTE, CANAL À LA CARTE, PAY-PER-VIEW",2020-01-01,PADRÃO,GLOBO COMUNICACAO E PARTICIPACOES S/A,27.865.757/0001-02,Programadora brasileira independente,BRASIL
221,PREMIERE 6 HD,4727.3011,Canal de programação comum,Canal de conteúdo esportivo,"CANAL OFERTADO EM PACOTE, CANAL À LA CARTE, PAY-PER-VIEW",2020-01-01,ALTA DEFINIÇÃO,GLOBO COMUNICACAO E PARTICIPACOES S/A,27.865.757/0001-02,Programadora brasileira independente,BRASIL
222,PREMIERE 7,4727.30111,Canal de programação comum,Canal de conteúdo esportivo,"CANAL OFERTADO EM PACOTE, CANAL À LA CARTE, PAY-PER-VIEW",2020-01-01,PADRÃO,GLOBO COMUNICACAO E PARTICIPACOES S/A,27.865.757/0001-02,Programadora brasileira independente,BRASIL
223,PREMIERE 7 HD,4727.30112,Canal de programação comum,Canal de conteúdo esportivo,"CANAL OFERTADO EM PACOTE, CANAL À LA CARTE, PAY-PER-VIEW",2020-01-01,ALTA DEFINIÇÃO,GLOBO COMUNICACAO E PARTICIPACOES S/A,27.865.757/0001-02,Programadora brasileira independente,BRASIL
224,PREMIERE 8,4727.30113,Canal de programação comum,Canal de conteúdo esportivo,"CANAL OFERTADO EM PACOTE, CANAL À LA CARTE, PAY-PER-VIEW",2020-01-01,PADRÃO,GLOBO COMUNICACAO E PARTICIPACOES S/A,27.865.757/0001-02,Programadora brasileira independente,BRASIL
225,PREMIERE 8 HD,4727.30114,Canal de programação comum,Canal de conteúdo esportivo,"CANAL OFERTADO EM PACOTE, CANAL À LA CARTE, PAY-PER-VIEW",2020-01-01,ALTA DEFINIÇÃO,GLOBO COMUNICACAO E PARTICIPACOES S/A,27.865.757/0001-02,Programadora brasileira independente,BRASIL
226,PREMIERE 9,4727.30115,Canal de programação comum,Canal de conteúdo esportivo,"CANAL OFERTADO EM PACOTE, CANAL À LA CARTE, PAY-PER-VIEW",2020-01-01,PADRÃO,GLOBO COMUNICACAO E PARTICIPACOES S/A,27.865.757/0001-02,Programadora brasileira independente,BRASIL
227,PRIME BOX BRAZIL,4744.30001,"Canal brasileiro de espaço qualificado nos termos do art. 17, §5º da lei 12.485/2011",Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2011-09-05,PADRÃO,PBI - PROGRAMADORA BRASILEIRA INDEPENDENTE S.A,07.254.174/0001-20,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",BRASIL
228,PRIME BOX BRAZIL HD,4744.30002,"Canal brasileiro de espaço qualificado nos termos do art. 17, §5º da lei 12.485/2011",Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2011-09-05,ALTA DEFINIÇÃO,PBI - PROGRAMADORA BRASILEIRA INDEPENDENTE S.A,07.254.174/0001-20,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",BRASIL
229,RAIO TV,47469.30001,Canal de programação comum,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2020-12-20,ALTA DEFINIÇÃO,RAIO SISTEMA DE RADIODIFUSAO EIRELI,25.465.239/0001-68,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",BRASIL
230,RDC TV - REDE DIGITAL DE COMUNICAÇÃO,42572.30001,Canal de programação comum,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2018-07-02,PADRÃO,RDCTV REDE DIGITAL DE COMUNICAÇÃO LTDA,30.455.192/0001-91,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",BRASIL
231,REAL TV HD,47057.30003,Canal de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2023-08-01,ALTA DEFINIÇÃO,STENNA INTERNATIONAL LLC,00.000.000/0000-00,Programadora Estrangeira,ESTADOS UNIDOS
232,REDE SUPER DE TELEVISÃO,30280.30001,Canal de programação comum,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2000-01-17,PADRÃO,CANAL 23 LTDA,03.602.062/0001-61,Sem Informação,BRASIL
233,REDE VERBO TV,49414.30001,Canal de programação comum,Canal de conteúdo religioso,CANAL OFERTADO EM PACOTE,2021-11-15,PADRÃO,REDE VERBO TV LTDA,42.920.854/0001-36,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",BRASIL
234,REGIONAL TV,40400.30001,Canal de programação comum,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2019-04-18,ALTA DEFINIÇÃO,REGIONAL TV LTDA,30.778.571/0001-12,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",BRASIL
235,RSTV,14526.30001,Canal de programação comum,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2006-05-05,PADRÃO,VALE EUROPEU TV LTDA,08.057.453/0001-66,Programadora brasileira independente,BRASIL
236,SABOR & ARTE,42455.30002,Canal de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2021-06-15,ALTA DEFINIÇÃO,ASTARTE PRODUTORA LTDA.,26.674.863/0001-38,Programadora brasileira independente,BRASIL
237,SERTÃO TV,43509.30001,Canal de programação comum,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2020-01-31,PADRÃO,SÉRGIO EDUARDO HOLANDA MACHADO ME,00.352.638/0001-91,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",BRASIL
238,SESCTV,2295.30001,Canal de programação comum,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2006-05-02,PADRÃO,SERVICO SOCIAL DO COMERCIO - SESC - ADMINISTRACAO REGIONAL NO ESTADO DE SAO PAULO,03.667.884/0001-20,Sem Informação,BRASIL
239,SEXPRIVÊ,3293.30009,Canal de programação comum,Canal de conteúdo erótico,CANAL OFERTADO EM PACOTE,2009-03-01,PADRÃO,NEWCO PROGRAMADORA E PRODUTORA DE COMUNICACAO LTDA.,04.334.366/0001-58,Programadora brasileira,BRASIL
