,CANAL,NR_IDENTIFICACAO,CLASSIFICACAO_CANAL,TIPO_CONTEUDO_CANAL,OFERTA_CLIENTE,DATA_INICIO_OFERTA,DENSIDADE_CANAL,NOME_PROGRAMADORA,CNPJ_PROGRAMADORA,CLASSIFICAO_PROGRAMADORA,PAIS_PROGRAMADORA
77,DISCOVERY HOME AND HEALTH,26039.30005,Canal de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2000-07-10,PADRÃO,"DISCOVERY NETWORKS, SL",00.000.000/0000-00,Programadora Estrangeira,ESPANHA
78,DISCOVERY HOME AND HEALTH HD,26039.30012,Canal de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2012-12-04,ALTA DEFINIÇÃO,"DISCOVERY NETWORKS, SL",00.000.000/0000-00,Programadora Estrangeira,ESPANHA
79,DISCOVERY KIDS,26039.30006,Canal de espaço qualificado,Canal de conteúdo infantil e adolescente,CANAL OFERTADO EM PACOTE,1998-03-02,PADRÃO,"DISCOVERY NETWORKS, SL",00.000.000/0000-00,Programadora Estrangeira,ESPANHA
80,DISCOVERY KIDS HD,26039.30015,Canal de espaço qualificado,Canal de conteúdo infantil e adolescente,CANAL OFERTADO EM PACOTE,2013-04-15,ALTA DEFINIÇÃO,"DISCOVERY NETWORKS, SL",00.000.000/0000-00,Programadora Estrangeira,ESPANHA
81,DISCOVERY SCIENCE,26039.30007,Canal de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2005-02-28,PADRÃO,"DISCOVERY NETWORKS, SL",00.000.000/0000-00,Programadora Estrangeira,ESPANHA
82,DISCOVERY SCIENCE HD,26039.30019,Canal de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2017-10-03,ALTA DEFINIÇÃO,"DISCOVERY NETWORKS, SL",00.000.000/0000-00,Programadora Estrangeira,ESPANHA
83,DISCOVERY THEATER HD,26039.30004,Canal de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2009-03-16,ALTA DEFINIÇÃO,"DISCOVERY NETWORKS, SL",00.000.000/0000-00,Programadora Estrangeira,ESPANHA
84,DISCOVERY TURBO,26039.30008,Canal de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2005-02-28,PADRÃO,"DISCOVERY NETWORKS, SL",00.000.000/0000-00,Programadora Estrangeira,ESPANHA
85,DISCOVERY TURBO HD,26039.30016,Canal de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2014-11-04,ALTA DEFINIÇÃO,"DISCOVERY NETWORKS, SL",00.000.000/0000-00,Programadora Estrangeira,ESPANHA
86,DISCOVERY WORLD HD,26039.30011,Canal de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2009-12-07,ALTA DEFINIÇÃO,"DISCOVERY NETWORKS, SL",00.000.000/0000-00,Programadora Estrangeira,ESPANHA
87,DISNEY CHANNEL,6222.30001,Canal de espaço qualificado,Canal de conteúdo infantil e adolescente,CANAL OFERTADO EM PACOTE,2001-04-01,PADRÃO,"BUENA VISTA INTERNATIONAL, INC",00.000.000/0000-00,Programadora Estrangeira,ESTADOS UNIDOS
88,DISNEY CHANNEL HD,6222.30002,Canal de espaço qualificado,Canal de conteúdo infantil e adolescente,CANAL OFERTADO EM PACOTE,2009-12-01,ALTA DEFINIÇÃO,"BUENA VISTA INTERNATIONAL, INC",00.000.000/0000-00,Programadora Estrangeira,ESTADOS UNIDOS
89,DREAMWORKS,50861.30001,Canal de espaço qualificado,Canal de conteúdo infantil e adolescente,CANAL OFERTADO EM PACOTE,2022-04-01,PADRÃO,"NBC UNIVERSAL GLOBAL NETWORKS LATIN AMERICA, LLC",00.000.000/0000-00,Programadora Estrangeira,ESTADOS UNIDOS
90,DREAMWORKS HD,50861.30002,Canal de espaço qualificado,Canal de conteúdo infantil e adolescente,CANAL OFERTADO EM PACOTE,2022-04-01,ALTA DEFINIÇÃO,"NBC UNIVERSAL GLOBAL NETWORKS LATIN AMERICA, LLC",00.000.000/0000-00,Programadora Estrangeira,ESTADOS UNIDOS
91,DUNAS TV,48772.30001,Canal de programação comum,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2021-04-01,ALTA DEFINIÇÃO,DUNAS TELECOMUNICAÇÕES LTDA,40.341.207/0001-44,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",BRASIL
92,E! ENTERTAINMENT TELEVISION,22407.30001,Canal de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,1997-06-01,PADRÃO,"E! BRAZIL DISTRIBUTION, LLC",00.000.000/0000-00,Programadora Estrangeira,ESTADOS UNIDOS
93,E! ENTERTAINMENT TELEVISION HD,22407.30002,Canal de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2016-09-01,ALTA DEFINIÇÃO,"E! BRAZIL DISTRIBUTION, LLC",00.000.000/0000-00,Programadora Estrangeira,ESTADOS UNIDOS
94,EMPREENDER,3293.30017,Canal de programação comum,Canal de conteúdo jornalístico,CANAL OFERTADO EM PACOTE,2022-07-05,ALTA DEFINIÇÃO,NEWCO PROGRAMADORA E PRODUTORA DE COMUNICACAO LTDA.,04.334.366/0001-58,Programadora brasileira,BRASIL
95,ESPN,653.30002,Canal de programação comum,Canal de conteúdo esportivo,CANAL OFERTADO EM PACOTE,1995-06-13,PADRÃO,ESPN DO BRASIL EVENTOS ESPORTIVOS LTDA.,00.637.277/0001-20,Programadora brasileira de capital estrangeiro,BRASIL
96,ESPN EXTRA HD,653.30006,Canal de programação comum,Canal de conteúdo esportivo,CANAL OFERTADO EM PACOTE,2016-03-01,ALTA DEFINIÇÃO,ESPN DO BRASIL EVENTOS ESPORTIVOS LTDA.,00.637.277/0001-20,Programadora brasileira de capital estrangeiro,BRASIL
97,ESPN HD,653.30004,Canal de programação comum,Canal de conteúdo esportivo,CANAL OFERTADO EM PACOTE,2012-08-01,ALTA DEFINIÇÃO,ESPN DO BRASIL EVENTOS ESPORTIVOS LTDA.,00.637.277/0001-20,Programadora brasileira de capital estrangeiro,BRASIL
98,ESPN 2,653.30001,Canal de programação comum,Canal de conteúdo esportivo,CANAL OFERTADO EM PACOTE,1989-10-01,PADRÃO,ESPN DO BRASIL EVENTOS ESPORTIVOS LTDA.,00.637.277/0001-20,Programadora brasileira de capital estrangeiro,BRASIL
99,ESPN 2 HD,653.30005,Canal de programação comum,Canal de conteúdo esportivo,CANAL OFERTADO EM PACOTE,2013-06-07,ALTA DEFINIÇÃO,ESPN DO BRASIL EVENTOS ESPORTIVOS LTDA.,00.637.277/0001-20,Programadora brasileira de capital estrangeiro,BRASIL
100,ESPN 3,653.30007,Canal de programação comum,Canal de conteúdo esportivo,CANAL OFERTADO EM PACOTE,2017-01-01,PADRÃO,ESPN DO BRASIL EVENTOS ESPORTIVOS LTDA.,00.637.277/0001-20,Programadora brasileira de capital estrangeiro,BRASIL
